"dz_2011","la_name","year","total","none"
"S01006506","Aberdeen City",2001,461,75
"S01006507","Aberdeen City",2001,351,83
"S01006508","Aberdeen City",2001,312,38
"S01006509","Aberdeen City",2001,277,65
"S01006510","Aberdeen City",2001,269,71
"S01006511","Aberdeen City",2001,385,50
"S01006512","Aberdeen City",2001,171,3
"S01006513","Aberdeen City",2001,203,6
"S01006514","Aberdeen City",2001,279,13
"S01006515","Aberdeen City",2001,267,2
"S01006516","Aberdeen City",2001,232,8
"S01006517","Aberdeen City",2001,397,35
"S01006518","Aberdeen City",2001,249,12
"S01006519","Aberdeen City",2001,269,3
"S01006520","Aberdeen City",2001,211,1
"S01006521","Aberdeen City",2001,161,5
"S01006522","Aberdeen City",2001,211,13
"S01006523","Aberdeen City",2001,431,47
"S01006524","Aberdeen City",2001,441,122
"S01006525","Aberdeen City",2001,332,26
"S01006526","Aberdeen City",2001,429,193
"S01006527","Aberdeen City",2001,291,118
"S01006528","Aberdeen City",2001,447,142
"S01006529","Aberdeen City",2001,596,198
"S01006530","Aberdeen City",2001,407,148
"S01006531","Aberdeen City",2001,441,202
"S01006532","Aberdeen City",2001,316,51
"S01006533","Aberdeen City",2001,386,17
"S01006534","Aberdeen City",2001,412,57
"S01006535","Aberdeen City",2001,628,161
"S01006536","Aberdeen City",2001,558,192
"S01006537","Aberdeen City",2001,332,33
"S01006538","Aberdeen City",2001,244,21
"S01006539","Aberdeen City",2001,336,50
"S01006540","Aberdeen City",2001,422,64
"S01006541","Aberdeen City",2001,387,117
"S01006542","Aberdeen City",2001,453,69
"S01006543","Aberdeen City",2001,364,51
"S01006544","Aberdeen City",2001,451,52
"S01006545","Aberdeen City",2001,568,156
"S01006546","Aberdeen City",2001,264,29
"S01006547","Aberdeen City",2001,537,110
"S01006548","Aberdeen City",2001,316,31
"S01006549","Aberdeen City",2001,408,38
"S01006550","Aberdeen City",2001,390,25
"S01006551","Aberdeen City",2001,412,212
"S01006552","Aberdeen City",2001,476,42
"S01006553","Aberdeen City",2001,478,121
"S01006554","Aberdeen City",2001,344,99
"S01006555","Aberdeen City",2001,365,157
"S01006556","Aberdeen City",2001,412,176
"S01006557","Aberdeen City",2001,345,170
"S01006558","Aberdeen City",2001,352,111
"S01006559","Aberdeen City",2001,287,56
"S01006560","Aberdeen City",2001,424,89
"S01006561","Aberdeen City",2001,320,31
"S01006562","Aberdeen City",2001,346,97
"S01006563","Aberdeen City",2001,381,82
"S01006564","Aberdeen City",2001,664,368
"S01006565","Aberdeen City",2001,678,362
"S01006566","Aberdeen City",2001,432,137
"S01006567","Aberdeen City",2001,614,346
"S01006568","Aberdeen City",2001,613,231
"S01006569","Aberdeen City",2001,401,144
"S01006570","Aberdeen City",2001,369,71
"S01006571","Aberdeen City",2001,455,105
"S01006572","Aberdeen City",2001,387,22
"S01006573","Aberdeen City",2001,278,34
"S01006574","Aberdeen City",2001,531,70
"S01006575","Aberdeen City",2001,398,55
"S01006576","Aberdeen City",2001,364,90
"S01006577","Aberdeen City",2001,507,95
"S01006578","Aberdeen City",2001,608,247
"S01006579","Aberdeen City",2001,641,255
"S01006580","Aberdeen City",2001,405,118
"S01006581","Aberdeen City",2001,409,58
"S01006582","Aberdeen City",2001,428,150
"S01006583","Aberdeen City",2001,390,143
"S01006584","Aberdeen City",2001,365,127
"S01006585","Aberdeen City",2001,530,297
"S01006586","Aberdeen City",2001,628,366
"S01006587","Aberdeen City",2001,302,204
"S01006588","Aberdeen City",2001,283,159
"S01006589","Aberdeen City",2001,362,170
"S01006590","Aberdeen City",2001,569,250
"S01006591","Aberdeen City",2001,259,99
"S01006592","Aberdeen City",2001,426,86
"S01006593","Aberdeen City",2001,472,146
"S01006594","Aberdeen City",2001,352,131
"S01006595","Aberdeen City",2001,443,111
"S01006596","Aberdeen City",2001,367,97
"S01006597","Aberdeen City",2001,373,154
"S01006598","Aberdeen City",2001,454,47
"S01006599","Aberdeen City",2001,485,224
"S01006600","Aberdeen City",2001,644,189
"S01006601","Aberdeen City",2001,634,181
"S01006602","Aberdeen City",2001,465,135
"S01006603","Aberdeen City",2001,494,252
"S01006604","Aberdeen City",2001,277,88
"S01006605","Aberdeen City",2001,389,206
"S01006606","Aberdeen City",2001,369,96
"S01006607","Aberdeen City",2001,392,147
"S01006608","Aberdeen City",2001,231,21
"S01006609","Aberdeen City",2001,487,183
"S01006610","Aberdeen City",2001,231,94
"S01006611","Aberdeen City",2001,426,163
"S01006612","Aberdeen City",2001,350,76
"S01006613","Aberdeen City",2001,258,9
"S01006614","Aberdeen City",2001,267,10
"S01006615","Aberdeen City",2001,269,17
"S01006616","Aberdeen City",2001,333,29
"S01006617","Aberdeen City",2001,284,59
"S01006618","Aberdeen City",2001,244,35
"S01006619","Aberdeen City",2001,445,65
"S01006620","Aberdeen City",2001,393,72
"S01006621","Aberdeen City",2001,241,38
"S01006622","Aberdeen City",2001,374,40
"S01006623","Aberdeen City",2001,350,141
"S01006624","Aberdeen City",2001,531,249
"S01006625","Aberdeen City",2001,284,109
"S01006626","Aberdeen City",2001,378,224
"S01006627","Aberdeen City",2001,508,269
"S01006628","Aberdeen City",2001,763,433
"S01006629","Aberdeen City",2001,319,162
"S01006630","Aberdeen City",2001,260,101
"S01006631","Aberdeen City",2001,491,274
"S01006632","Aberdeen City",2001,483,294
"S01006633","Aberdeen City",2001,284,156
"S01006634","Aberdeen City",2001,268,155
"S01006635","Aberdeen City",2001,284,130
"S01006636","Aberdeen City",2001,519,333
"S01006637","Aberdeen City",2001,408,225
"S01006638","Aberdeen City",2001,493,270
"S01006639","Aberdeen City",2001,569,376
"S01006640","Aberdeen City",2001,258,138
"S01006641","Aberdeen City",2001,756,385
"S01006642","Aberdeen City",2001,540,286
"S01006643","Aberdeen City",2001,392,214
"S01006644","Aberdeen City",2001,533,251
"S01006645","Aberdeen City",2001,421,292
"S01006646","Aberdeen City",2001,277,117
"S01006647","Aberdeen City",2001,450,254
"S01006648","Aberdeen City",2001,680,416
"S01006649","Aberdeen City",2001,579,334
"S01006650","Aberdeen City",2001,452,236
"S01006651","Aberdeen City",2001,383,212
"S01006652","Aberdeen City",2001,286,143
"S01006653","Aberdeen City",2001,273,67
"S01006654","Aberdeen City",2001,483,266
"S01006655","Aberdeen City",2001,299,96
"S01006656","Aberdeen City",2001,690,276
"S01006657","Aberdeen City",2001,297,134
"S01006658","Aberdeen City",2001,509,299
"S01006659","Aberdeen City",2001,381,129
"S01006660","Aberdeen City",2001,261,163
"S01006661","Aberdeen City",2001,444,158
"S01006662","Aberdeen City",2001,288,187
"S01006663","Aberdeen City",2001,244,71
"S01006664","Aberdeen City",2001,218,85
"S01006665","Aberdeen City",2001,390,183
"S01006666","Aberdeen City",2001,457,332
"S01006667","Aberdeen City",2001,433,290
"S01006668","Aberdeen City",2001,425,175
"S01006669","Aberdeen City",2001,533,321
"S01006670","Aberdeen City",2001,344,204
"S01006671","Aberdeen City",2001,228,67
"S01006672","Aberdeen City",2001,369,195
"S01006673","Aberdeen City",2001,376,209
"S01006674","Aberdeen City",2001,591,368
"S01006675","Aberdeen City",2001,270,190
"S01006676","Aberdeen City",2001,437,289
"S01006677","Aberdeen City",2001,400,247
"S01006678","Aberdeen City",2001,531,292
"S01006679","Aberdeen City",2001,290,87
"S01006680","Aberdeen City",2001,351,230
"S01006681","Aberdeen City",2001,461,202
"S01006682","Aberdeen City",2001,349,252
"S01006683","Aberdeen City",2001,365,208
"S01006684","Aberdeen City",2001,415,255
"S01006685","Aberdeen City",2001,393,221
"S01006686","Aberdeen City",2001,312,132
"S01006687","Aberdeen City",2001,486,240
"S01006688","Aberdeen City",2001,499,227
"S01006689","Aberdeen City",2001,282,51
"S01006690","Aberdeen City",2001,304,111
"S01006691","Aberdeen City",2001,269,71
"S01006692","Aberdeen City",2001,371,114
"S01006693","Aberdeen City",2001,461,173
"S01006694","Aberdeen City",2001,481,264
"S01006695","Aberdeen City",2001,345,132
"S01006696","Aberdeen City",2001,362,182
"S01006697","Aberdeen City",2001,454,202
"S01006698","Aberdeen City",2001,403,232
"S01006699","Aberdeen City",2001,213,67
"S01006700","Aberdeen City",2001,433,178
"S01006701","Aberdeen City",2001,331,161
"S01006702","Aberdeen City",2001,337,109
"S01006703","Aberdeen City",2001,307,135
"S01006704","Aberdeen City",2001,303,164
"S01006705","Aberdeen City",2001,365,167
"S01006706","Aberdeen City",2001,278,119
"S01006707","Aberdeen City",2001,338,166
"S01006708","Aberdeen City",2001,369,143
"S01006709","Aberdeen City",2001,347,101
"S01006710","Aberdeen City",2001,410,135
"S01006711","Aberdeen City",2001,511,237
"S01006712","Aberdeen City",2001,250,84
"S01006713","Aberdeen City",2001,429,167
"S01006714","Aberdeen City",2001,316,122
"S01006715","Aberdeen City",2001,215,95
"S01006716","Aberdeen City",2001,236,85
"S01006717","Aberdeen City",2001,433,151
"S01006718","Aberdeen City",2001,246,81
"S01006719","Aberdeen City",2001,334,115
"S01006720","Aberdeen City",2001,235,71
"S01006721","Aberdeen City",2001,407,163
"S01006722","Aberdeen City",2001,308,121
"S01006723","Aberdeen City",2001,351,107
"S01006724","Aberdeen City",2001,317,160
"S01006725","Aberdeen City",2001,288,104
"S01006726","Aberdeen City",2001,508,301
"S01006727","Aberdeen City",2001,481,307
"S01006728","Aberdeen City",2001,331,122
"S01006729","Aberdeen City",2001,334,166
"S01006730","Aberdeen City",2001,360,105
"S01006731","Aberdeen City",2001,250,97
"S01006732","Aberdeen City",2001,430,14
"S01006733","Aberdeen City",2001,286,4
"S01006734","Aberdeen City",2001,344,9
"S01006735","Aberdeen City",2001,241,7
"S01006736","Aberdeen City",2001,387,11
"S01006737","Aberdeen City",2001,330,36
"S01006738","Aberdeen City",2001,401,100
"S01006739","Aberdeen City",2001,293,64
"S01006740","Aberdeen City",2001,330,97
"S01006741","Aberdeen City",2001,336,113
"S01006742","Aberdeen City",2001,231,85
"S01006743","Aberdeen City",2001,262,74
"S01006744","Aberdeen City",2001,303,81
"S01006745","Aberdeen City",2001,395,140
"S01006746","Aberdeen City",2001,385,105
"S01006747","Aberdeen City",2001,452,37
"S01006748","Aberdeen City",2001,417,62
"S01006749","Aberdeen City",2001,484,104
"S01006750","Aberdeen City",2001,289,60
"S01006751","Aberdeen City",2001,246,60
"S01006752","Aberdeen City",2001,413,129
"S01006753","Aberdeen City",2001,405,66
"S01006754","Aberdeen City",2001,399,27
"S01006755","Aberdeen City",2001,340,39
"S01006756","Aberdeen City",2001,305,20
"S01006757","Aberdeen City",2001,345,34
"S01006758","Aberdeen City",2001,283,15
"S01006759","Aberdeen City",2001,254,12
"S01006760","Aberdeen City",2001,229,12
"S01006761","Aberdeen City",2001,328,28
"S01006762","Aberdeen City",2001,418,103
"S01006763","Aberdeen City",2001,330,13
"S01006764","Aberdeen City",2001,344,21
"S01006765","Aberdeen City",2001,259,19
"S01006766","Aberdeen City",2001,239,7
"S01006767","Aberdeen City",2001,284,52
"S01006768","Aberdeen City",2001,347,9
"S01006769","Aberdeen City",2001,369,57
"S01006770","Aberdeen City",2001,272,16
"S01006771","Aberdeen City",2001,150,2
"S01006772","Aberdeen City",2001,370,29
"S01006773","Aberdeen City",2001,250,16
"S01006774","Aberdeen City",2001,222,2
"S01006775","Aberdeen City",2001,394,89
"S01006776","Aberdeen City",2001,275,117
"S01006777","Aberdeen City",2001,257,11
"S01006778","Aberdeen City",2001,280,46
"S01006779","Aberdeen City",2001,296,117
"S01006780","Aberdeen City",2001,252,58
"S01006781","Aberdeen City",2001,294,34
"S01006782","Aberdeen City",2001,300,76
"S01006783","Aberdeen City",2001,295,52
"S01006784","Aberdeen City",2001,279,41
"S01006785","Aberdeen City",2001,297,3
"S01006786","Aberdeen City",2001,316,18
"S01006787","Aberdeen City",2001,292,31
"S01006788","Aberdeen City",2001,323,32
"S01006789","Aberdeenshire",2001,427,92
"S01006790","Aberdeenshire",2001,456,129
"S01006791","Aberdeenshire",2001,226,28
"S01006792","Aberdeenshire",2001,217,19
"S01006793","Aberdeenshire",2001,274,64
"S01006794","Aberdeenshire",2001,376,82
"S01006795","Aberdeenshire",2001,432,57
"S01006796","Aberdeenshire",2001,142,3
"S01006797","Aberdeenshire",2001,264,5
"S01006798","Aberdeenshire",2001,275,25
"S01006799","Aberdeenshire",2001,488,150
"S01006800","Aberdeenshire",2001,360,12
"S01006801","Aberdeenshire",2001,423,25
"S01006802","Aberdeenshire",2001,297,51
"S01006803","Aberdeenshire",2001,286,61
"S01006804","Aberdeenshire",2001,333,82
"S01006805","Aberdeenshire",2001,406,56
"S01006806","Aberdeenshire",2001,388,33
"S01006807","Aberdeenshire",2001,196,8
"S01006808","Aberdeenshire",2001,306,15
"S01006809","Aberdeenshire",2001,399,90
"S01006810","Aberdeenshire",2001,365,82
"S01006811","Aberdeenshire",2001,425,61
"S01006812","Aberdeenshire",2001,257,18
"S01006813","Aberdeenshire",2001,283,74
"S01006814","Aberdeenshire",2001,319,16
"S01006815","Aberdeenshire",2001,248,97
"S01006816","Aberdeenshire",2001,275,54
"S01006817","Aberdeenshire",2001,248,29
"S01006818","Aberdeenshire",2001,303,17
"S01006819","Aberdeenshire",2001,287,19
"S01006820","Aberdeenshire",2001,318,12
"S01006821","Aberdeenshire",2001,223,10
"S01006822","Aberdeenshire",2001,342,13
"S01006823","Aberdeenshire",2001,280,24
"S01006824","Aberdeenshire",2001,401,150
"S01006825","Aberdeenshire",2001,329,42
"S01006826","Aberdeenshire",2001,417,58
"S01006827","Aberdeenshire",2001,494,176
"S01006828","Aberdeenshire",2001,476,132
"S01006829","Aberdeenshire",2001,180,18
"S01006830","Aberdeenshire",2001,285,33
"S01006831","Aberdeenshire",2001,220,16
"S01006832","Aberdeenshire",2001,417,44
"S01006833","Aberdeenshire",2001,173,10
"S01006834","Aberdeenshire",2001,123,18
"S01006835","Aberdeenshire",2001,506,207
"S01006836","Aberdeenshire",2001,136,56
"S01006837","Aberdeenshire",2001,194,34
"S01006838","Aberdeenshire",2001,243,34
"S01006839","Aberdeenshire",2001,554,101
"S01006840","Aberdeenshire",2001,330,8
"S01006841","Aberdeenshire",2001,336,7
"S01006842","Aberdeenshire",2001,308,13
"S01006843","Aberdeenshire",2001,312,13
"S01006844","Aberdeenshire",2001,325,38
"S01006845","Aberdeenshire",2001,341,18
"S01006846","Aberdeenshire",2001,242,26
"S01006847","Aberdeenshire",2001,297,17
"S01006848","Aberdeenshire",2001,358,31
"S01006849","Aberdeenshire",2001,362,36
"S01006850","Aberdeenshire",2001,440,55
"S01006851","Aberdeenshire",2001,372,77
"S01006852","Aberdeenshire",2001,267,14
"S01006853","Aberdeenshire",2001,412,12
"S01006854","Aberdeenshire",2001,354,38
"S01006855","Aberdeenshire",2001,279,8
"S01006856","Aberdeenshire",2001,235,11
"S01006857","Aberdeenshire",2001,360,26
"S01006858","Aberdeenshire",2001,299,3
"S01006859","Aberdeenshire",2001,415,19
"S01006860","Aberdeenshire",2001,259,82
"S01006861","Aberdeenshire",2001,188,24
"S01006862","Aberdeenshire",2001,303,52
"S01006863","Aberdeenshire",2001,269,55
"S01006864","Aberdeenshire",2001,114,6
"S01006865","Aberdeenshire",2001,552,103
"S01006866","Aberdeenshire",2001,212,11
"S01006867","Aberdeenshire",2001,278,32
"S01006868","Aberdeenshire",2001,342,73
"S01006869","Aberdeenshire",2001,191,19
"S01006870","Aberdeenshire",2001,166,17
"S01006871","Aberdeenshire",2001,253,28
