"dz_2011","la_name","year","total","nonretired","employed","unemployed","student","sick_disabled"
"S01006506","Aberdeen City",2001,762,672,516,17,40,28
"S01006507","Aberdeen City",2001,655,544,414,18,36,25
"S01006508","Aberdeen City",2001,505,468,380,15,28,7
"S01006509","Aberdeen City",2001,446,369,282,11,25,18
"S01006510","Aberdeen City",2001,428,358,267,12,24,27
"S01006511","Aberdeen City",2001,675,499,383,6,37,29
"S01006512","Aberdeen City",2001,348,322,240,10,27,5
"S01006513","Aberdeen City",2001,371,307,243,6,17,8
"S01006514","Aberdeen City",2001,651,567,381,4,91,9
"S01006515","Aberdeen City",2001,557,504,364,10,49,8
"S01006516","Aberdeen City",2001,558,487,317,4,61,18
"S01006517","Aberdeen City",2001,744,638,476,5,67,17
"S01006518","Aberdeen City",2001,470,380,264,9,44,5
"S01006519","Aberdeen City",2001,626,569,378,14,87,8
"S01006520","Aberdeen City",2001,475,455,300,6,56,3
"S01006521","Aberdeen City",2001,499,454,217,6,16,156
"S01006522","Aberdeen City",2001,395,331,243,6,41,2
"S01006523","Aberdeen City",2001,684,582,416,6,43,25
"S01006524","Aberdeen City",2001,663,567,377,14,46,41
"S01006525","Aberdeen City",2001,621,495,345,15,54,17
"S01006526","Aberdeen City",2001,658,566,365,26,82,39
"S01006527","Aberdeen City",2001,550,456,279,16,77,36
"S01006528","Aberdeen City",2001,782,659,441,19,83,53
"S01006529","Aberdeen City",2001,765,659,490,24,78,32
"S01006530","Aberdeen City",2001,709,604,431,14,80,35
"S01006531","Aberdeen City",2001,679,557,329,31,56,71
"S01006532","Aberdeen City",2001,556,454,358,11,21,25
"S01006533","Aberdeen City",2001,741,626,474,13,60,26
"S01006534","Aberdeen City",2001,714,621,478,10,63,14
"S01006535","Aberdeen City",2001,950,895,726,24,84,14
"S01006536","Aberdeen City",2001,799,748,597,21,64,17
"S01006537","Aberdeen City",2001,549,417,334,4,28,10
"S01006538","Aberdeen City",2001,457,347,278,8,27,10
"S01006539","Aberdeen City",2001,537,431,347,8,42,10
"S01006540","Aberdeen City",2001,694,586,484,5,39,14
"S01006541","Aberdeen City",2001,506,363,271,4,29,15
"S01006542","Aberdeen City",2001,747,551,419,5,53,13
"S01006543","Aberdeen City",2001,563,399,318,9,22,15
"S01006544","Aberdeen City",2001,1454,1351,488,15,759,11
"S01006545","Aberdeen City",2001,769,627,473,13,63,17
"S01006546","Aberdeen City",2001,439,363,270,5,35,17
"S01006547","Aberdeen City",2001,923,763,564,19,82,27
"S01006548","Aberdeen City",2001,578,419,344,6,30,7
"S01006549","Aberdeen City",2001,676,538,409,6,52,6
"S01006550","Aberdeen City",2001,730,558,401,13,58,17
"S01006551","Aberdeen City",2001,514,377,240,17,25,54
"S01006552","Aberdeen City",2001,867,762,590,17,83,18
"S01006553","Aberdeen City",2001,692,519,386,13,29,37
"S01006554","Aberdeen City",2001,561,457,329,14,27,31
"S01006555","Aberdeen City",2001,759,674,342,29,104,129
"S01006556","Aberdeen City",2001,637,494,342,16,34,51
"S01006557","Aberdeen City",2001,531,474,322,30,36,33
"S01006558","Aberdeen City",2001,516,464,376,7,54,7
