"dz_2011","la_name","year","total","nonwhite"
"S01006506","Aberdeen City",2001,1008,12
"S01006507","Aberdeen City",2001,898,26
"S01006508","Aberdeen City",2001,663,35
"S01006509","Aberdeen City",2001,584,15
"S01006510","Aberdeen City",2001,626,9
"S01006511","Aberdeen City",2001,924,11
"S01006512","Aberdeen City",2001,512,11
"S01006513","Aberdeen City",2001,531,12
"S01006514","Aberdeen City",2001,918,37
"S01006515","Aberdeen City",2001,805,15
"S01006516","Aberdeen City",2001,763,25
"S01006517","Aberdeen City",2001,1049,34
"S01006518","Aberdeen City",2001,663,20
"S01006519","Aberdeen City",2001,874,45
"S01006520","Aberdeen City",2001,742,44
"S01006521","Aberdeen City",2001,634,13
"S01006522","Aberdeen City",2001,560,18
"S01006523","Aberdeen City",2001,1029,18
"S01006524","Aberdeen City",2001,1065,41
"S01006525","Aberdeen City",2001,815,18
"S01006526","Aberdeen City",2001,942,16
"S01006527","Aberdeen City",2001,744,17
"S01006528","Aberdeen City",2001,1009,21
"S01006529","Aberdeen City",2001,976,18
"S01006530","Aberdeen City",2001,951,22
"S01006531","Aberdeen City",2001,951,12
"S01006532","Aberdeen City",2001,780,15
"S01006533","Aberdeen City",2001,1016,19
"S01006534","Aberdeen City",2001,983,17
"S01006535","Aberdeen City",2001,1112,27
"S01006536","Aberdeen City",2001,927,27
"S01006537","Aberdeen City",2001,768,7
"S01006538","Aberdeen City",2001,581,19
"S01006539","Aberdeen City",2001,764,11
"S01006540","Aberdeen City",2001,925,25
"S01006541","Aberdeen City",2001,777,11
"S01006542","Aberdeen City",2001,963,45
"S01006543","Aberdeen City",2001,788,12
"S01006544","Aberdeen City",2001,1765,116
"S01006545","Aberdeen City",2001,1068,30
"S01006546","Aberdeen City",2001,619,13
"S01006547","Aberdeen City",2001,1262,36
"S01006548","Aberdeen City",2001,770,19
"S01006549","Aberdeen City",2001,916,22
"S01006550","Aberdeen City",2001,1003,21
"S01006551","Aberdeen City",2001,706,14
"S01006552","Aberdeen City",2001,1114,57
"S01006553","Aberdeen City",2001,986,25
"S01006554","Aberdeen City",2001,788,15
"S01006555","Aberdeen City",2001,1230,19
"S01006556","Aberdeen City",2001,873,14
"S01006557","Aberdeen City",2001,764,11
"S01006558","Aberdeen City",2001,659,23
"S01006559","Aberdeen City",2001,646,19
"S01006560","Aberdeen City",2001,1056,38
"S01006561","Aberdeen City",2001,798,12
"S01006562","Aberdeen City",2001,796,21
"S01006563","Aberdeen City",2001,945,73
"S01006564","Aberdeen City",2001,1159,113
"S01006565","Aberdeen City",2001,1118,68
"S01006566","Aberdeen City",2001,784,44
"S01006567","Aberdeen City",2001,916,29
"S01006568","Aberdeen City",2001,901,26
"S01006569","Aberdeen City",2001,742,23
"S01006570","Aberdeen City",2001,762,32
"S01006571","Aberdeen City",2001,988,31
"S01006572","Aberdeen City",2001,1015,32
"S01006573","Aberdeen City",2001,706,19
"S01006574","Aberdeen City",2001,1291,50
"S01006575","Aberdeen City",2001,917,44
"S01006576","Aberdeen City",2001,757,21
"S01006577","Aberdeen City",2001,1010,31
"S01006578","Aberdeen City",2001,1021,50
"S01006579","Aberdeen City",2001,964,44
"S01006580","Aberdeen City",2001,703,35
"S01006581","Aberdeen City",2001,924,9
"S01006582","Aberdeen City",2001,760,30
"S01006583","Aberdeen City",2001,637,31
"S01006584","Aberdeen City",2001,603,36
"S01006585","Aberdeen City",2001,832,52
"S01006586","Aberdeen City",2001,985,48
"S01006587","Aberdeen City",2001,565,101
"S01006588","Aberdeen City",2001,428,14
"S01006589","Aberdeen City",2001,611,13
"S01006590","Aberdeen City",2001,974,43
"S01006591","Aberdeen City",2001,499,45
"S01006592","Aberdeen City",2001,800,25
"S01006593","Aberdeen City",2001,866,23
"S01006594","Aberdeen City",2001,547,2
"S01006595","Aberdeen City",2001,715,26
"S01006596","Aberdeen City",2001,745,32
"S01006597","Aberdeen City",2001,555,16
"S01006598","Aberdeen City",2001,1055,20
"S01006599","Aberdeen City",2001,835,37
"S01006600","Aberdeen City",2001,1285,70
"S01006601","Aberdeen City",2001,1114,26
"S01006602","Aberdeen City",2001,1021,27
"S01006603","Aberdeen City",2001,1053,3
"S01006604","Aberdeen City",2001,684,6
"S01006605","Aberdeen City",2001,796,7
"S01006606","Aberdeen City",2001,838,11
"S01006607","Aberdeen City",2001,970,5
"S01006608","Aberdeen City",2001,598,8
"S01006609","Aberdeen City",2001,1089,12
"S01006610","Aberdeen City",2001,500,6
"S01006611","Aberdeen City",2001,969,5
"S01006612","Aberdeen City",2001,862,31
"S01006613","Aberdeen City",2001,641,19
"S01006614","Aberdeen City",2001,687,14
"S01006615","Aberdeen City",2001,734,9
"S01006616","Aberdeen City",2001,838,15
"S01006617","Aberdeen City",2001,710,8
"S01006618","Aberdeen City",2001,568,8
"S01006619","Aberdeen City",2001,1097,12
"S01006620","Aberdeen City",2001,937,4
"S01006621","Aberdeen City",2001,577,3
"S01006622","Aberdeen City",2001,869,12
"S01006623","Aberdeen City",2001,800,12
"S01006624","Aberdeen City",2001,1011,10
"S01006625","Aberdeen City",2001,648,5
"S01006626","Aberdeen City",2001,684,4
"S01006627","Aberdeen City",2001,791,12
"S01006628","Aberdeen City",2001,1087,14
"S01006629","Aberdeen City",2001,754,16
"S01006630","Aberdeen City",2001,677,2
"S01006631","Aberdeen City",2001,954,3
"S01006632","Aberdeen City",2001,887,12
"S01006633","Aberdeen City",2001,700,16
"S01006634","Aberdeen City",2001,577,0
"S01006635","Aberdeen City",2001,646,8
"S01006636","Aberdeen City",2001,1058,7
"S01006637","Aberdeen City",2001,845,41
"S01006638","Aberdeen City",2001,771,32
"S01006639","Aberdeen City",2001,867,42
"S01006640","Aberdeen City",2001,564,12
"S01006641","Aberdeen City",2001,1447,33
"S01006642","Aberdeen City",2001,901,37
"S01006643","Aberdeen City",2001,711,45
"S01006644","Aberdeen City",2001,900,46
"S01006645","Aberdeen City",2001,721,25
"S01006646","Aberdeen City",2001,549,41
"S01006647","Aberdeen City",2001,859,45
"S01006648","Aberdeen City",2001,1645,140
"S01006649","Aberdeen City",2001,943,52
"S01006650","Aberdeen City",2001,790,22
