"output_area","ALL PEOPLE","In an unshared dwelling","House or bungalow","     Detached","     Semi-detached","     Terraced (including end-terrace)","  Flat, maisonette or apartment","     In a purpose-built block of flats","     Part of a converted or shared house","     In a commercial building","  Caravan or other mobile or temporary structure","In a shared dwelling"
"60QA000001",58,58,58,33,25,0,0,0,0,0,0,0
"60QA000002",174,174,164,158,6,0,4,2,0,2,6,0
"60QA000003",76,76,76,40,36,0,0,0,0,0,0,0
"60QA000004",66,66,66,66,0,0,0,0,0,0,0,0
"60QA000005",82,82,82,78,2,2,0,0,0,0,0,0
"60QA000006",198,198,185,151,34,0,13,0,13,0,0,0
"60QA000007",73,73,73,71,2,0,0,0,0,0,0,0
"60QA000008",108,106,101,88,6,7,4,3,1,0,1,2
"60QA000009",151,151,148,136,9,3,3,1,0,2,0,0
"60QA000010",65,65,61,49,12,0,4,0,0,4,0,0
"60QA000011",71,68,68,48,20,0,0,0,0,0,0,3
"60QA000012",84,84,84,81,3,0,0,0,0,0,0,0
"60QA000013",212,212,204,172,32,0,8,0,0,8,0,0
"60QA000014",99,99,81,0,8,73,18,0,18,0,0,0
"60QA000015",77,74,35,0,12,23,39,19,16,4,0,3
"60QA000016",130,126,13,8,0,5,113,81,30,2,0,4
"60QA000017",144,144,4,0,1,3,140,140,0,0,0,0
"60QA000018",123,123,21,0,0,21,102,101,1,0,0,0
"60QA000019",62,62,8,2,6,0,54,40,14,0,0,0
"60QA000020",65,62,4,2,0,2,58,48,4,6,0,3
"60QA000021",55,54,2,0,2,0,52,41,4,7,0,1
"60QA000022",54,54,1,0,1,0,53,38,3,12,0,0
"60QA000023",85,81,1,0,0,1,80,79,0,1,0,4
"60QA000024",90,87,11,3,1,7,76,63,9,4,0,3
"60QA000025",72,72,3,0,0,3,69,69,0,0,0,0
"60QA000026",59,59,3,0,0,3,56,52,1,3,0,0
"60QA000027",73,73,4,0,0,4,69,66,3,0,0,0
"60QA000028",119,119,0,0,0,0,119,75,16,28,0,0
"60QA000029",56,56,4,0,4,0,52,40,0,12,0,0
"60QA000030",63,63,1,0,1,0,62,61,1,0,0,0
"60QA000031",71,71,0,0,0,0,71,67,3,1,0,0
"60QA000032",92,92,2,0,0,2,90,74,4,12,0,0
"60QA000033",115,115,1,0,1,0,113,105,2,6,1,0
"60QA000034",170,170,0,0,0,0,170,155,12,3,0,0
"60QA000035",106,106,7,0,0,7,99,84,1,14,0,0
"60QA000036",124,124,6,0,5,1,118,105,4,9,0,0
"60QA000037",62,62,2,0,2,0,60,44,0,16,0,0
