"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QA000001",58,8,47,0,0,0,1,2
"60QA000002",174,26,129,0,0,0,1,18
"60QA000003",76,6,62,0,0,0,0,8
"60QA000004",66,16,35,1,0,0,2,12
"60QA000005",82,11,29,0,0,1,4,37
"60QA000006",198,77,68,2,2,1,30,18
"60QA000007",73,16,42,0,0,0,6,9
"60QA000008",108,19,76,4,0,0,2,7
"60QA000009",153,23,117,5,1,0,0,7
"60QA000010",65,15,40,0,1,0,2,7
"60QA000011",71,3,67,0,0,0,0,1
"60QA000012",84,7,71,0,2,0,0,4
"60QA000013",212,7,198,0,1,0,0,6
"60QA000014",99,24,62,0,0,2,4,7
"60QA000015",77,16,49,1,1,0,2,8
"60QA000016",130,23,99,0,0,0,2,6
"60QA000017",144,3,128,1,0,0,0,12
"60QA000018",123,8,104,2,3,0,1,5
"60QA000019",62,7,50,0,3,0,0,2
"60QA000020",65,5,50,0,1,0,2,7
"60QA000021",55,7,33,0,2,0,2,11
"60QA000022",54,17,30,1,0,0,3,3
"60QA000023",85,16,59,0,0,0,1,9
"60QA000024",90,8,74,0,1,1,1,5
"60QA000025",72,5,64,0,0,0,1,2
"60QA000026",59,4,51,0,0,0,2,2
"60QA000027",73,7,60,1,1,0,2,2
"60QA000028",119,18,78,2,5,0,2,14
"60QA000029",56,12,36,2,0,0,0,6
"60QA000030",63,5,56,0,0,0,0,2
"60QA000031",71,9,51,0,2,0,1,8
"60QA000032",92,13,76,0,1,0,0,2
"60QA000033",115,11,95,0,1,1,1,6
"60QA000034",170,33,89,1,10,21,7,9
"60QA000035",164,23,97,1,5,1,4,33
"60QA000036",124,10,97,0,4,1,4,8
"60QA000037",62,5,45,0,0,5,1,6
"60QA000038",100,1,94,0,0,0,0,5
"60QA000039",178,20,129,1,2,0,6,20
"60QA000040",129,15,109,0,0,1,1,3
"60QA000041",71,14,49,1,1,1,1,4
"60QA000042",57,3,53,0,0,0,1,0
"60QA000043",121,7,101,0,6,0,5,2
"60QA000044",143,28,88,2,2,0,5,18
"60QA000045",117,17,85,2,0,0,6,7
"60QA000046",101,19,64,0,1,2,10,5
"60QA000047",137,23,104,1,0,1,2,6
"60QA000048",112,17,90,1,0,1,1,2
"60QA000049",114,17,83,1,4,2,0,7
"60QA000050",131,17,103,0,1,1,5,4
"60QA000051",71,8,55,1,1,0,1,5
"60QA000052",98,17,61,1,0,0,3,16
"60QA000053",85,11,59,0,0,1,3,11
"60QA000054",116,16,87,1,3,1,3,5
"60QA000055",164,18,117,0,1,0,6,22
"60QA000056",128,22,93,1,0,1,0,11
"60QA000057",69,11,50,0,0,0,1,7
"60QA000058",95,11,72,0,1,2,4,5
"60QA000059",81,7,67,1,0,0,0,6
"60QA000060",97,11,79,0,1,0,0,6
"60QA000061",82,8,62,0,2,1,1,8
"60QA000062",68,8,57,2,0,0,0,1
"60QA000063",67,3,58,0,0,1,2,3
"60QA000064",99,9,83,1,1,2,2,1
"60QA000065",96,21,67,3,1,1,2,1
"60QA000066",81,13,63,0,1,0,1,3
"60QA000067",71,13,51,0,0,0,0,7
"60QA000068",68,6,54,0,2,1,1,4
"60QA000069",120,11,95,0,0,0,1,13
"60QA000070",60,2,50,0,5,0,3,0
"60QA000071",69,14,44,2,1,0,3,5
"60QA000072",61,11,40,1,0,2,4,3
"60QA000073",87,11,64,1,1,0,0,10
"60QA000074",97,16,74,0,0,2,2,3
"60QA000075",59,10,41,0,3,1,1,3
"60QA000076",160,21,99,0,2,0,4,34
