dz_2001,total,house,nonhouse
S01000001,852,463,389
S01000002,678,658,20
S01000003,788,655,133
S01000004,612,520,92
S01000005,643,255,388
S01000006,577,434,143
S01000007,749,712,37
S01000008,580,428,152
S01000009,681,654,27
S01000010,514,461,53
S01000011,940,926,14
S01000012,1528,1479,49
S01000013,836,683,153
S01000014,881,810,71
S01000015,669,587,82
S01000016,467,442,25
S01000017,848,789,59
S01000018,520,479,41
S01000019,568,518,50
S01000020,711,534,177
S01000021,861,776,85
S01000022,627,596,31
S01000023,762,732,30
S01000024,496,485,11
S01000025,807,783,24
S01000026,820,417,403
S01000027,798,734,64
S01000028,919,636,283
S01000029,729,718,11
S01000030,449,296,153
S01000031,941,665,276
S01000032,1063,858,205
S01000033,802,278,524
S01000034,1237,1161,76
S01000035,981,697,284
S01000036,674,586,88
S01000037,705,278,427
S01000038,675,560,115
S01000039,902,493,409
S01000040,932,516,416
S01000041,818,519,299
S01000042,748,453,295
S01000043,892,294,598
S01000044,955,369,586
S01000045,569,553,16
S01000046,754,711,43
S01000047,805,128,677
S01000048,960,749,211
S01000049,713,610,103
S01000050,703,578,125
S01000051,797,772,25
S01000052,627,323,304
S01000053,1058,523,535
S01000054,801,704,97
S01000055,724,237,487
S01000056,1014,966,48
S01000057,699,450,249
S01000058,694,577,117
S01000059,957,690,267
S01000060,634,274,360
S01000061,1000,789,211
S01000062,1038,377,661
S01000063,910,664,246
S01000064,623,286,337
S01000065,1002,473,529
S01000066,806,214,592
S01000067,1065,667,398
S01000068,851,498,353
S01000069,718,111,607
S01000070,658,237,421
S01000071,812,64,748
S01000072,907,702,205
S01000073,626,604,22
S01000074,870,92,778
S01000075,539,123,416
S01000076,721,715,6
S01000077,909,596,313
S01000078,1097,70,1027
S01000079,1422,339,1083
S01000080,1013,252,761
S01000081,889,658,231
S01000082,904,268,636
S01000083,772,453,319
S01000084,843,79,764
S01000085,513,40,473
S01000086,678,248,430
S01000087,1020,636,384
S01000088,916,135,781
S01000089,909,895,14
S01000090,769,254,515
S01000091,1032,147,885
S01000092,906,45,861
S01000093,705,114,591
S01000094,712,35,677
S01000095,712,181,531
S01000096,690,383,307
S01000097,977,628,349
S01000098,1168,122,1046
S01000099,811,712,99
S01000100,797,72,725
S01000101,886,465,421
S01000102,795,48,747
S01000103,628,89,539
S01000104,901,753,148
S01000105,870,699,171
S01000106,724,528,196
S01000107,1268,51,1217
S01000108,706,179,527
S01000109,1017,85,932
S01000110,826,733,93
S01000111,783,391,392
S01000112,980,96,884
S01000113,607,360,247
S01000114,763,263,500
S01000115,838,492,346
S01000116,923,86,837
S01000117,985,662,323
S01000118,692,415,277
S01000119,835,59,776
S01000120,566,197,369
S01000121,703,536,167
S01000122,701,396,305
S01000123,669,653,16
S01000124,850,47,803
S01000125,648,50,598
S01000126,945,62,883
S01000127,766,587,179
S01000128,1078,26,1052
S01000129,550,26,524
S01000130,1557,84,1473
S01000131,622,254,368
S01000132,748,178,570
S01000133,878,680,198
S01000134,728,399,329
S01000135,687,20,667
S01000136,675,443,232
S01000137,954,130,824
S01000138,830,56,774
S01000139,790,724,66
S01000140,853,809,44
S01000141,824,460,364
S01000142,685,410,275
S01000143,618,610,8
S01000144,730,41,689
S01000145,815,575,240
S01000146,1537,67,1470
S01000147,1000,92,908
S01000148,605,253,352
S01000149,1180,92,1088
S01000150,619,472,147
S01000151,865,223,642
S01000152,1188,357,831
S01000153,963,34,929
S01000154,524,516,8
S01000155,739,600,139
S01000156,1019,84,935
S01000157,691,112,579
S01000158,926,482,444
S01000159,910,859,51
S01000160,761,728,33
S01000161,915,294,621
S01000162,830,412,418
S01000163,1049,870,179
S01000164,530,10,520
S01000165,904,83,821
S01000166,1146,369,777
S01000167,682,507,175
S01000168,974,847,127
S01000169,712,570,142
S01000170,1125,415,710
S01000171,1079,1050,29
S01000172,471,250,221
S01000173,849,399,450
S01000174,900,887,13
S01000175,536,50,486
S01000176,582,4,578
S01000177,559,184,375
S01000178,774,672,102
S01000179,877,42,835
S01000180,645,625,20
S01000181,606,531,75
S01000182,916,894,22
S01000183,1127,131,996
S01000184,737,415,322
S01000185,878,27,851
S01000186,948,499,449
S01000187,627,585,42
S01000188,730,167,563
S01000189,623,438,185
S01000190,835,764,71
S01000191,1223,472,751
S01000192,752,154,598
S01000193,717,613,104
S01000194,872,176,696
S01000195,723,215,508
S01000196,1005,467,538
S01000197,587,543,44
S01000198,831,284,547
S01000199,853,88,765
S01000200,833,47,786
S01000201,622,47,575
S01000202,1001,204,797
S01000203,712,65,647
S01000204,577,408,169
S01000205,830,233,597
S01000206,704,628,76
S01000207,928,36,892
S01000208,956,360,596
S01000209,1391,358,1033
S01000210,684,124,560
S01000211,747,250,497
S01000212,754,445,309
S01000213,740,62,678
S01000214,460,438,22
S01000215,1035,952,83
S01000216,654,507,147
S01000217,810,286,524
S01000218,666,644,22
S01000219,851,144,707
S01000220,692,160,532
S01000221,734,178,556
S01000222,737,662,75
S01000223,607,361,246
S01000224,806,770,36
S01000225,576,533,43
S01000226,599,447,152
S01000227,1253,958,295
S01000228,827,226,601
S01000229,822,429,393
S01000230,618,359,259
S01000231,694,596,98
S01000232,615,474,141
S01000233,496,276,220
S01000234,697,600,97
S01000235,737,659,78
S01000236,672,568,104
S01000237,816,781,35
S01000238,493,407,86
S01000239,691,652,39
S01000240,634,586,48
S01000241,599,590,9
S01000242,744,584,160
S01000243,649,639,10
S01000244,1139,669,470
S01000245,959,935,24
S01000246,689,681,8
S01000247,655,646,9
S01000248,741,629,112
S01000249,650,641,9
S01000250,770,760,10
S01000251,465,458,7
S01000252,790,713,77
S01000253,651,637,14
S01000254,832,739,93
S01000255,586,480,106
S01000256,805,732,73
S01000257,906,722,184
S01000258,608,576,32
S01000259,611,557,54
S01000260,865,848,17
S01000261,892,791,101
S01000262,913,786,127
S01000263,746,653,93
S01000264,909,638,271
S01000265,712,527,185
S01000266,1240,984,256
S01000267,641,504,137
S01000268,813,795,18
S01000269,626,616,10
S01000270,1031,1018,13
S01000271,877,804,73
S01000272,1122,1025,97
S01000273,620,613,7
S01000274,678,556,122
S01000275,1435,1321,114
S01000276,782,769,13
S01000277,703,617,86
S01000278,577,396,181
S01000279,875,861,14
S01000280,761,719,42
S01000281,675,603,72
S01000282,735,715,20
S01000283,1090,1062,28
S01000284,1264,1248,16
S01000285,719,716,3
S01000286,914,512,402
S01000287,676,567,109
S01000288,807,799,8
S01000289,884,722,162
S01000290,813,500,313
S01000291,884,859,25
S01000292,1003,798,205
S01000293,841,397,444
S01000294,648,630,18
S01000295,538,536,2
S01000296,952,791,161
S01000297,729,700,29
S01000298,1131,1098,33
S01000299,972,914,58
S01000300,759,746,13
S01000301,506,467,39
S01000302,625,619,6
S01000303,566,561,5
S01000304,829,828,1
S01000305,1040,1020,20
S01000306,790,776,14
S01000307,922,910,12
S01000308,1217,1187,30
S01000309,1188,1162,26
S01000310,942,890,52
S01000311,902,608,294
S01000312,512,446,66
S01000313,681,637,44
S01000314,551,514,37
S01000315,659,629,30
S01000316,889,815,74
S01000317,542,487,55
S01000318,549,545,4
S01000319,659,658,1
S01000320,671,546,125
S01000321,595,588,7
S01000322,992,904,88
S01000323,879,856,23
S01000324,835,823,12
S01000325,1291,1277,14
S01000326,805,762,43
S01000327,809,800,9
S01000328,534,534,0
S01000329,836,826,10
S01000330,1317,1279,38
S01000331,560,554,6
S01000332,733,649,84
S01000333,938,921,17
S01000334,875,829,46
S01000335,792,786,6
S01000336,1380,1204,176
S01000337,836,821,15
S01000338,490,468,22
S01000339,1194,1152,42
S01000340,1058,1025,33
S01000341,960,942,18
S01000342,474,466,8
S01000343,566,561,5
S01000344,992,970,22
S01000345,626,596,30
S01000346,643,573,70
S01000347,1544,1527,17
S01000348,730,618,112
S01000349,537,425,112
S01000350,1082,1047,35
S01000351,939,848,91
S01000352,699,650,49
S01000353,508,470,38
S01000354,1576,1405,171
S01000355,615,605,10
S01000356,642,638,4
S01000357,580,579,1
S01000358,889,869,20
S01000359,836,833,3
S01000360,529,506,23
S01000361,678,659,19
S01000362,971,888,83
S01000363,1178,1155,23
S01000364,928,914,14
S01000365,2070,2006,64
S01000366,2123,2092,31
S01000367,845,781,64
S01000368,1286,1147,139
S01000369,938,933,5
