dz_2011,total,scotland,nonscot
S01006506,765,587,178
S01006507,1092,885,207
S01006508,858,663,195
S01006509,715,644,71
S01006510,735,636,99
S01006511,1019,754,265
S01006512,407,292,115
S01006513,1006,762,244
S01006514,1117,709,408
S01006515,1168,770,398
S01006516,903,539,364
S01006517,1049,719,330
S01006518,1049,622,427
S01006519,874,514,360
S01006520,897,471,426
S01006521,577,382,195
S01006522,560,403,157
S01006523,1409,1032,377
S01006524,1299,797,502
S01006525,1305,896,409
S01006526,1529,1360,169
S01006527,1388,1256,132
S01006528,1125,1013,112
S01006529,1028,881,147
S01006530,1179,1067,112
S01006531,1278,1144,134
S01006532,806,697,109
S01006533,830,648,182
S01006534,983,784,199
S01006535,1063,871,192
S01006536,1246,1006,240
S01006537,852,734,118
S01006538,686,592,94
S01006539,1008,840,168
S01006540,1259,1069,190
S01006541,990,850,140
S01006542,963,743,220
S01006543,1012,863,149
S01006544,1140,844,296
S01006545,1112,908,204
S01006546,1175,972,203
S01006547,1409,1151,258
S01006548,770,668,102
S01006549,828,696,132
S01006550,1263,1024,239
S01006551,921,773,148
S01006552,1348,1168,180
S01006553,1022,887,135
S01006554,937,844,93
S01006555,1089,976,113
S01006556,1032,956,76
S01006557,862,765,97
S01006558,880,660,220
S01006559,639,496,143
S01006560,1056,830,226
S01006561,891,745,146
S01006562,1044,876,168
S01006563,1138,875,263
S01006564,1172,894,278
S01006565,1201,893,308
S01006566,851,613,238
S01006567,1149,870,279
S01006568,1104,790,314
S01006569,749,551,198
S01006570,875,635,240
S01006571,1168,800,368
S01006572,1364,1003,361
S01006573,706,442,264
S01006574,967,671,296
S01006575,1145,878,267
S01006576,871,646,225
S01006577,925,653,272
S01006578,1514,1144,370
S01006579,1299,979,320
S01006580,806,600,206
S01006581,1233,986,247
S01006582,591,446,145
S01006583,964,687,277
S01006584,872,591,281
S01006585,809,653,156
S01006586,803,594,209
S01006587,502,351,151
S01006588,650,449,201
S01006589,1065,820,245
S01006590,617,447,170
S01006591,544,402,142
S01006592,434,312,122
S01006593,589,410,179
S01006594,761,583,178
S01006595,740,519,221
S01006596,964,680,284
S01006597,822,655,167
S01006598,1074,811,263
S01006599,1087,886,201
S01006600,1326,1092,234
S01006601,953,777,176
S01006602,982,718,264
S01006603,1377,1275,102
S01006604,938,881,57
S01006605,868,809,59
S01006606,1380,1256,124
S01006607,1302,1211,91
S01006608,871,784,87
S01006609,1343,1273,70
S01006610,752,710,42
S01006611,1183,1120,63
S01006612,995,892,103
S01006613,474,410,64
S01006614,929,809,120
S01006615,445,395,50
S01006616,811,734,77
S01006617,1022,920,102
S01006618,568,506,62
S01006619,995,882,113
S01006620,1146,1055,91
S01006621,838,777,61
S01006622,655,587,68
S01006623,1500,1374,126
S01006624,800,699,101
S01006625,858,793,65
S01006626,839,775,64
S01006627,674,592,82
S01006628,1110,950,160
S01006629,925,842,83
S01006630,867,812,55
S01006631,1155,1003,152
S01006632,960,883,77
S01006633,967,910,57
S01006634,804,739,65
S01006635,1001,921,80
S01006636,980,899,81
S01006637,606,480,126
S01006638,1061,865,196
S01006639,944,766,178
S01006640,201,186,15
S01006641,962,808,154
S01006642,822,642,180
S01006643,1056,792,264
S01006644,590,487,103
S01006645,1185,978,207
S01006646,1040,736,304
S01006647,688,574,114
S01006648,1691,1259,432
S01006649,696,552,144
S01006650,914,713,201
S01006651,725,555,170
S01006652,678,528,150
S01006653,714,571,143
S01006654,861,766,95
S01006655,581,508,73
S01006656,906,694,212
S01006657,595,481,114
S01006658,1186,848,338
S01006659,895,677,218
S01006660,639,479,160
S01006661,726,579,147
S01006662,685,490,195
S01006663,1263,774,489
S01006664,421,327,94
S01006665,799,533,266
S01006666,1388,1217,171
S01006667,1059,933,126
S01006668,833,635,198
S01006669,1193,861,332
S01006670,471,408,63
S01006671,1338,774,564
S01006672,767,611,156
S01006673,960,675,285
S01006674,930,813,117
S01006675,520,407,113
S01006676,798,692,106
S01006677,697,625,72
S01006678,1092,976,116
S01006679,884,795,89
S01006680,801,679,122
S01006681,1134,1034,100
S01006682,812,681,131
S01006683,1164,948,216
S01006684,727,647,80
S01006685,854,769,85
S01006686,931,865,66
S01006687,987,898,89
S01006688,1064,991,73
S01006689,481,420,61
S01006690,772,650,122
S01006691,873,745,128
S01006692,918,793,125
S01006693,1157,1035,122
S01006694,1219,1151,68
S01006695,761,707,54
S01006696,1127,1034,93
S01006697,1122,1037,85
S01006698,938,875,63
S01006699,820,761,59
S01006700,1319,1166,153
S01006701,1102,1035,67
S01006702,996,931,65
S01006703,804,755,49
S01006704,896,847,49
S01006705,1004,950,54
S01006706,854,803,51
S01006707,772,728,44
S01006708,892,835,57
S01006709,1107,1016,91
S01006710,1164,1059,105
S01006711,1146,1069,77
S01006712,664,631,33
S01006713,997,951,46
S01006714,934,865,69
S01006715,1104,1046,58
S01006716,654,626,28
S01006717,1062,1000,62
S01006718,713,673,40
S01006719,1015,969,46
S01006720,786,753,33
S01006721,1005,935,70
S01006722,852,797,55
S01006723,1025,968,57
S01006724,1319,1237,82
S01006725,1038,979,59
S01006726,987,892,95
S01006727,1187,1095,92
S01006728,944,888,56
S01006729,863,790,73
S01006730,779,700,79
S01006731,557,537,20
S01006732,1047,872,175
S01006733,945,673,272
S01006734,1136,937,199
S01006735,952,737,215
S01006736,920,762,158
S01006737,822,643,179
S01006738,660,590,70
S01006739,525,489,36
S01006740,1072,1008,64
S01006741,812,771,41
S01006742,507,469,38
S01006743,968,847,121
S01006744,661,605,56
S01006745,1061,989,72
S01006746,768,730,38
S01006747,1207,1069,138
S01006748,1064,934,130
S01006749,1398,1245,153
S01006750,792,716,76
S01006751,486,451,35
S01006752,893,835,58
S01006753,946,829,117
S01006754,1233,1110,123
S01006755,817,674,143
S01006756,269,218,51
S01006757,1436,1312,124
S01006758,710,644,66
S01006759,646,552,94
S01006760,628,551,77
S01006761,1017,882,135
S01006762,1058,930,128
S01006763,1176,1037,139
S01006764,867,783,84
S01006765,781,677,104
S01006766,666,563,103
S01006767,939,873,66
S01006768,746,627,119
S01006769,1345,1164,181
S01006770,767,701,66
S01006771,570,484,86
S01006772,1452,1334,118
S01006773,736,649,87
S01006774,894,785,109
S01006775,805,709,96
S01006776,735,679,56
S01006777,1080,990,90
S01006778,955,887,68
S01006779,1099,1008,91
S01006780,899,823,76
S01006781,1030,940,90
S01006782,985,699,286
S01006783,680,620,60
S01006784,726,632,94
S01006785,714,644,70
S01006786,1124,950,174
S01006787,1121,953,168
S01006788,694,603,91
S01006789,973,740,233
S01006790,898,718,180
S01006791,514,375,139
S01006792,689,476,213
S01006793,639,477,162
S01006794,841,636,205
S01006795,703,461,242
S01006796,379,252,127
S01006797,673,423,250
S01006798,691,498,193
S01006799,960,741,219
S01006800,899,589,310
S01006801,739,624,115
S01006802,679,551,128
S01006803,751,666,85
S01006804,731,649,82
S01006805,1072,914,158
S01006806,1015,843,172
S01006807,524,417,107
S01006808,890,688,202
S01006809,960,797,163
S01006810,1017,767,250
S01006811,881,684,197
S01006812,751,611,140
S01006813,864,716,148
S01006814,958,762,196
