"dz_2001","total","owned","nonowned"
"S01000001",852,621,231
"S01000002",678,628,50
"S01000003",788,709,79
"S01000004",612,555,57
"S01000005",643,546,97
"S01000006",577,401,176
"S01000007",749,636,113
"S01000008",580,430,150
"S01000009",681,609,72
"S01000010",514,485,29
"S01000011",940,759,181
"S01000012",1528,1332,196
"S01000013",836,591,245
"S01000014",881,779,102
"S01000015",669,607,62
"S01000016",467,378,89
"S01000017",848,693,155
"S01000018",520,460,60
"S01000019",568,506,62
"S01000020",711,534,177
"S01000021",861,690,171
"S01000022",627,563,64
"S01000023",762,629,133
"S01000024",496,398,98
"S01000025",807,741,66
"S01000026",820,414,406
"S01000027",798,681,117
"S01000028",919,536,383
"S01000029",729,522,207
"S01000030",449,267,182
"S01000031",941,805,136
"S01000032",1063,642,421
"S01000033",802,384,418
"S01000034",1237,1046,191
"S01000035",981,479,502
"S01000036",674,282,392
"S01000037",705,437,268
"S01000038",675,478,197
"S01000039",902,409,493
"S01000040",932,626,306
"S01000041",818,632,186
"S01000042",748,356,392
"S01000043",892,390,502
"S01000044",955,349,606
"S01000045",569,542,27
"S01000046",754,686,68
"S01000047",805,385,420
"S01000048",960,779,181
"S01000049",713,635,78
"S01000050",703,558,145
"S01000051",797,754,43
"S01000052",627,279,348
"S01000053",1058,644,414
"S01000054",801,665,136
"S01000055",724,222,502
"S01000056",1014,865,149
"S01000057",699,212,487
"S01000058",694,620,74
"S01000059",957,716,241
"S01000060",634,92,542
"S01000061",1000,828,172
"S01000062",1038,706,332
"S01000063",910,781,129
"S01000064",623,354,269
"S01000065",1002,647,355
"S01000066",806,355,451
"S01000067",1065,822,243
"S01000068",851,676,175
"S01000069",718,260,458
"S01000070",658,293,365
"S01000071",812,190,622
"S01000072",907,605,302
"S01000073",626,588,38
"S01000074",870,106,764
"S01000075",539,270,269
"S01000076",721,679,42
"S01000077",909,686,223
"S01000078",1097,332,765
"S01000079",1422,825,597
"S01000080",1013,611,402
"S01000081",889,758,131
"S01000082",904,360,544
"S01000083",772,541,231
"S01000084",843,304,539
