dz_2001,total,married,single
S01000001,749,350,399
S01000002,491,292,199
S01000003,665,330,335
S01000004,493,280,213
S01000005,552,215,337
S01000006,549,259,290
S01000007,633,400,233
S01000008,479,254,225
S01000009,574,299,275
S01000010,469,267,202
S01000011,809,528,281
S01000012,1161,720,441
S01000013,696,363,333
S01000014,744,389,355
S01000015,549,284,265
S01000016,452,236,216
S01000017,738,397,341
S01000018,428,226,202
S01000019,529,288,241
S01000020,772,351,421
S01000021,741,387,354
S01000022,514,358,156
S01000023,569,396,173
S01000024,360,257,103
S01000025,675,451,224
S01000026,704,261,443
S01000027,650,426,224
S01000028,772,331,441
S01000029,505,355,150
S01000030,386,156,230
S01000031,766,419,347
S01000032,886,380,506
S01000033,658,218,440
S01000034,951,673,278
S01000035,876,345,531
S01000036,559,215,344
S01000037,670,241,429
S01000038,587,292,295
S01000039,784,264,520
S01000040,769,348,421
S01000041,732,377,355
S01000042,671,220,451
S01000043,790,247,543
S01000044,811,280,531
S01000045,480,298,182
S01000046,638,423,215
S01000047,751,211,540
S01000048,825,485,340
S01000049,626,327,299
S01000050,644,317,327
S01000051,678,441,237
S01000052,489,182,307
S01000053,978,375,603
S01000054,680,379,301
S01000055,650,222,428
S01000056,808,493,315
S01000057,529,199,330
S01000058,594,350,244
S01000059,805,436,369
S01000060,465,129,336
S01000061,874,515,359
S01000062,912,327,585
S01000063,729,415,314
S01000064,547,249,298
S01000065,899,307,592
S01000066,891,239,652
S01000067,935,451,484
S01000068,737,363,374
S01000069,614,179,435
S01000070,522,244,278
S01000071,658,191,467
S01000072,769,391,378
S01000073,526,320,206
S01000074,641,206,435
S01000075,508,137,371
S01000076,618,423,195
S01000077,768,367,401
S01000078,978,257,721
S01000079,1314,361,953
S01000080,920,257,663
S01000081,745,422,323
S01000082,805,244,561
S01000083,632,299,333
S01000084,773,196,577
S01000085,498,57,441
S01000086,639,239,400
S01000087,930,481,449
S01000088,852,217,635
S01000089,821,535,286
S01000090,682,261,421
S01000091,1025,226,799
S01000092,859,172,687
S01000093,654,165,489
S01000094,678,92,586
S01000095,643,182,461
S01000096,591,218,373
S01000097,809,447,362
S01000098,1160,206,954
S01000099,699,417,282
S01000100,817,139,678
S01000101,748,353,395
S01000102,734,163,571
S01000103,573,110,463
S01000104,718,455,263
S01000105,753,372,381
S01000106,566,317,249
S01000107,1181,188,993
S01000108,699,196,503
S01000109,991,174,817
S01000110,726,377,349
S01000111,657,288,369
S01000112,891,193,698
S01000113,513,260,253
S01000114,656,224,432
S01000115,707,322,385
S01000116,876,192,684
S01000117,847,435,412
S01000118,615,304,311
S01000119,789,151,638
S01000120,495,166,329
S01000121,608,315,293
S01000122,581,217,364
S01000123,544,342,202
S01000124,953,161,792
S01000125,550,132,418
S01000126,900,147,753
S01000127,615,359,256
S01000128,1730,180,1550
S01000129,979,86,893
S01000130,1479,265,1214
S01000131,563,195,368
S01000132,684,196,488
S01000133,678,319,359
S01000134,554,209,345
S01000135,577,131,446
S01000136,522,220,302
S01000137,858,188,670
S01000138,1332,147,1185
S01000139,668,338,330
S01000140,753,388,365
S01000141,671,366,305
S01000142,543,206,337
S01000143,501,363,138
S01000144,709,103,606
S01000145,708,266,442
S01000146,1438,248,1190
S01000147,980,183,797
S01000148,481,164,317
S01000149,1128,220,908
S01000150,495,217,278
S01000151,735,309,426
S01000152,1163,358,805
S01000153,915,151,764
S01000154,454,245,209
S01000155,627,247,380
S01000156,878,190,688
S01000157,608,158,450
S01000158,772,342,430
S01000159,756,456,300
S01000160,635,315,320
S01000161,861,198,663
S01000162,754,329,425
S01000163,887,407,480
S01000164,901,124,777
S01000165,798,191,607
S01000166,1203,197,1006
S01000167,589,271,318
S01000168,819,367,452
S01000169,608,297,311
S01000170,1061,260,801
S01000171,772,475,297
S01000172,410,198,212
S01000173,695,263,432
S01000174,646,471,175
S01000175,482,101,381
S01000176,739,93,646
S01000177,497,185,312
S01000178,619,279,340
S01000179,742,225,517
S01000180,553,258,295
S01000181,496,220,276
S01000182,724,335,389
S01000183,1163,210,953
S01000184,669,289,380
S01000185,772,184,588
S01000186,851,391,460
S01000187,519,247,272
S01000188,1161,214,947
S01000189,439,181,258
S01000190,695,318,377
S01000191,1079,428,651
S01000192,685,151,534
S01000193,572,264,308
S01000194,697,220,477
S01000195,621,180,441
S01000196,687,241,446
S01000197,477,232,245
S01000198,639,244,395
S01000199,662,221,441
S01000200,719,222,497
S01000201,521,200,321
S01000202,834,289,545
S01000203,530,173,357
S01000204,482,197,285
S01000205,841,248,593
S01000206,579,306,273
S01000207,779,240,539
S01000208,784,251,533
S01000209,985,319,666
S01000210,605,165,440
S01000211,606,238,368
S01000212,588,232,356
S01000213,638,180,458
S01000214,388,188,200
S01000215,922,475,447
S01000216,581,295,286
S01000217,653,232,421
S01000218,596,309,287
S01000219,668,205,463
S01000220,2556,245,2311
S01000221,765,178,587
S01000222,637,295,342
S01000223,529,221,308
S01000224,712,325,387
S01000225,498,248,250
S01000226,548,271,277
S01000227,1108,560,548
S01000228,714,202,512
S01000229,707,275,432
S01000230,549,217,332
S01000231,599,344,255
S01000232,527,201,326
S01000233,447,203,244
S01000234,629,371,258
S01000235,749,351,398
S01000236,585,350,235
S01000237,728,475,253
S01000238,421,219,202
S01000239,607,353,254
S01000240,566,342,224
S01000241,507,345,162
S01000242,624,318,306
S01000243,553,395,158
S01000244,1005,421,584
S01000245,793,460,333
S01000246,591,339,252
S01000247,567,382,185
S01000248,651,378,273
S01000249,569,349,220
S01000250,681,417,264
S01000251,378,236,142
S01000252,665,342,323
S01000253,540,374,166
S01000254,672,410,262
S01000255,500,242,258
S01000256,718,422,296
S01000257,772,484,288
S01000258,505,283,222
S01000259,495,316,179
S01000260,667,369,298
S01000261,808,508,300
S01000262,779,447,332
S01000263,662,347,315
S01000264,773,404,369
S01000265,596,305,291
S01000266,1010,538,472
S01000267,627,299,328
S01000268,656,362,294
S01000269,507,339,168
S01000270,849,516,333
S01000271,704,399,305
S01000272,894,468,426
S01000273,484,301,183
S01000274,548,270,278
S01000275,1149,659,490
S01000276,624,395,229
S01000277,586,339,247
S01000278,485,208,277
S01000279,796,484,312
S01000280,595,312,283
S01000281,556,279,277
S01000282,601,347,254
S01000283,841,525,316
S01000284,946,628,318
S01000285,580,377,203
S01000286,799,352,447
S01000287,613,326,287
S01000288,678,388,290
S01000289,735,315,420
S01000290,652,226,426
S01000291,785,475,310
S01000292,862,493,369
S01000293,745,287,458
S01000294,510,310,200
S01000295,452,312,140
S01000296,745,454,291
S01000297,627,330,297
S01000298,841,501,340
S01000299,844,532,312
S01000300,609,373,236
S01000301,478,264,214
S01000302,493,325,168
S01000303,498,302,196
S01000304,645,457,188
S01000305,864,475,389
S01000306,622,411,211
S01000307,729,418,311
S01000308,1015,615,400
S01000309,936,545,391
S01000310,778,410,368
S01000311,802,416,386
S01000312,470,231,239
S01000313,575,336,239
S01000314,474,263,211
S01000315,562,366,196
S01000316,766,408,358
S01000317,465,227,238
S01000318,455,304,151
S01000319,583,338,245
S01000320,587,268,319
S01000321,492,300,192
S01000322,805,512,293
S01000323,709,393,316
S01000324,669,411,258
S01000325,973,586,387
S01000326,651,328,323
S01000327,680,427,253
S01000328,426,213,213
S01000329,642,310,332
S01000330,956,593,363
S01000331,499,267,232
S01000332,587,364,223
S01000333,741,457,284
S01000334,745,368,377
S01000335,650,414,236
S01000336,1111,637,474
S01000337,676,441,235
S01000338,405,233,172
S01000339,968,589,379
S01000340,866,547,319
S01000341,848,471,377
S01000342,380,185,195
S01000343,490,286,204
S01000344,795,459,336
S01000345,490,268,222
S01000346,521,295,226
S01000347,1170,706,464
S01000348,613,337,276
S01000349,456,248,208
S01000350,842,545,297
S01000351,787,460,327
S01000352,598,381,217
S01000353,427,289,138
S01000354,1171,647,524
S01000355,512,331,181
S01000356,518,348,170
S01000357,481,310,171
S01000358,762,501,261
S01000359,647,443,204
S01000360,446,237,209
S01000361,518,337,181
S01000362,796,498,298
S01000363,931,628,303
S01000364,780,457,323
S01000365,1513,969,544
S01000366,1494,985,509
S01000367,723,444,279
S01000368,1013,591,422
S01000369,797,498,299
S01000370,1138,694,444
S01000371,784,442,342
S01000372,797,406,391
S01000373,521,322,199
S01000374,529,294,235
S01000375,493,228,265
S01000376,659,333,326
S01000377,701,412,289
S01000378,417,253,164
S01000379,505,347,158
S01000380,759,480,279
S01000381,1227,839,388
S01000382,617,389,228
S01000383,893,485,408
S01000384,587,323,264
S01000385,484,226,258
S01000386,979,509,470
S01000387,732,441,291
S01000388,847,508,339
S01000389,621,381,240
S01000390,672,297,375
S01000391,604,252,352
S01000392,650,362,288
S01000393,763,426,337
S01000394,540,287,253
S01000395,624,381,243
S01000396,732,337,395
S01000397,820,453,367
S01000398,1792,1108,684
S01000399,534,222,312
S01000400,713,264,449
S01000401,729,483,246
S01000402,613,318,295
S01000403,681,362,319
S01000404,604,327,277
S01000405,422,250,172
S01000406,450,161,289
S01000407,517,227,290
S01000408,490,281,209
S01000409,504,272,232
S01000410,590,387,203
S01000411,566,337,229
S01000412,649,383,266
S01000413,709,437,272
S01000414,566,357,209
S01000415,766,425,341
S01000416,683,383,300
S01000417,839,477,362
S01000418,588,353,235
S01000419,1112,699,413
S01000420,1060,580,480
S01000421,603,387,216
S01000422,775,427,348
S01000423,794,532,262
S01000424,581,340,241
S01000425,699,394,305
S01000426,640,419,221
S01000427,638,290,348
S01000428,572,339,233
S01000429,778,467,311
S01000430,434,247,187
S01000431,625,259,366
S01000432,790,484,306
S01000433,453,194,259
S01000434,489,214,275
S01000435,434,250,184
S01000436,507,311,196
S01000437,826,443,383
S01000438,485,345,140
S01000439,652,398,254
S01000440,899,528,371
S01000441,735,436,299
S01000442,687,453,234
S01000443,501,338,163
S01000444,1808,1178,630
S01000445,1002,598,404
S01000446,777,460,317
S01000447,604,342,262
S01000448,673,396,277
S01000449,625,326,299
S01000450,489,258,231
S01000451,718,421,297
S01000452,495,280,215
S01000453,482,296,186
S01000454,371,176,195
S01000455,697,404,293
S01000456,875,504,371
S01000457,720,365,355
S01000458,739,463,276
S01000459,874,398,476
S01000460,571,254,317
S01000461,730,273,457
S01000462,870,392,478
S01000463,549,281,268
S01000464,672,420,252
S01000465,565,362,203
S01000466,720,460,260
S01000467,524,279,245
S01000468,433,272,161
S01000469,513,322,191
S01000470,903,466,437
S01000471,645,390,255
S01000472,599,337,262
S01000473,549,286,263
S01000474,505,319,186
S01000475,585,274,311
S01000476,528,339,189
S01000477,594,343,251
S01000478,669,311,358
S01000479,717,346,371
S01000480,549,330,219
S01000481,1623,939,684
S01000482,753,259,494
S01000483,858,352,506
S01000484,684,287,397
S01000485,853,534,319
S01000486,917,265,652
S01000487,557,279,278
S01000488,537,252,285
S01000489,794,280,514
S01000490,451,220,231
S01000491,437,149,288
S01000492,734,293,441
S01000493,547,278,269
S01000494,439,174,265
S01000495,759,491,268
S01000496,423,296,127
S01000497,614,322,292
S01000498,459,275,184
S01000499,813,443,370
S01000500,485,212,273
S01000501,502,256,246
S01000502,528,310,218
S01000503,402,254,148
S01000504,675,302,373
S01000505,601,354,247
S01000506,806,493,313
S01000507,829,390,439
S01000508,775,451,324
S01000509,880,463,417
S01000510,574,301,273
S01000511,473,276,197
S01000512,793,520,273
S01000513,722,358,364
S01000514,743,434,309
S01000515,447,279,168
S01000516,694,434,260
S01000517,598,327,271
S01000518,803,415,388
S01000519,422,251,171
S01000520,916,541,375
S01000521,767,387,380
S01000522,550,364,186
S01000523,706,356,350
S01000524,590,360,230
S01000525,877,543,334
S01000526,835,518,317
S01000527,543,359,184
S01000528,775,483,292
S01000529,683,428,255
S01000530,398,264,134
S01000531,509,280,229
S01000532,658,355,303
S01000533,615,337,278
S01000534,624,303,321
S01000535,830,408,422
S01000536,394,234,160
S01000537,808,513,295
S01000538,603,288,315
S01000539,833,347,486
S01000540,628,293,335
S01000541,494,227,267
S01000542,537,253,284
S01000543,678,374,304
S01000544,581,341,240
S01000545,613,276,337
S01000546,685,370,315
S01000547,447,242,205
S01000548,880,487,393
S01000549,976,620,356
S01000550,398,274,124
S01000551,774,381,393
S01000552,475,313,162
S01000553,745,426,319
S01000554,531,200,331
S01000555,708,323,385
S01000556,658,310,348
S01000557,749,394,355
S01000558,488,263,225
S01000559,566,264,302
S01000560,907,402,505
S01000561,866,383,483
S01000562,696,308,388
S01000563,939,317,622
S01000564,723,269,454
S01000565,608,310,298
S01000566,676,332,344
S01000567,668,334,334
S01000568,435,262,173
S01000569,606,341,265
S01000570,773,461,312
S01000571,712,293,419
S01000572,607,383,224
S01000573,444,295,149
S01000574,697,407,290
S01000575,541,302,239
S01000576,472,326,146
S01000577,476,265,211
S01000578,526,327,199
S01000579,714,435,279
S01000580,739,490,249
S01000581,590,377,213
S01000582,503,252,251
S01000583,740,434,306
S01000584,687,267,420
S01000585,998,436,562
S01000586,608,345,263
S01000587,552,238,314
S01000588,503,272,231
S01000589,562,317,245
S01000590,707,399,308
S01000591,655,398,257
S01000592,745,419,326
S01000593,1173,710,463
S01000594,994,623,371
S01000595,636,351,285
S01000596,679,445,234
