dz_2001,total,religious,nonreligious
S01000001,765,481,284
S01000002,687,348,339
S01000003,838,389,449
S01000004,641,349,292
S01000005,663,421,242
S01000006,626,438,188
S01000007,735,553,182
S01000008,584,392,192
S01000009,710,374,336
S01000010,568,325,243
S01000011,918,607,311
S01000012,816,461,355
S01000013,898,594,304
S01000014,919,469,450
S01000015,655,343,312
S01000016,564,431,133
S01000017,937,474,463
S01000018,577,279,298
S01000019,531,356,175
S01000020,877,629,248
S01000021,862,486,376
S01000022,663,489,174
S01000023,805,567,238
S01000024,512,316,196
S01000025,874,597,277
S01000026,930,508,422
S01000027,815,566,249
S01000028,969,517,452
S01000029,742,488,254
S01000030,500,236,264
S01000031,866,570,296
S01000032,1089,612,477
S01000033,796,385,411
S01000034,1012,647,365
S01000035,1009,611,398
S01000036,744,422,322
S01000037,800,425,375
S01000038,684,378,306
S01000039,942,521,421
S01000040,970,550,420
S01000041,838,545,293
S01000042,790,454,336
S01000043,837,517,320
S01000044,951,538,413
S01000045,581,409,172
S01000046,768,536,232
S01000047,759,485,274
S01000048,925,586,339
S01000049,764,528,236
S01000050,618,403,215
S01000051,788,582,206
S01000052,677,327,350
S01000053,1014,652,362
S01000054,777,555,222
S01000055,754,371,383
S01000056,1049,696,353
S01000057,700,310,390
S01000058,710,438,272
S01000059,806,475,331
S01000060,577,253,324
S01000061,963,700,263
S01000062,991,553,438
S01000063,983,659,324
S01000064,648,357,291
S01000065,953,551,402
S01000066,800,413,387
S01000067,897,650,247
S01000068,862,564,298
S01000069,684,341,343
S01000070,646,297,349
S01000071,740,314,426
S01000072,832,580,252
S01000073,619,453,166
S01000074,763,269,494
S01000075,547,336,211
S01000076,770,563,207
S01000077,917,571,346
S01000078,817,376,441
S01000079,952,517,435
S01000080,927,501,426
S01000081,924,650,274
S01000082,954,468,486
S01000083,757,461,296
S01000084,674,324,350
S01000085,555,282,273
S01000086,745,466,279
S01000087,820,582,238
S01000088,639,321,318
S01000089,1003,758,245
S01000090,800,485,315
S01000091,929,549,380
S01000092,851,475,376
S01000093,404,200,204
S01000094,575,297,278
S01000095,703,391,312
S01000096,706,469,237
S01000097,967,670,297
S01000098,1022,538,484
S01000099,762,548,214
S01000100,760,394,366
S01000101,885,543,342
S01000102,747,431,316
S01000103,603,336,267
S01000104,863,610,253
S01000105,885,593,292
S01000106,706,498,208
S01000107,889,404,485
S01000108,606,346,260
S01000109,895,514,381
S01000110,820,548,272
S01000111,762,490,272
S01000112,970,563,407
S01000113,545,315,230
S01000114,876,489,387
S01000115,873,509,364
S01000116,901,490,411
S01000117,1056,725,331
S01000118,704,411,293
S01000119,786,418,368
S01000120,574,341,233
S01000121,796,532,264
S01000122,764,375,389
S01000123,648,444,204
S01000124,985,538,447
S01000125,701,365,336
S01000126,867,489,378
S01000127,798,508,290
S01000128,1538,874,664
S01000129,549,349,200
S01000130,865,456,409
S01000131,659,368,291
S01000132,784,425,359
S01000133,737,418,319
S01000134,762,326,436
S01000135,721,352,369
S01000136,706,336,370
S01000137,786,419,367
S01000138,822,449,373
S01000139,817,450,367
S01000140,943,510,433
S01000141,945,661,284
S01000142,772,334,438
S01000143,633,446,187
S01000144,547,283,264
S01000145,905,519,386
S01000146,963,491,472
S01000147,735,387,348
S01000148,694,302,392
S01000149,1011,545,466
S01000150,636,286,350
S01000151,907,479,428
S01000152,1083,721,362
S01000153,529,272,257
S01000154,557,305,252
S01000155,784,377,407
S01000156,970,512,458
S01000157,692,381,311
S01000158,933,536,397
S01000159,1014,658,356
S01000160,813,470,343
S01000161,959,541,418
S01000162,886,534,352
S01000163,1022,503,519
S01000164,471,287,184
S01000165,861,476,385
S01000166,1147,687,460
S01000167,712,391,321
S01000168,956,451,505
S01000169,761,429,332
S01000170,1035,595,440
S01000171,892,458,434
S01000172,501,263,238
S01000173,811,421,390
S01000174,873,539,334
S01000175,528,251,277
S01000176,744,443,301
S01000177,554,325,229
S01000178,760,347,413
S01000179,757,424,333
S01000180,693,321,372
S01000181,654,263,391
S01000182,873,365,508
S01000183,1000,539,461
S01000184,793,496,297
S01000185,787,427,360
S01000186,957,643,314
S01000187,713,321,392
S01000188,1079,663,416
S01000189,624,257,367
S01000190,887,428,459
S01000191,1057,661,396
S01000192,767,354,413
S01000193,802,313,489
S01000194,745,367,378
S01000195,697,363,334
S01000196,924,382,542
S01000197,610,304,306
S01000198,746,341,405
S01000199,716,330,386
S01000200,846,465,381
S01000201,654,324,330
S01000202,888,474,414
S01000203,453,206,247
S01000204,622,269,353
S01000205,960,558,402
S01000206,714,357,357
S01000207,883,482,401
S01000208,857,425,432
S01000209,987,415,572
S01000210,578,270,308
S01000211,713,382,331
S01000212,788,371,417
S01000213,672,335,337
S01000214,507,316,191
S01000215,736,512,224
S01000216,619,353,266
S01000217,698,309,389
S01000218,718,458,260
S01000219,698,297,401
S01000220,1399,863,536
S01000221,897,476,421
S01000222,758,493,265
S01000223,525,307,218
S01000224,768,477,291
S01000225,595,353,242
S01000226,618,343,275
S01000227,646,352,294
S01000228,660,329,331
S01000229,795,479,316
S01000230,678,364,314
S01000231,710,431,279
S01000232,669,396,273
S01000233,567,359,208
S01000234,762,469,293
S01000235,888,531,357
S01000236,680,449,231
S01000237,916,624,292
S01000238,516,271,245
S01000239,733,473,260
S01000240,721,416,305
S01000241,746,462,284
S01000242,690,454,236
S01000243,739,438,301
S01000244,1045,612,433
S01000245,953,564,389
S01000246,750,405,345
S01000247,767,444,323
S01000248,868,468,400
S01000249,738,398,340
S01000250,805,483,322
S01000251,501,298,203
S01000252,867,443,424
S01000253,745,438,307
S01000254,808,453,355
S01000255,632,317,315
S01000256,919,635,284
S01000257,826,525,301
S01000258,666,407,259
S01000259,614,369,245
S01000260,890,424,466
S01000261,1007,660,347
S01000262,946,647,299
S01000263,794,425,369
S01000264,1033,564,469
S01000265,778,509,269
S01000266,984,659,325
S01000267,691,455,236
S01000268,779,539,240
S01000269,561,379,182
S01000270,964,686,278
S01000271,906,555,351
S01000272,940,652,288
S01000273,524,322,202
S01000274,594,418,176
S01000275,982,782,200
S01000276,740,501,239
S01000277,674,474,200
S01000278,537,405,132
S01000279,613,447,166
S01000280,620,453,167
S01000281,679,457,222
S01000282,663,407,256
S01000283,881,561,320
S01000284,819,569,250
S01000285,672,473,199
S01000286,880,613,267
S01000287,724,525,199
S01000288,897,602,295
S01000289,849,569,280
S01000290,775,514,261
S01000291,831,595,236
S01000292,980,655,325
S01000293,765,513,252
S01000294,699,477,222
S01000295,607,431,176
S01000296,532,372,160
S01000297,736,511,225
S01000298,528,345,183
