"dz_2001","total","scotland","ruk","elsewhere"
"S01000001",872,648,138,86
"S01000002",678,581,43,54
"S01000003",788,694,46,48
"S01000004",612,527,55,30
"S01000005",643,506,82,55
"S01000006",644,550,61,33
"S01000007",751,598,96,57
"S01000008",580,491,52,37
"S01000009",681,622,34,25
"S01000010",514,455,32,27
"S01000011",1043,680,141,222
"S01000012",1528,1267,94,167
"S01000013",836,702,67,67
"S01000014",881,756,78,47
"S01000015",669,580,44,45
"S01000016",540,329,99,112
"S01000017",848,759,47,42
"S01000018",520,457,36,27
"S01000019",648,502,83,63
"S01000020",914,575,160,179
"S01000021",861,764,48,49
"S01000022",627,408,137,82
"S01000023",762,523,126,113
"S01000024",519,348,100,71
"S01000025",865,543,155,167
"S01000026",849,743,37,69
"S01000027",798,577,81,140
"S01000028",919,796,50,73
"S01000029",729,403,122,204
"S01000030",449,417,9,23
"S01000031",941,666,150,125
"S01000032",1063,958,47,58
"S01000033",802,712,36,54
"S01000034",1238,799,245,194
"S01000035",1034,740,66,228
"S01000036",683,568,34,81
"S01000037",765,622,54,89
"S01000038",678,601,28,49
"S01000039",902,736,61,105
"S01000040",934,841,42,51
"S01000041",831,691,67,73
"S01000042",755,632,42,81
"S01000043",896,644,68,184
"S01000044",959,777,48,134
"S01000045",569,483,51,35
"S01000046",754,624,69,61
"S01000047",807,598,78,131
"S01000048",960,741,98,121
"S01000049",747,605,80,62
"S01000050",744,591,70,83
"S01000051",797,699,51,47
"S01000052",627,571,18,38
"S01000053",1100,843,111,146
"S01000054",801,670,70,61
"S01000055",803,605,46,152
"S01000056",1014,713,172,129
"S01000057",699,564,37,98
"S01000058",712,555,72,85
"S01000059",957,659,133,165
"S01000060",634,481,31,122
"S01000061",1001,747,109,145
"S01000062",1038,736,117,185
"S01000063",910,701,100,109
"S01000064",623,488,35,100
"S01000065",1002,772,78,152
"S01000066",959,669,71,219
"S01000067",1065,805,100,160
"S01000068",879,630,102,147
"S01000069",718,586,29,103
"S01000070",658,514,36,108
"S01000071",812,589,49,174
"S01000072",907,722,80,105
"S01000073",630,549,48,33
"S01000074",870,680,41,149
"S01000075",539,407,50,82
"S01000076",721,624,56,41
"S01000077",951,679,127,145
"S01000078",1097,575,78,444
"S01000079",1448,915,209,324
"S01000080",1015,699,122,194
"S01000081",889,698,85,106
"S01000082",933,759,64,110
"S01000083",774,525,94,155
"S01000084",859,520,64,275
"S01000085",520,340,72,108
"S01000086",725,436,115,174
"S01000087",1071,709,145,217
"S01000088",934,608,125,201
"S01000089",947,778,95,74
"S01000090",769,481,113,175
"S01000091",1096,706,127,263
"S01000092",906,527,100,279
"S01000093",735,456,88,191
"S01000094",712,427,95,190
"S01000095",717,464,100,153
"S01000096",690,559,40,91
"S01000097",1001,670,137,194
"S01000098",1240,713,128,399
"S01000099",811,635,82,94
"S01000100",871,497,91,283
"S01000101",888,610,146,132
"S01000102",795,539,77,179
"S01000103",628,367,100,161
"S01000104",905,632,122,151
"S01000105",870,696,71,103
"S01000106",724,489,116,119
"S01000107",1269,698,121,450
"S01000108",753,485,96,172
"S01000109",1019,635,128,256
"S01000110",846,719,54,73
"S01000111",791,518,94,179
"S01000112",983,670,96,217
"S01000113",607,414,62,131
"S01000114",814,596,49,169
"S01000115",838,712,50,76
"S01000116",923,563,101,259
"S01000117",1033,778,124,131
"S01000118",712,569,64,79
"S01000119",835,553,97,185
"S01000120",566,332,77,157
"S01000121",718,582,68,68
"S01000122",701,587,37,77
"S01000123",673,500,75,98
"S01000124",988,570,111,307
"S01000125",648,484,47,117
"S01000126",945,605,128,212
"S01000127",766,592,90,84
"S01000128",1804,1017,184,603
"S01000129",1005,429,236,340
"S01000130",1557,929,230,398
"S01000131",622,439,86,97
"S01000132",757,480,102,175
"S01000133",878,768,47,63
"S01000134",728,652,30,46
"S01000135",687,493,49,145
"S01000136",675,558,28,89
"S01000137",967,629,86,252
"S01000138",1373,729,236,408
"S01000139",790,661,37,92
"S01000140",853,771,49,33
"S01000141",826,563,101,162
"S01000142",685,577,39,69
"S01000143",618,490,48,80
"S01000144",730,431,129,170
"S01000145",815,733,50,32
"S01000146",1537,912,177,448
"S01000147",1042,662,118,262
"S01000148",605,537,25,43
"S01000149",1180,691,152,337
"S01000150",619,537,31,51
"S01000151",865,784,23,58
"S01000152",1288,844,148,296
"S01000153",963,623,124,216
"S01000154",524,478,21,25
"S01000155",739,671,23,45
"S01000156",1031,549,129,353
"S01000157",691,558,23,110
"S01000158",926,728,49,149
"S01000159",976,768,65,143
"S01000160",761,692,33,36
"S01000161",915,556,166,193
"S01000162",830,617,70,143
"S01000163",1057,957,35,65
"S01000164",929,587,147,195
"S01000165",914,697,63,154
"S01000166",1274,716,183,375
"S01000167",701,631,31,39
"S01000168",975,874,41,60
"S01000169",712,609,19,84
"S01000170",1133,654,155,324
"S01000171",1079,839,108,132
"S01000172",471,359,32,80
"S01000173",849,668,35,146
"S01000174",900,675,98,127
"S01000175",536,330,67,139
"S01000176",762,474,88,200
"S01000177",559,392,50,117
"S01000178",774,658,36,80
"S01000179",877,593,51,233
"S01000180",663,591,29,43
"S01000181",606,524,32,50
"S01000182",916,820,44,52
"S01000183",1362,699,167,496
"S01000184",742,560,81,101
"S01000185",887,586,67,234
"S01000186",950,825,63,62
"S01000187",627,525,27,75
"S01000188",1219,611,159,449
"S01000189",623,537,29,57
"S01000190",835,745,36,54
"S01000191",1223,860,137,226
"S01000192",810,536,89,185
"S01000193",727,649,29,49
"S01000194",872,529,72,271
"S01000195",723,486,54,183
"S01000196",1005,844,52,109
"S01000197",587,512,21,54
"S01000198",831,668,41,122
"S01000199",853,487,54,312
"S01000200",833,677,48,108
"S01000201",622,498,39,85
"S01000202",1015,719,83,213
"S01000203",712,376,38,298
"S01000204",577,525,24,28
"S01000205",973,539,107,327
"S01000206",704,579,49,76
"S01000207",928,658,46,224
"S01000208",1015,758,31,226
"S01000209",1391,948,70,373
"S01000210",684,446,49,189
"S01000211",747,491,45,211
"S01000212",754,622,35,97
"S01000213",740,579,53,108
"S01000214",460,418,16,26
"S01000215",1160,909,130,121
"S01000216",654,535,48,71
"S01000217",810,508,53,249
"S01000218",666,602,36,28
"S01000219",851,486,50,315
"S01000220",2648,1145,441,1062
"S01000221",840,700,67,73
"S01000222",737,656,45,36
"S01000223",607,503,37,67
"S01000224",846,775,43,28
"S01000225",576,502,42,32
"S01000226",608,473,66,69
"S01000227",1334,1087,106,141
"S01000228",829,674,72,83
"S01000229",822,734,39,49
"S01000230",618,536,38,44
"S01000231",694,618,45,31
"S01000232",615,542,33,40
"S01000233",496,426,28,42
"S01000234",697,631,42,24
"S01000235",837,740,49,48
"S01000236",672,584,42,46
"S01000237",816,725,51,40
"S01000238",493,428,34,31
