"dz_2001","total","employed","unemployed","student","retired","homemaker","sick","inactive_other"
"S01000001",581,392,14,31,69,38,20,17
"S01000002",518,448,5,14,15,21,7,8
"S01000003",595,496,8,24,18,29,10,10
"S01000004",490,408,7,17,26,24,2,6
"S01000005",505,380,15,28,37,28,7,10
"S01000006",428,267,12,24,70,20,27,8
"S01000007",528,305,5,29,129,28,24,8
"S01000008",446,282,11,25,77,19,18,14
"S01000009",539,383,11,18,64,22,30,11
"S01000010",442,359,8,19,27,16,8,5
"S01000011",651,381,4,91,84,68,9,14
"S01000012",643,444,14,33,83,32,22,15
"S01000013",655,414,18,36,111,40,25,11
"S01000014",703,531,15,34,51,24,31,17
"S01000015",506,441,12,19,7,15,5,7
"S01000016",417,236,2,50,53,44,18,14
"S01000017",740,541,19,38,71,25,24,22
"S01000018",483,380,5,24,30,11,22,11
"S01000019",371,243,6,17,64,27,8,6
"S01000020",554,316,12,38,79,43,39,27
"S01000021",651,429,16,31,100,36,26,13
"S01000022",470,264,9,44,90,51,5,7
"S01000023",557,364,10,49,53,59,8,14
"S01000024",348,240,10,27,26,35,5,5
"S01000025",626,378,14,87,57,64,8,18
"S01000026",660,367,24,31,142,21,53,22
"S01000027",621,345,15,54,126,49,17,15
"S01000028",709,394,17,33,153,26,47,39
"S01000029",475,300,6,56,20,84,3,6
"S01000030",357,194,11,12,84,18,27,11
"S01000031",585,368,6,35,84,53,19,20
"S01000032",820,479,20,23,181,35,56,26
"S01000033",527,287,15,18,105,35,45,22
"S01000034",742,412,11,54,102,64,82,17
"S01000035",782,441,19,83,123,37,53,26
"S01000036",550,279,16,77,94,23,36,25
"S01000037",584,371,24,40,55,19,52,23
"S01000038",500,318,13,27,79,16,26,21
"S01000039",658,365,26,82,92,31,39,23
"S01000040",705,423,22,40,117,30,46,27
"S01000041",634,363,11,42,132,28,40,18
"S01000042",582,354,12,64,84,25,32,11
"S01000043",636,397,19,63,97,17,29,14
"S01000044",679,329,31,56,122,41,71,29
"S01000045",457,278,8,27,110,16,10,8
"S01000046",549,334,4,28,132,26,10,15
"S01000047",588,304,15,50,129,17,42,31
