"dz_2001","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"S01000001",765,396,34,0,2,284,49
"S01000002",687,261,41,0,1,339,45
"S01000003",838,316,36,1,0,449,36
"S01000004",641,271,33,0,2,292,43
"S01000005",663,321,48,0,7,242,45
"S01000006",626,378,29,0,0,188,31
"S01000007",735,466,32,0,3,182,52
"S01000008",584,334,22,0,5,192,31
"S01000009",710,318,30,0,7,336,19
"S01000010",568,274,25,0,0,243,26
"S01000011",918,487,62,0,2,311,56
"S01000012",816,352,52,1,0,355,56
"S01000013",898,502,22,0,5,304,65
"S01000014",919,386,47,0,0,450,36
"S01000015",655,291,27,0,0,312,25
"S01000016",564,312,67,0,0,133,52
"S01000017",937,373,32,0,1,463,68
"S01000018",577,243,13,0,0,298,23
"S01000019",531,289,37,0,3,175,27
"S01000020",877,525,55,0,8,248,41
"S01000021",862,408,23,0,7,376,48
"S01000022",663,413,50,0,6,174,20
"S01000023",805,446,62,0,8,238,51
"S01000024",512,237,26,2,13,196,38
"S01000025",874,437,80,0,10,277,70
"S01000026",930,430,25,0,0,422,53
"S01000027",815,483,43,0,0,249,40
"S01000028",969,430,37,0,0,452,50
"S01000029",742,347,89,1,8,254,43
"S01000030",500,199,18,0,3,264,16
"S01000031",866,461,64,0,1,296,44
"S01000032",1089,489,52,1,13,477,57
"S01000033",796,319,22,0,3,411,41
"S01000034",1012,504,69,0,7,365,67
"S01000035",1009,501,39,4,2,398,65
"S01000036",744,344,35,0,7,322,36
"S01000037",800,365,31,0,2,375,27
"S01000038",684,324,31,0,2,306,21
"S01000039",942,418,40,1,4,421,58
"S01000040",970,444,42,0,1,420,63
"S01000041",838,466,50,0,3,293,26
"S01000042",790,373,28,2,6,336,45
"S01000043",837,419,45,2,1,320,50
"S01000044",951,444,53,1,5,413,35
"S01000045",581,335,40,0,4,172,30
"S01000046",768,476,33,0,1,232,26
"S01000047",759,386,53,0,5,274,41
"S01000048",925,501,44,1,6,339,34
"S01000049",764,444,49,0,7,236,28
"S01000050",618,353,15,0,5,215,30
"S01000051",788,512,37,0,7,206,26
"S01000052",677,259,30,0,0,350,38
"S01000053",1014,529,59,0,20,362,44
"S01000054",777,491,38,0,1,222,25
"S01000055",754,271,26,0,1,383,73
"S01000056",1049,564,66,0,24,353,42
"S01000057",700,214,34,0,15,390,47
"S01000058",710,355,62,0,0,272,21
"S01000059",806,385,38,4,3,331,45
"S01000060",577,149,20,0,0,324,84
"S01000061",963,582,66,1,11,263,40
"S01000062",991,444,68,0,3,438,38
"S01000063",983,538,91,0,0,324,30
"S01000064",648,289,31,0,0,291,37
"S01000065",953,430,52,0,5,402,64
"S01000066",800,316,35,0,0,387,62
"S01000067",897,532,59,0,15,247,44
"S01000068",862,418,72,0,9,298,65
"S01000069",684,268,31,0,0,343,42
"S01000070",646,237,23,0,4,349,33
"S01000071",740,236,25,0,4,426,49
"S01000072",832,466,48,0,10,252,56
"S01000073",619,397,24,0,0,166,32
"S01000074",763,187,25,0,0,494,57
"S01000075",547,271,32,0,0,211,33
"S01000076",770,488,28,0,5,207,42
"S01000077",917,467,51,0,10,346,43
"S01000078",817,251,64,0,1,441,60
"S01000079",952,358,62,1,18,435,78
"S01000080",927,375,65,0,3,426,58
"S01000081",924,547,57,3,0,274,43
"S01000082",954,335,44,0,1,486,88
"S01000083",757,360,52,0,12,296,37
"S01000084",674,250,26,1,4,350,43
"S01000085",555,199,27,0,10,273,46
"S01000086",745,309,69,0,6,279,82
"S01000087",820,467,67,0,10,238,38
"S01000088",639,226,50,0,2,318,43
"S01000089",1003,663,42,0,8,245,45
"S01000090",800,365,62,1,16,315,41
"S01000091",929,362,96,1,20,380,70
"S01000092",851,324,78,1,5,376,67
"S01000093",404,122,33,2,8,204,35
"S01000094",575,206,44,0,10,278,37
"S01000095",703,278,57,0,4,312,52
"S01000096",706,382,33,0,9,237,45
"S01000097",967,496,121,5,2,297,46
"S01000098",1022,335,92,1,33,484,77
"S01000099",762,476,41,2,0,214,29
"S01000100",760,260,66,0,3,366,65
"S01000101",885,394,90,0,8,342,51
"S01000102",747,304,52,3,22,316,50
"S01000103",603,219,50,2,7,267,58
"S01000104",863,477,64,0,8,253,61
"S01000105",885,479,44,0,12,292,58
"S01000106",706,352,111,0,3,208,32
"S01000107",889,270,53,0,8,485,73
"S01000108",606,223,31,1,8,260,83
"S01000109",895,349,70,0,8,381,87
"S01000110",820,476,42,0,6,272,24
"S01000111",762,360,79,0,8,272,43
"S01000112",970,339,67,0,39,407,118
"S01000113",545,250,46,0,2,230,17
"S01000114",876,358,38,0,10,387,83
"S01000115",873,403,47,0,3,364,56
"S01000116",901,339,88,0,5,411,58
"S01000117",1056,589,77,0,6,331,53
"S01000118",704,336,36,1,2,293,36
"S01000119",786,312,54,0,2,368,50
"S01000120",574,240,51,0,4,233,46
"S01000121",796,471,41,0,5,264,15
"S01000122",764,287,48,0,3,389,37
"S01000123",648,343,49,0,7,204,45
"S01000124",985,367,79,2,15,447,75
"S01000125",701,238,49,1,25,336,52
"S01000126",867,335,60,0,14,378,80
"S01000127",798,430,52,0,0,290,26
"S01000128",1538,545,140,3,30,664,156
"S01000129",549,199,73,1,17,200,59
"S01000130",865,307,68,0,23,409,58
"S01000131",659,269,54,0,4,291,41
"S01000132",784,291,58,0,8,359,68
"S01000133",737,317,27,0,0,319,74
"S01000134",762,215,22,0,2,436,87
"S01000135",721,258,41,0,11,369,42
"S01000136",706,284,27,0,2,370,23
"S01000137",786,285,37,0,12,367,85
"S01000138",822,316,66,0,5,373,62
"S01000139",817,371,28,0,0,367,51
"S01000140",943,418,39,0,0,433,53
"S01000141",945,483,95,0,18,284,65
"S01000142",772,249,33,1,0,438,51
"S01000143",633,351,62,1,2,187,30
"S01000144",547,176,41,2,7,264,57
"S01000145",905,437,30,5,3,386,44
"S01000146",963,306,67,0,19,472,99
"S01000147",735,238,53,0,3,348,93
"S01000148",694,224,28,0,2,392,48
"S01000149",1011,371,78,1,7,466,88
"S01000150",636,228,23,0,4,350,31
"S01000151",907,417,27,0,0,428,35
"S01000152",1083,573,65,0,2,362,81
"S01000153",529,191,31,0,12,257,38
"S01000154",557,250,14,0,4,252,37
"S01000155",784,332,15,0,0,407,30
"S01000156",970,293,57,0,68,458,94
"S01000157",692,307,28,0,3,311,43
"S01000158",933,447,33,1,5,397,50
"S01000159",1014,519,67,0,14,356,58
"S01000160",813,372,50,1,0,343,47
"S01000161",959,396,73,3,5,418,64
"S01000162",886,427,36,1,8,352,62
"S01000163",1022,391,54,0,0,519,58
"S01000164",471,224,37,0,3,184,23
"S01000165",861,336,37,1,11,385,91
"S01000166",1147,460,120,3,27,460,77
"S01000167",712,327,33,1,0,321,30
"S01000168",956,351,47,0,0,505,53
"S01000169",761,337,31,0,1,332,60
"S01000170",1035,449,64,0,3,440,79
"S01000171",892,353,52,0,13,434,40
"S01000172",501,221,13,0,1,238,28
"S01000173",811,315,45,0,8,390,53
"S01000174",873,410,77,0,3,334,49
"S01000175",528,183,35,0,0,277,33
"S01000176",744,315,56,1,12,301,59
"S01000177",554,246,24,1,11,229,43
"S01000178",760,274,25,0,0,413,48
"S01000179",757,312,40,0,3,333,69
"S01000180",693,254,29,0,0,372,38
"S01000181",654,204,26,0,0,391,33
"S01000182",873,299,28,0,0,508,38
"S01000183",1000,287,76,0,70,461,106
"S01000184",793,407,29,2,6,297,52
"S01000185",787,319,38,2,6,360,62
"S01000186",957,550,55,0,0,314,38
"S01000187",713,252,29,0,0,392,40
"S01000188",1079,458,107,0,14,416,84
"S01000189",624,197,13,0,0,367,47
"S01000190",887,357,35,0,3,459,33
"S01000191",1057,539,67,1,8,396,46
"S01000192",767,237,44,1,8,413,64
"S01000193",802,243,46,0,0,489,24
"S01000194",745,219,31,0,4,378,113
"S01000195",697,269,30,0,7,334,57
"S01000196",924,247,27,0,7,542,101
"S01000197",610,233,28,0,3,306,40
"S01000198",746,250,34,1,2,405,54
"S01000199",716,166,34,0,20,386,110
"S01000200",846,374,50,0,4,381,37
"S01000201",654,251,29,0,0,330,44
"S01000202",888,378,50,1,2,414,43
"S01000203",453,104,24,0,20,247,58
"S01000204",622,202,41,0,0,353,26
"S01000205",960,336,96,12,24,402,90
"S01000206",714,259,56,0,4,357,38
"S01000207",883,331,48,0,25,401,78
"S01000208",857,244,38,0,0,432,143
"S01000209",987,231,42,0,0,572,142
"S01000210",578,184,36,0,8,308,42
"S01000211",713,264,39,0,12,331,67
"S01000212",788,260,27,0,1,417,83
"S01000213",672,279,25,0,3,337,28
"S01000214",507,270,11,0,0,191,35
"S01000215",736,408,31,0,4,224,69
"S01000216",619,295,27,0,0,266,31
"S01000217",698,216,43,0,4,389,46
"S01000218",718,413,16,0,0,260,29
"S01000219",698,197,28,1,5,401,66
"S01000220",1399,550,136,2,30,536,145
"S01000221",897,385,35,1,1,421,54
"S01000222",758,430,35,0,0,265,28
"S01000223",525,245,30,0,5,218,27
"S01000224",768,434,21,0,0,291,22
"S01000225",595,301,30,0,1,242,21
"S01000226",618,277,34,0,0,275,32
"S01000227",646,286,41,1,4,294,20
"S01000228",660,267,22,1,0,331,39
"S01000229",795,417,32,0,0,316,30
"S01000230",678,284,26,0,3,314,51
"S01000231",710,375,23,0,7,279,26
"S01000232",669,339,21,0,9,273,27
"S01000233",567,311,27,0,0,208,21
"S01000234",762,398,29,0,9,293,33
"S01000235",888,452,27,0,8,357,44
"S01000236",680,374,26,0,12,231,37
"S01000237",916,564,23,0,0,292,37
"S01000238",516,231,17,0,0,245,23
"S01000239",733,404,34,0,4,260,31
"S01000240",721,354,29,0,0,305,33
"S01000241",746,361,71,0,2,284,28
"S01000242",690,274,40,0,93,236,47
"S01000243",739,368,29,0,1,301,40
"S01000244",1045,541,24,0,0,433,47
"S01000245",953,475,43,0,9,389,37
"S01000246",750,339,29,0,0,345,37
"S01000247",767,379,35,0,5,323,25
"S01000248",868,399,29,0,4,400,36
"S01000249",738,328,34,0,1,340,35
"S01000250",805,404,24,0,2,322,53
"S01000251",501,257,18,0,10,203,13
"S01000252",867,376,29,0,0,424,38
"S01000253",745,386,25,0,4,307,23
"S01000254",808,380,43,1,7,355,22
"S01000255",632,261,32,0,0,315,24
"S01000256",919,526,32,1,26,284,50
"S01000257",826,482,24,0,0,301,19
"S01000258",666,336,44,0,0,259,27
"S01000259",614,308,27,0,0,245,34
"S01000260",890,324,61,0,8,466,31
"S01000261",1007,595,35,0,0,347,30
"S01000262",946,566,30,1,5,299,45
"S01000263",794,359,31,1,10,369,24
"S01000264",1033,464,48,0,14,469,38
"S01000265",778,440,38,0,0,269,31
"S01000266",984,573,31,0,3,325,52
"S01000267",691,408,10,0,2,236,35
"S01000268",779,433,31,0,0,240,75
"S01000269",561,291,37,0,0,182,51
"S01000270",964,625,23,0,0,278,38
"S01000271",906,451,43,0,0,351,61
"S01000272",940,576,20,0,0,288,56
"S01000273",524,272,18,0,0,202,32
"S01000274",594,377,14,0,0,176,27
"S01000275",982,725,18,0,1,200,38
"S01000276",740,409,60,0,1,239,31
"S01000277",674,396,28,0,0,200,50
"S01000278",537,377,14,0,0,132,14
"S01000279",613,403,10,0,0,166,34
"S01000280",620,380,34,0,0,167,39
"S01000281",679,412,13,0,0,222,32
"S01000282",663,339,18,0,0,256,50
"S01000283",881,497,35,0,0,320,29
"S01000284",819,512,31,0,1,250,25
"S01000285",672,391,39,0,2,199,41
"S01000286",880,512,59,1,0,267,41
"S01000287",724,442,45,0,1,199,37
"S01000288",897,532,32,1,1,295,36
"S01000289",849,487,28,0,1,280,53
"S01000290",775,434,23,0,0,261,57
"S01000291",831,519,47,1,0,236,28
"S01000292",980,551,61,1,0,325,42
"S01000293",765,441,34,0,4,252,34
"S01000294",699,392,62,1,0,222,22
"S01000295",607,375,30,2,0,176,24
"S01000296",532,290,50,1,0,160,31
"S01000297",736,413,43,0,1,225,54
"S01000298",528,274,29,0,0,183,42
"S01000299",953,586,62,0,0,257,48
