"dz_2011","total","house","flat","caravan","shared"
"S01006506",747,401,343,1,2
"S01006507",898,742,156,0,0
"S01006508",663,256,407,0,0
"S01006509",584,460,124,0,0
"S01006510",593,446,147,0,0
"S01006511",708,687,20,1,0
"S01006512",488,482,2,4,0
"S01006513",391,388,3,0,0
"S01006514",877,850,24,3,0
"S01006515",805,800,5,0,0
"S01006516",700,671,29,0,0
"S01006517",1049,1007,40,2,0
"S01006518",663,646,17,0,0
"S01006519",850,841,9,0,0
"S01006520",742,722,20,0,0
"S01006521",431,425,6,0,0
"S01006522",560,543,17,0,0
"S01006523",861,663,196,0,2
"S01006524",744,565,178,1,0
"S01006525",815,758,57,0,0
"S01006526",942,536,406,0,0
"S01006527",702,614,88,0,0
"S01006528",1009,789,216,4,0
"S01006529",837,290,547,0,0
"S01006530",714,445,263,3,3
"S01006531",1022,412,610,0,0
"S01006532",588,537,51,0,0
"S01006533",703,619,83,1,0
"S01006534",944,652,280,1,11
"S01006535",1062,349,704,4,5
"S01006536",854,234,617,0,3
"S01006537",663,655,8,0,0
"S01006538",581,577,4,0,0
"S01006539",737,653,84,0,0
"S01006540",925,765,160,0,0
"S01006541",877,777,100,0,0
"S01006542",955,798,157,0,0
"S01006543",788,780,6,2,0
"S01006544",582,486,94,0,2
"S01006545",893,671,222,0,0
"S01006546",611,584,27,0,0
"S01006547",1212,905,307,0,0
"S01006548",770,766,4,0,0
"S01006549",762,706,56,0,0
"S01006550",962,959,3,0,0
"S01006551",396,168,228,0,0
"S01006552",885,771,114,0,0
"S01006553",800,716,82,2,0
"S01006554",674,434,240,0,0
"S01006555",627,184,443,0,0
"S01006556",873,555,318,0,0
"S01006557",764,431,333,0,0
"S01006558",754,317,432,1,4
"S01006559",450,284,166,0,0
"S01006560",987,672,315,0,0
"S01006561",798,606,192,0,0
"S01006562",760,588,172,0,0
"S01006563",833,499,331,0,3
"S01006564",970,89,881,0,0
"S01006565",985,55,925,5,0
"S01006566",776,202,571,0,3
"S01006567",786,47,739,0,0
"S01006568",893,81,812,0,0
"S01006569",574,192,382,0,0
"S01006570",754,364,387,0,3
"S01006571",885,539,346,0,0
"S01006572",819,741,75,0,3
"S01006573",706,521,170,0,15
"S01006574",929,608,312,0,9
"S01006575",909,635,265,0,9
"S01006576",644,444,193,0,7
"S01006577",800,279,520,1,0
"S01006578",870,139,730,0,1
"S01006579",964,39,925,0,0
"S01006580",703,204,499,0,0
"S01006581",924,695,227,0,2
"S01006582",695,107,582,0,6
"S01006583",575,10,565,0,0
"S01006584",603,79,517,0,7
"S01006585",747,48,691,0,8
"S01006586",885,69,807,0,9
"S01006587",239,19,216,0,4
"S01006588",363,7,356,0,0
"S01006589",526,15,509,0,2
"S01006590",543,77,453,0,13
"S01006591",390,75,312,0,3
"S01006592",434,143,291,0,0
"S01006593",486,132,354,0,0
"S01006594",547,132,415,0,0
"S01006595",621,147,474,0,0
"S01006596",695,267,428,0,0
"S01006597",543,33,510,0,0
"S01006598",785,615,170,0,0
"S01006599",751,123,628,0,0
"S01006600",971,529,442,0,0
"S01006601",947,461,484,0,2
"S01006602",824,464,358,0,2
"S01006603",930,510,420,0,0
"S01006604",682,606,76,0,0
"S01006605",796,233,563,0,0
"S01006606",827,532,295,0,0
"S01006607",970,559,411,0,0
"S01006608",467,460,7,0,0
"S01006609",1089,907,182,0,0
"S01006610",500,310,190,0,0
"S01006611",969,672,297,0,0
"S01006612",862,813,49,0,0
"S01006613",641,540,101,0,0
"S01006614",687,678,9,0,0
"S01006615",347,341,6,0,0
"S01006616",838,735,103,0,0
"S01006617",604,582,22,0,0
"S01006618",568,522,46,0,0
"S01006619",919,869,50,0,0
"S01006620",1039,985,54,0,0
"S01006621",577,539,38,0,0
"S01006622",655,565,90,0,0
"S01006623",736,285,432,19,0
"S01006624",750,203,546,1,0
"S01006625",648,339,309,0,0
"S01006626",684,124,560,0,0
"S01006627",741,92,648,1,0
"S01006628",741,29,711,1,0
"S01006629",711,287,424,0,0
"S01006630",677,384,286,7,0
"S01006631",928,299,628,1,0
"S01006632",740,43,697,0,0
"S01006633",700,474,226,0,0
"S01006634",577,278,299,0,0
"S01006635",646,247,397,0,2
"S01006636",763,103,660,0,0
"S01006637",537,192,337,1,7
"S01006638",771,72,696,0,3
"S01006639",861,81,774,0,6
"S01006640",94,5,89,0,0
"S01006641",557,12,545,0,0
"S01006642",805,72,729,0,4
"S01006643",517,9,508,0,0
"S01006644",529,36,493,0,0
"S01006645",721,22,699,0,0
"S01006646",673,16,656,1,0
"S01006647",577,41,536,0,0
"S01006648",930,35,887,0,8
"S01006649",609,24,585,0,0
"S01006650",616,100,512,0,4
"S01006651",631,55,576,0,0
"S01006652",380,40,340,0,0
"S01006653",587,259,328,0,0
"S01006654",861,71,790,0,0
"S01006655",248,85,163,0,0
"S01006656",786,90,696,0,0
"S01006657",528,61,467,0,0
"S01006658",1120,53,1067,0,0
"S01006659",692,228,464,0,0
"S01006660",315,23,288,0,4
"S01006661",715,359,356,0,0
"S01006662",636,96,540,0,0
"S01006663",511,197,311,0,3
"S01006664",163,60,103,0,0
"S01006665",536,143,389,0,4
"S01006666",961,67,894,0,0
"S01006667",696,43,653,0,0
"S01006668",757,41,716,0,0
"S01006669",754,214,530,0,10
"S01006670",471,41,430,0,0
"S01006671",473,230,242,1,0
"S01006672",767,123,636,4,4
"S01006673",611,122,487,0,2
"S01006674",879,48,831,0,0
"S01006675",453,21,432,0,0
"S01006676",678,206,472,0,0
"S01006677",697,217,480,0,0
"S01006678",983,433,550,0,0
"S01006679",619,539,80,0,0
"S01006680",698,133,565,0,0
"S01006681",785,192,593,0,0
"S01006682",716,66,650,0,0
"S01006683",745,178,563,0,4
"S01006684",578,132,446,0,0
"S01006685",672,46,625,1,0
"S01006686",654,41,613,0,0
"S01006687",846,62,784,0,0
"S01006688",957,551,406,0,0
"S01006689",297,223,74,0,0
"S01006690",576,111,461,0,4
"S01006691",554,227,327,0,0
"S01006692",793,506,287,0,0
"S01006693",861,218,643,0,0
"S01006694",907,238,669,0,0
"S01006695",750,608,142,0,0
"S01006696",811,366,444,1,0
"S01006697",933,477,456,0,0
"S01006698",667,122,545,0,0
"S01006699",501,242,259,0,0
"S01006700",886,433,453,0,0
"S01006701",762,360,402,0,0
"S01006702",707,693,14,0,0
"S01006703",706,437,269,0,0
"S01006704",694,262,432,0,0
"S01006705",883,639,244,0,0
"S01006706",636,478,158,0,0
"S01006707",673,387,286,0,0
"S01006708",847,761,86,0,0
"S01006709",834,716,118,0,0
"S01006710",943,882,61,0,0
"S01006711",905,645,258,2,0
"S01006712",430,426,4,0,0
"S01006713",875,771,104,0,0
"S01006714",633,471,162,0,0
"S01006715",624,466,158,0,0
"S01006716",733,663,70,0,0
"S01006717",1060,970,90,0,0
"S01006718",713,699,14,0,0
"S01006719",873,865,8,0,0
"S01006720",610,591,19,0,0
"S01006721",1005,935,66,4,0
"S01006722",597,515,82,0,0
"S01006723",839,814,18,0,7
"S01006724",924,430,494,0,0
"S01006725",675,628,47,0,0
"S01006726",987,296,685,6,0
"S01006727",800,351,444,5,0
"S01006728",788,499,289,0,0
"S01006729",746,265,481,0,0
"S01006730",714,666,48,0,0
"S01006731",622,449,173,0,0
"S01006732",579,548,24,0,7
"S01006733",873,870,3,0,0
"S01006734",956,933,23,0,0
"S01006735",807,791,10,6,0
"S01006736",892,889,3,0,0
"S01006737",578,565,13,0,0
"S01006738",655,196,423,36,0
"S01006739",525,347,154,24,0
"S01006740",758,673,85,0,0
"S01006741",713,698,15,0,0
"S01006742",507,497,10,0,0
"S01006743",439,377,62,0,0
"S01006744",606,266,340,0,0
"S01006745",795,378,414,3,0
"S01006746",732,706,26,0,0
"S01006747",916,892,24,0,0
"S01006748",817,734,82,1,0
"S01006749",1033,744,289,0,0
"S01006750",669,502,167,0,0
"S01006751",389,294,95,0,0
"S01006752",778,583,192,3,0
"S01006753",946,823,120,0,3
"S01006754",999,899,100,0,0
"S01006755",593,532,58,0,3
"S01006756",166,158,8,0,0
"S01006757",888,785,103,0,0
"S01006758",710,624,86,0,0
"S01006759",480,453,27,0,0
"S01006760",423,367,56,0,0
"S01006761",762,684,78,0,0
"S01006762",1048,963,85,0,0
"S01006763",633,629,4,0,0
