dz_2011,total,house,flat,caravan,shared
S01006506,852,463,388,1,0
S01006507,1042,814,226,2,0
S01006508,888,418,467,3,0
S01006509,693,540,153,0,0
S01006510,681,519,162,0,0
S01006511,995,953,42,0,0
S01006512,372,366,4,2,0
S01006513,1086,1021,63,2,0
S01006514,1137,1121,16,0,0
S01006515,1123,1083,38,2,0
S01006516,837,802,31,4,0
S01006517,1014,966,44,4,0
S01006518,884,840,44,0,0
S01006519,807,783,24,0,0
S01006520,883,872,11,0,0
S01006521,742,695,47,0,0
S01006522,574,544,30,0,0
S01006523,1441,1116,325,0,0
S01006524,1044,805,239,0,0
S01006525,1146,1077,69,0,0
S01006526,1395,905,490,0,0
S01006527,1266,1051,215,0,0
S01006528,1074,703,371,0,0
S01006529,1082,366,716,0,0
S01006530,1122,649,473,0,0
S01006531,1307,537,770,0,0
S01006532,961,618,343,0,0
S01006533,819,613,206,0,0
S01006534,910,664,246,0,0
S01006535,1105,379,726,0,0
S01006536,1344,286,1053,0,5
S01006537,847,803,44,0,0
S01006538,664,648,16,0,0
S01006539,959,786,173,0,0
S01006540,1260,941,319,0,0
S01006541,952,836,116,0,0
S01006542,1000,789,211,0,0
S01006543,1075,1030,45,0,0
S01006544,1379,899,471,0,9
S01006545,1276,773,503,0,0
S01006546,1124,993,131,0,0
S01006547,1461,1066,395,0,0
S01006548,721,715,6,0,0
S01006549,907,808,99,0,0
S01006550,1143,1129,12,2,0
S01006551,1009,683,326,0,0
S01006552,1201,910,291,0,0
S01006553,987,878,109,0,0
S01006554,922,587,335,0,0
S01006555,968,375,593,0,0
S01006556,976,625,351,0,0
S01006557,799,483,316,0,0
S01006558,843,343,500,0,0
S01006559,703,412,282,0,9
S01006560,985,662,319,0,4
S01006561,852,633,219,0,0
S01006562,963,792,171,0,0
S01006563,1021,559,462,0,0
S01006564,1187,103,1084,0,0
S01006565,1068,79,989,0,0
S01006566,823,182,639,0,2
S01006567,1211,93,1118,0,0
S01006568,1135,93,1042,0,0
S01006569,748,244,504,0,0
S01006570,891,430,461,0,0
S01006571,1235,531,704,0,0
S01006572,1367,1143,224,0,0
S01006573,724,528,196,0,0
S01006574,977,628,349,0,0
S01006575,1138,780,358,0,0
S01006576,900,463,437,0,0
