dz_2011,total,some,none
S01006506,355,290,65
S01006507,422,330,92
S01006508,400,354,46
S01006509,327,247,80
S01006510,313,235,78
S01006511,366,318,48
S01006512,138,135,3
S01006513,372,361,11
S01006514,346,333,13
S01006515,401,394,7
S01006516,292,280,12
S01006517,397,362,35
S01006518,337,318,19
S01006519,269,266,3
S01006520,261,260,1
S01006521,173,165,8
S01006522,211,198,13
S01006523,549,489,60
S01006524,471,372,99
S01006525,475,436,39
S01006526,659,413,246
S01006527,566,369,197
S01006528,481,321,160
S01006529,586,369,217
S01006530,549,316,233
S01006531,589,338,251
S01006532,374,285,89
S01006533,339,311,28
S01006534,412,355,57
S01006535,595,450,145
S01006536,774,497,277
S01006537,373,331,42
S01006538,291,266,25
S01006539,432,365,67
S01006540,593,477,116
S01006541,482,349,133
S01006542,453,384,69
S01006543,446,391,55
S01006544,391,342,49
S01006545,605,416,189
S01006546,515,449,66
S01006547,696,463,233
S01006548,316,285,31
S01006549,360,329,31
S01006550,500,459,41
S01006551,486,273,213
S01006552,482,401,81
S01006553,488,369,119
S01006554,417,282,135
S01006555,404,237,167
S01006556,473,278,195
S01006557,387,215,172
S01006558,458,327,131
S01006559,280,229,51
S01006560,424,335,89
S01006561,355,319,36
S01006562,442,337,105
S01006563,469,378,91
S01006564,691,313,378
S01006565,722,329,393
S01006566,476,327,149
S01006567,692,291,401
S01006568,757,465,292
S01006569,430,277,153
S01006570,432,351,81
S01006571,565,426,139
S01006572,494,465,29
S01006573,278,244,34
S01006574,395,347,48
S01006575,488,423,65
S01006576,445,327,118
S01006577,473,381,92
S01006578,947,603,344
S01006579,847,516,331
S01006580,455,325,130
S01006581,536,466,70
S01006582,311,185,126
S01006583,602,366,236
S01006584,524,340,184
S01006585,504,222,282
S01006586,503,214,289
S01006587,287,108,179
S01006588,407,164,243
S01006589,597,246,351
S01006590,363,205,158
S01006591,299,186,113
S01006592,232,180,52
S01006593,302,204,98
S01006594,458,303,155
S01006595,443,331,112
S01006596,449,344,105
S01006597,561,319,242
S01006598,485,434,51
S01006599,600,367,233
S01006600,707,488,219
S01006601,554,387,167
S01006602,438,345,93
S01006603,617,369,248
S01006604,391,272,119
S01006605,421,202,219
S01006606,587,423,164
S01006607,551,336,215
S01006608,377,318,59
S01006609,596,382,214
S01006610,371,179,192
S01006611,523,324,199
S01006612,403,308,95
S01006613,172,166,6
S01006614,357,347,10
S01006615,154,150,4
S01006616,332,296,36
S01006617,409,330,79
S01006618,244,209,35
S01006619,403,341,62
S01006620,490,406,84
S01006621,353,295,58
S01006622,285,255,30
S01006623,654,391,263
S01006624,457,236,221
S01006625,374,214,160
S01006626,446,200,246
S01006627,441,205,236
S01006628,731,326,405
S01006629,406,206,200
S01006630,328,206,122
S01006631,595,289,306
S01006632,518,213,305
S01006633,387,189,198
S01006634,363,146,217
S01006635,484,213,271
S01006636,486,194,292
S01006637,298,140,158
S01006638,708,294,414
S01006639,614,214,400
S01006640,85,35,50
S01006641,586,282,304
S01006642,494,232,262
S01006643,612,309,303
S01006644,356,176,180
S01006645,648,266,382
S01006646,525,261,264
S01006647,353,147,206
S01006648,681,266,415
S01006649,441,191,250
S01006650,519,250,269
S01006651,439,197,242
S01006652,398,199,199
S01006653,383,289,94
S01006654,483,217,266
S01006655,181,125,56
S01006656,521,307,214
S01006657,322,180,142
S01006658,620,284,336
S01006659,438,257,181
S01006660,344,128,216
S01006661,355,213,142
S01006662,288,101,187
S01006663,465,292,173
S01006664,218,133,85
S01006665,405,219,186
S01006666,774,266,508
S01006667,651,232,419
S01006668,425,250,175
S01006669,522,212,310
S01006670,299,121,178
S01006671,314,175,139
S01006672,369,174,195
S01006673,324,153,171
S01006674,536,189,347
S01006675,270,89,181
S01006676,397,150,247
S01006677,400,153,247
S01006678,513,223,290
S01006679,458,287,171
S01006680,392,140,252
S01006681,580,310,270
S01006682,394,120,274
S01006683,570,277,293
S01006684,417,192,225
S01006685,475,219,256
S01006686,441,249,192
S01006687,482,252,230
S01006688,563,306,257
S01006689,126,105,21
S01006690,393,264,129
S01006691,438,280,158
S01006692,423,297,126
S01006693,591,359,232
S01006694,632,296,336
S01006695,345,213,132
S01006696,513,252,261
S01006697,537,287,250
S01006698,504,261,243
S01006699,348,238,110
S01006700,640,396,244
S01006701,480,269,211
S01006702,438,275,163
S01006703,351,206,145
S01006704,393,192,201
S01006705,461,250,211
S01006706,385,203,182
S01006707,338,172,166
S01006708,430,243,187
S01006709,492,319,173
S01006710,494,349,145
S01006711,548,301,247
S01006712,299,201,98
S01006713,430,258,172
S01006714,399,255,144
S01006715,368,207,161
S01006716,236,151,85
S01006717,428,277,151
S01006718,246,165,81
S01006719,389,254,135
S01006720,295,213,82
S01006721,407,244,163
S01006722,347,211,136
S01006723,419,272,147
S01006724,473,218,255
S01006725,387,235,152
S01006726,389,163,226
S01006727,470,203,267
S01006728,388,258,130
S01006729,379,191,188
S01006730,307,213,94
S01006731,213,137,76
S01006732,357,320,37
S01006733,310,306,4
S01006734,389,378,11
S01006735,364,351,13
S01006736,350,340,10
S01006737,316,294,22
S01006738,343,256,87
S01006739,247,189,58
S01006740,494,344,150
S01006741,385,252,133
S01006742,231,146,85
S01006743,449,344,105
S01006744,329,239,90
S01006745,502,349,153
S01006746,311,226,85
S01006747,442,408,34
S01006748,434,370,64
S01006749,558,433,125
S01006750,337,253,84
S01006751,204,149,55
S01006752,382,267,115
S01006753,405,339,66
S01006754,482,452,30
S01006755,326,287,39
S01006756,102,76,26
S01006757,543,498,45
S01006758,283,268,15
S01006759,254,242,12
S01006760,284,268,16
S01006761,444,408,36
S01006762,477,373,104
S01006763,445,424,21
S01006764,344,323,21
S01006765,329,303,26
S01006766,239,232,7
S01006767,405,274,131
S01006768,226,221,5
S01006769,490,429,61
S01006770,272,256,16
S01006771,175,173,2
S01006772,575,530,45
S01006773,250,234,16
S01006774,268,265,3
S01006775,358,268,90
S01006776,350,210,140
S01006777,367,349,18
S01006778,371,307,64
S01006779,493,309,184
S01006780,398,271,127
S01006781,422,365,57
S01006782,415,335,80
S01006783,295,243,52
S01006784,321,275,46
S01006785,262,257,5
S01006786,435,401,34
S01006787,437,403,34
S01006788,281,251,30
S01006789,409,323,86
S01006790,423,308,115
S01006791,226,198,28
S01006792,283,256,27
S01006793,302,234,68
S01006794,366,303,63
S01006795,290,254,36
S01006796,154,146,8
S01006797,255,246,9
S01006798,251,232,19
S01006799,413,314,99
S01006800,327,315,12
S01006801,263,242,21
S01006802,297,246,51
S01006803,319,257,62
S01006804,292,236,56
S01006805,423,366,57
S01006806,414,379,35
S01006807,196,188,8
S01006808,344,314,30
S01006809,385,310,75
S01006810,406,323,83
S01006811,350,311,39
S01006812,290,271,19
S01006813,353,275,78
S01006814,332,307,25
S01006815,275,176,99
S01006816,371,311,60
S01006817,275,244,31
S01006818,242,226,16
S01006819,287,268,19
S01006820,219,210,9
S01006821,352,337,15
S01006822,293,281,12
S01006823,329,303,26
S01006824,286,176,110
S01006825,429,358,71
S01006826,418,374,44
S01006827,469,330,139
S01006828,532,386,146
S01006829,116,96,20
S01006830,253,227,26
S01006831,511,452,59
S01006832,365,327,38
S01006833,274,253,21
S01006834,95,87,8
S01006835,641,424,217
S01006836,34,20,14
S01006837,188,162,26
S01006838,381,336,45
S01006839,360,305,55
S01006840,414,396,18
S01006841,520,464,56
S01006842,384,346,38
S01006843,377,355,22
S01006844,325,287,38
S01006845,383,364,19
S01006846,347,314,33
S01006847,269,255,14
S01006848,286,272,14
S01006849,177,150,27
S01006850,413,368,45
S01006851,292,222,70
S01006852,214,203,11
S01006853,308,299,9
S01006854,544,506,38
S01006855,279,271,8
S01006856,347,322,25
S01006857,388,361,27
S01006858,222,219,3
S01006859,365,349,16
S01006860,309,224,85
S01006861,107,97,10
S01006862,407,346,61
S01006863,269,214,55
S01006864,71,47,24
S01006865,420,351,69
S01006866,250,236,14
S01006867,426,370,56
S01006868,342,269,73
S01006869,213,192,21
S01006870,218,200,18
S01006871,345,314,31
S01006872,341,327,14
S01006873,451,404,47
S01006874,222,215,7
S01006875,295,252,43
S01006876,386,364,22
S01006877,383,375,8
S01006878,410,364,46
S01006879,337,323,14
S01006880,210,204,6
S01006881,203,193,10
S01006882,422,308,114
S01006883,250,210,40
S01006884,419,351,68
S01006885,278,246,32
S01006886,299,266,33
S01006887,163,155,8
S01006888,284,272,12
S01006889,260,225,35
S01006890,378,334,44
S01006891,259,223,36
S01006892,263,201,62
S01006893,390,316,74
S01006894,281,208,73
S01006895,233,193,40
S01006896,306,274,32
S01006897,411,365,46
S01006898,223,189,34
S01006899,149,141,8
S01006900,184,171,13
S01006901,357,275,82
S01006902,282,229,53
S01006903,370,288,82
S01006904,194,163,31
S01006905,423,329,94
S01006906,506,307,199
S01006907,325,223,102
S01006908,415,290,125
S01006909,100,89,11
S01006910,139,125,14
S01006911,128,118,10
S01006912,102,94,8
S01006913,195,188,7
S01006914,286,269,17
S01006915,289,275,14
S01006916,103,92,11
S01006917,44,42,2
S01006918,179,161,18
S01006919,217,195,22
S01006920,283,204,79
S01006921,159,149,10
S01006922,224,211,13
S01006923,275,226,49
S01006924,166,164,2
S01006925,212,192,20
S01006926,114,112,2
S01006927,95,93,2
S01006928,429,390,39
S01006929,403,401,2
S01006930,287,277,10
S01006931,155,148,7
S01006932,156,156,0
S01006933,323,304,19
S01006934,225,206,19
S01006935,364,343,21
S01006936,290,267,23
S01006937,359,334,25
S01006938,369,318,51
S01006939,238,234,4
S01006940,401,368,33
S01006941,349,314,35
S01006942,386,362,24
S01006943,109,98,11
S01006944,41,40,1
S01006945,401,375,26
S01006946,306,288,18
S01006947,414,398,16
S01006948,369,338,31
S01006949,252,244,8
S01006950,93,86,7
S01006951,350,285,65
S01006952,441,408,33
S01006953,443,419,24
S01006954,408,389,19
S01006955,243,198,45
S01006956,258,243,15
S01006957,320,299,21
S01006958,460,406,54
S01006959,378,261,117
S01006960,123,120,3
S01006961,120,113,7
S01006962,344,294,50
S01006963,389,366,23
S01006964,358,316,42
S01006965,214,193,21
S01006966,293,235,58
S01006967,275,260,15
S01006968,429,359,70
S01006969,430,367,63
S01006970,260,234,26
S01006971,377,305,72
S01006972,173,170,3
S01006973,227,203,24
S01006974,490,451,39
S01006975,414,380,34
S01006976,200,193,7
S01006977,313,297,16
S01006978,307,278,29
S01006979,503,449,54
S01006980,233,222,11
S01006981,291,275,16
S01006982,378,336,42
S01006983,388,345,43
S01006984,299,284,15
S01006985,531,449,82
S01006986,179,141,38
S01006987,419,348,71
S01006988,186,176,10
S01006989,255,245,10
S01006990,169,151,18
S01006991,290,224,66
S01006992,314,302,12
S01006993,256,250,6
S01006994,233,220,13
S01006995,326,305,21
S01006996,273,242,31
S01006997,227,215,12
S01006998,391,345,46
S01006999,287,273,14
S01007000,484,390,94
S01007001,392,335,57
S01007002,160,139,21
S01007003,218,200,18
S01007004,406,372,34
S01007005,349,336,13
S01007006,399,331,68
S01007007,299,282,17
S01007008,389,250,139
S01007009,605,443,162
S01007010,444,328,116
S01007011,579,347,232
S01007012,430,234,196
S01007013,352,321,31
S01007014,366,347,19
S01007015,271,260,11
S01007016,189,178,11
S01007017,515,349,166
S01007018,510,421,89
S01007019,469,346,123
S01007020,497,335,162
S01007021,593,452,141
S01007022,187,168,19
S01007023,295,255,40
S01007024,420,382,38
S01007025,472,330,142
S01007026,425,311,114
