dz_2011,total,employed,nonemployed
S01006506,692,486,206
S01006507,782,523,259
S01006508,721,558,163
S01006509,506,358,148
S01006510,527,320,207
S01006511,764,445,319
S01006512,257,182,75
S01006513,804,522,282
S01006514,860,527,333
S01006515,809,528,281
S01006516,698,459,239
S01006517,727,479,248
S01006518,704,430,274
S01006519,625,399,226
S01006520,605,396,209
S01006521,552,361,191
S01006522,402,273,129
S01006523,1024,666,358
S01006524,912,533,379
S01006525,936,540,396
S01006526,1057,626,431
S01006527,1011,554,457
S01006528,878,452,426
S01006529,855,519,336
S01006530,865,480,385
S01006531,994,509,485
S01006532,735,486,249
S01006533,650,464,186
S01006534,663,475,188
S01006535,929,683,246
S01006536,1190,889,301
S01006537,604,394,210
S01006538,481,320,161
S01006539,683,453,230
S01006540,943,642,301
S01006541,622,418,204
S01006542,707,451,256
S01006543,731,478,253
S01006544,1098,805,293
S01006545,884,627,257
S01006546,838,551,287
S01006547,1033,636,397
S01006548,503,323,180
S01006549,674,416,258
S01006550,820,505,315
S01006551,722,455,267
S01006552,1017,723,294
S01006553,660,407,253
S01006554,697,488,209
S01006555,767,532,235
S01006556,682,443,239
S01006557,599,387,212
S01006558,675,511,164
S01006559,544,361,183
S01006560,706,491,215
S01006561,621,422,199
S01006562,722,463,259
S01006563,760,516,244
S01006564,1004,642,362
S01006565,1114,636,478
S01006566,735,492,243
S01006567,1023,603,420
S01006568,1058,766,292
S01006569,625,441,184
S01006570,703,495,208
S01006571,998,705,293
S01006572,973,636,337
S01006573,534,362,172
S01006574,741,486,255
S01006575,883,621,262
S01006576,717,529,188
S01006577,752,540,212
S01006578,1542,1134,408
S01006579,1258,910,348
S01006580,724,533,191
S01006581,1018,709,309
S01006582,631,399,232
S01006583,1024,667,357
S01006584,827,539,288
S01006585,758,453,305
S01006586,866,514,352
S01006587,610,400,210
S01006588,874,475,399
S01006589,1227,699,528
S01006590,596,403,193
S01006591,786,588,198
S01006592,582,474,108
S01006593,822,594,228
S01006594,660,461,199
S01006595,905,695,210
S01006596,738,570,168
S01006597,736,539,197
S01006598,1046,775,271
S01006599,920,602,318
S01006600,1063,752,311
S01006601,847,600,247
S01006602,755,525,230
S01006603,993,582,411
S01006604,721,449,272
S01006605,654,418,236
S01006606,946,583,363
S01006607,953,672,281
S01006608,1153,844,309
S01006609,986,655,331
S01006610,502,322,180
S01006611,799,513,286
S01006612,767,533,234
S01006613,339,269,70
S01006614,662,559,103
S01006615,298,221,77
S01006616,636,520,116
S01006617,769,558,211
S01006618,443,329,114
S01006619,762,547,215
S01006620,835,644,191
S01006621,592,414,178
S01006622,543,453,90
S01006623,1053,711,342
S01006624,857,501,356
S01006625,676,459,217
S01006626,674,451,223
S01006627,753,538,215
S01006628,1236,867,369
S01006629,684,406,278
S01006630,597,351,246
S01006631,851,580,271
S01006632,789,492,297
S01006633,683,396,287
S01006634,609,363,246
S01006635,736,460,276
S01006636,774,456,318
S01006637,619,390,229
S01006638,979,566,413
S01006639,864,456,408
S01006640,758,442,316
S01006641,1209,738,471
S01006642,1306,379,927
S01006643,1193,630,563
S01006644,959,510,449
S01006645,1346,490,856
S01006646,1248,433,815
S01006647,845,302,543
S01006648,1895,707,1188
S01006649,1104,659,445
S01006650,1294,718,576
S01006651,697,346,351
S01006652,772,411,361
S01006653,721,446,275
S01006654,728,419,309
S01006655,620,348,272
S01006656,955,603,352
S01006657,531,307,224
S01006658,1078,531,547
S01006659,800,357,443
S01006660,665,337,328
S01006661,673,308,365
S01006662,797,265,532
S01006663,1202,364,838
S01006664,458,185,273
S01006665,856,309,547
S01006666,1420,783,637
S01006667,1031,532,499
S01006668,831,333,498
S01006669,1203,364,839
S01006670,839,271,568
S01006671,2438,245,2193
S01006672,648,303,345
S01006673,815,397,418
S01006674,756,430,326
S01006675,582,321,261
S01006676,672,365,307
S01006677,597,318,279
S01006678,986,571,415
S01006679,805,545,260
S01006680,726,443,283
S01006681,788,519,269
S01006682,712,421,291
S01006683,982,580,402
S01006684,732,461,271
S01006685,714,465,249
S01006686,714,447,267
S01006687,778,512,266
S01006688,750,431,319
S01006689,529,355,174
S01006690,639,384,255
S01006691,746,432,314
S01006692,691,413,278
S01006693,991,669,322
S01006694,758,440,318
S01006695,535,346,189
S01006696,828,484,344
S01006697,877,554,323
S01006698,692,410,282
S01006699,601,387,214
S01006700,961,566,395
S01006701,715,465,250
S01006702,692,445,247
S01006703,543,361,182
S01006704,594,359,235
S01006705,693,449,244
S01006706,593,394,199
S01006707,506,317,189
S01006708,626,404,222
S01006709,884,558,326
S01006710,798,544,254
S01006711,853,567,286
S01006712,460,297,163
S01006713,676,450,226
S01006714,671,428,243
S01006715,757,442,315
S01006716,478,299,179
S01006717,780,511,269
S01006718,471,294,177
S01006719,771,504,267
S01006720,566,378,188
S01006721,724,459,265
S01006722,647,400,247
S01006723,756,471,285
S01006724,911,500,411
S01006725,727,446,281
S01006726,975,555,420
S01006727,949,525,424
S01006728,655,443,212
S01006729,710,422,288
S01006730,607,413,194
S01006731,408,248,160
S01006732,1108,711,397
S01006733,626,446,180
S01006734,823,598,225
S01006735,649,400,249
S01006736,926,751,175
S01006737,759,519,240
S01006738,684,562,122
S01006739,510,397,113
S01006740,773,522,251
S01006741,553,346,207
S01006742,328,201,127
S01006743,835,588,247
S01006744,540,399,141
S01006745,772,514,258
S01006746,592,402,190
S01006747,884,503,381
S01006748,894,603,291
S01006749,1020,700,320
S01006750,596,383,213
S01006751,358,240,118
S01006752,603,386,217
S01006753,706,469,237
S01006754,922,595,327
S01006755,783,573,210
S01006756,743,537,206
S01006757,1001,736,265
S01006758,575,437,138
S01006759,1010,758,252
S01006760,485,370,115
S01006761,770,565,205
S01006762,688,469,219
S01006763,851,684,167
S01006764,656,514,142
S01006765,600,481,119
S01006766,487,367,120
S01006767,631,443,188
S01006768,495,352,143
S01006769,1028,726,302
S01006770,544,385,159
S01006771,448,331,117
S01006772,1004,755,249
S01006773,520,380,140
S01006774,642,480,162
S01006775,620,434,186
S01006776,485,322,163
S01006777,759,515,244
S01006778,703,455,248
S01006779,764,511,253
S01006780,662,426,236
S01006781,755,450,305
S01006782,803,598,205
S01006783,505,302,203
S01006784,581,411,170
S01006785,600,424,176
S01006786,855,598,257
S01006787,778,532,246
S01006788,498,384,114
S01006789,688,466,222
S01006790,678,442,236
S01006791,390,268,122
S01006792,514,349,165
S01006793,461,346,115
S01006794,586,343,243
S01006795,554,335,219
S01006796,562,383,179
S01006797,564,394,170
S01006798,541,410,131
S01006799,741,516,225
S01006800,714,460,254
S01006801,1003,743,260
S01006802,493,339,154
S01006803,550,381,169
S01006804,941,683,258
S01006805,989,699,290
S01006806,848,602,246
S01006807,472,337,135
S01006808,727,500,227
S01006809,697,440,257
S01006810,762,509,253
S01006811,787,567,220
S01006812,641,484,157
S01006813,739,535,204
S01006814,832,558,274
S01006815,536,377,159
S01006816,711,465,246
S01006817,642,451,191
S01006818,544,405,139
S01006819,909,703,206
S01006820,489,349,140
S01006821,899,661,238
S01006822,584,432,152
S01006823,649,443,206
S01006824,537,357,180
S01006825,797,556,241
S01006826,953,656,297
S01006827,767,512,255
S01006828,773,543,230
S01006829,489,386,103
S01006830,490,315,175
S01006831,962,575,387
S01006832,765,500,265
S01006833,518,334,184
S01006834,250,178,72
S01006835,942,639,303
S01006836,367,289,78
S01006837,734,513,221
S01006838,754,551,203
S01006839,717,514,203
S01006840,901,624,277
S01006841,1021,758,263
S01006842,784,567,217
S01006843,748,558,190
S01006844,560,430,130
S01006845,833,617,216
S01006846,670,502,168
S01006847,597,436,161
S01006848,1015,720,295
S01006849,952,739,213
S01006850,873,678,195
S01006851,589,399,190
S01006852,468,322,146
S01006853,712,504,208
S01006854,1196,820,376
S01006855,572,413,159
S01006856,682,510,172
S01006857,795,586,209
S01006858,483,345,138
S01006859,1026,705,321
S01006860,505,363,142
S01006861,597,422,175
S01006862,709,494,215
S01006863,895,649,246
S01006864,108,75,33
S01006865,716,481,235
S01006866,472,277,195
S01006867,871,548,323
S01006868,624,421,203
S01006869,445,299,146
S01006870,463,298,165
S01006871,662,458,204
S01006872,1136,796,340
S01006873,800,500,300
S01006874,447,324,123
S01006875,697,452,245
S01006876,805,582,223
S01006877,810,590,220
S01006878,702,511,191
S01006879,822,563,259
S01006880,582,445,137
S01006881,430,317,113
S01006882,567,371,196
S01006883,463,325,138
S01006884,747,512,235
S01006885,557,390,167
S01006886,575,398,177
S01006887,637,471,166
S01006888,703,505,198
S01006889,495,332,163
S01006890,769,550,219
S01006891,493,361,132
S01006892,437,313,124
S01006893,731,480,251
S01006894,427,278,149
S01006895,371,276,95
S01006896,589,382,207
S01006897,793,578,215
S01006898,429,315,114
S01006899,384,317,67
S01006900,362,286,76
S01006901,630,466,164
S01006902,502,356,146
S01006903,692,493,199
S01006904,379,256,123
S01006905,731,487,244
S01006906,662,427,235
S01006907,556,421,135
S01006908,711,511,200
S01006909,334,262,72
S01006910,392,291,101
S01006911,1306,1056,250
S01006912,206,146,60
S01006913,1398,1142,256
