dz_2011,total,pensioner,nonpensioner
S01006506,424,75,349
S01006507,447,97,350
S01006508,451,48,403
S01006509,325,77,248
S01006510,301,83,218
S01006511,409,123,286
S01006512,129,18,111
S01006513,425,112,313
S01006514,414,86,328
S01006515,414,86,328
S01006516,325,63,262
S01006517,403,92,311
S01006518,331,80,251
S01006519,281,44,237
S01006520,271,22,249
S01006521,273,34,239
S01006522,218,50,168
S01006523,622,174,448
S01006524,459,153,306
S01006525,463,132,331
S01006526,650,165,485
S01006527,547,121,426
S01006528,467,108,359
S01006529,592,122,470
S01006530,556,154,402
S01006531,579,129,450
S01006532,496,136,360
S01006533,378,72,306
S01006534,398,69,329
S01006535,605,62,543
S01006536,808,73,735
S01006537,385,133,252
S01006538,288,92,196
S01006539,463,156,307
S01006540,602,137,465
S01006541,467,209,258
S01006542,496,164,332
S01006543,482,177,305
S01006544,676,112,564
S01006545,714,257,457
S01006546,514,156,358
S01006547,726,257,469
S01006548,312,122,190
S01006549,409,125,284
S01006550,496,163,333
S01006551,513,160,353
S01006552,579,102,477
S01006553,494,228,266
S01006554,447,115,332
S01006555,471,58,413
S01006556,459,140,319
S01006557,385,84,301
S01006558,457,80,377
S01006559,313,55,258
S01006560,432,115,317
S01006561,365,77,288
S01006562,439,116,323
S01006563,453,102,351
S01006564,715,85,630
S01006565,698,64,634
S01006566,478,33,445
S01006567,726,76,650
S01006568,709,23,686
S01006569,423,53,370
S01006570,430,64,366
S01006571,615,72,543
S01006572,560,121,439
S01006573,290,44,246
S01006574,427,61,366
S01006575,488,70,418
S01006576,450,50,400
S01006577,481,55,426
S01006578,1068,68,1000
S01006579,897,42,855
S01006580,504,56,448
S01006581,606,126,480
S01006582,356,25,331
S01006583,644,18,626
S01006584,523,30,493
S01006585,504,68,436
S01006586,594,60,534
S01006587,387,11,376
S01006588,523,0,523
S01006589,735,21,714
S01006590,349,12,337
S01006591,463,10,453
S01006592,362,20,342
S01006593,497,27,470
S01006594,487,98,389
S01006595,606,36,570
S01006596,443,40,403
S01006597,536,42,494
S01006598,611,66,545
S01006599,683,136,547
S01006600,754,177,577
S01006601,572,73,499
S01006602,508,134,374
S01006603,612,162,450
S01006604,409,89,320
S01006605,461,131,330
S01006606,569,173,396
S01006607,544,111,433
S01006608,602,90,512
S01006609,615,164,451
S01006610,351,112,239
S01006611,514,128,386
S01006612,428,92,336
S01006613,175,23,152
S01006614,355,11,344
S01006615,150,15,135
S01006616,337,21,316
S01006617,424,76,348
S01006618,246,49,197
S01006619,404,48,356
S01006620,483,78,405
S01006621,343,69,274
S01006622,292,18,274
S01006623,641,107,534
S01006624,481,53,428
S01006625,380,72,308
S01006626,447,98,349
S01006627,511,39,472
S01006628,811,36,775
S01006629,399,50,349
S01006630,326,45,281
S01006631,590,133,457
S01006632,529,83,446
S01006633,391,58,333
S01006634,392,39,353
S01006635,492,110,382
S01006636,504,69,435
S01006637,413,57,356
S01006638,712,114,598
S01006639,631,121,510
S01006640,419,6,413
S01006641,777,24,753
S01006642,492,26,466
S01006643,720,30,690
S01006644,595,29,566
S01006645,651,95,556
S01006646,535,46,489
S01006647,345,49,296
S01006648,770,20,750
S01006649,737,34,703
S01006650,798,48,750
S01006651,467,62,405
S01006652,465,30,435
S01006653,425,31,394
S01006654,504,87,417
S01006655,334,35,299
S01006656,595,45,550
S01006657,311,14,297
S01006658,641,31,610
S01006659,439,42,397
S01006660,393,9,384
S01006661,371,35,336
S01006662,315,11,304
S01006663,456,33,423
S01006664,237,14,223
S01006665,421,43,378
S01006666,981,155,826
S01006667,732,106,626
S01006668,413,31,382
S01006669,514,107,407
S01006670,347,70,277
S01006671,366,128,238
S01006672,366,62,304
S01006673,414,29,385
S01006674,589,150,439
S01006675,345,17,328
S01006676,427,72,355
S01006677,398,46,352
S01006678,594,59,535
S01006679,500,82,418
S01006680,461,61,400
S01006681,594,137,457
S01006682,432,70,362
S01006683,553,54,499
S01006684,481,33,448
S01006685,511,69,442
S01006686,445,86,359
S01006687,496,83,413
S01006688,574,233,341
S01006689,288,26,262
S01006690,400,75,325
S01006691,444,73,371
S01006692,412,92,320
S01006693,635,90,545
S01006694,622,245,377
S01006695,346,99,247
S01006696,532,130,402
S01006697,548,115,433
S01006698,510,153,357
S01006699,344,89,255
S01006700,641,188,453
S01006701,463,99,364
S01006702,437,129,308
S01006703,344,75,269
S01006704,390,63,327
S01006705,456,122,334
S01006706,372,70,302
S01006707,311,42,269
S01006708,426,133,293
S01006709,568,128,440
S01006710,502,157,345
S01006711,593,148,445
S01006712,296,98,198
S01006713,424,110,314
S01006714,388,116,272
S01006715,376,31,345
S01006716,242,35,207
S01006717,487,146,341
S01006718,248,53,195
S01006719,399,54,345
S01006720,303,42,261
S01006721,407,72,335
S01006722,352,64,288
S01006723,425,93,332
S01006724,495,62,433
S01006725,396,55,341
S01006726,505,25,480
S01006727,534,72,462
S01006728,391,71,320
S01006729,402,62,340
S01006730,319,45,274
S01006731,214,24,190
S01006732,524,61,463
S01006733,313,27,286
S01006734,414,51,363
S01006735,367,114,253
S01006736,470,23,447
S01006737,392,76,316
S01006738,453,39,414
S01006739,309,43,266
S01006740,503,156,347
S01006741,389,147,242
S01006742,233,83,150
S01006743,520,127,393
S01006744,329,45,284
S01006745,508,149,359
S01006746,350,86,264
S01006747,461,146,315
S01006748,503,126,377
S01006749,578,145,433
S01006750,347,106,241
S01006751,241,86,155
S01006752,386,118,268
S01006753,410,120,290
S01006754,487,123,364
S01006755,460,102,358
S01006756,386,21,365
S01006757,541,87,454
S01006758,318,36,282
S01006759,537,44,493
S01006760,288,34,254
S01006761,441,90,351
S01006762,477,163,314
S01006763,433,20,413
S01006764,345,18,327
S01006765,335,20,315
S01006766,240,22,218
S01006767,407,148,259
S01006768,212,20,192
S01006769,511,84,427
S01006770,273,43,230
S01006771,183,12,171
S01006772,555,79,476
S01006773,255,33,222
S01006774,269,16,253
S01006775,374,69,305
S01006776,347,127,220
S01006777,374,63,311
S01006778,381,81,300
S01006779,493,142,351
S01006780,403,117,286
S01006781,423,149,274
S01006782,455,65,390
S01006783,299,107,192
S01006784,344,75,269
S01006785,267,28,239
S01006786,450,77,373
S01006787,413,87,326
S01006788,258,18,240
S01006789,430,138,292
S01006790,483,187,296
S01006791,253,63,190
S01006792,300,92,208
S01006793,275,88,187
S01006794,374,120,254
S01006795,342,97,245
S01006796,309,67,242
S01006797,305,57,248
S01006798,271,50,221
S01006799,464,128,336
S01006800,360,75,285
S01006801,530,93,437
S01006802,298,80,218
S01006803,349,117,232
S01006804,510,88,422
S01006805,537,115,422
S01006806,456,92,364
S01006807,243,28,215
S01006808,394,80,314
S01006809,416,97,319
S01006810,423,85,338
S01006811,430,69,361
S01006812,338,43,295
S01006813,405,72,333
S01006814,405,62,343
S01006815,346,83,263
S01006816,391,83,308
S01006817,325,40,285
S01006818,278,46,232
S01006819,452,40,412
S01006820,253,54,199
S01006821,446,74,372
S01006822,279,35,244
S01006823,357,66,291
S01006824,320,51,269
S01006825,434,94,340
S01006826,464,79,385
S01006827,479,128,351
S01006828,540,140,400
S01006829,268,33,235
S01006830,269,66,203
S01006831,519,162,357
S01006832,424,101,323
S01006833,303,92,211
S01006834,120,23,97
S01006835,681,230,451
S01006836,210,14,196
S01006837,362,53,309
S01006838,371,49,322
S01006839,398,81,317
S01006840,445,80,365
S01006841,532,91,441
S01006842,385,77,308
S01006843,378,56,322
S01006844,332,53,279
S01006845,404,41,363
S01006846,357,61,296
S01006847,284,41,243
S01006848,483,43,440
S01006849,506,48,458
S01006850,421,37,384
S01006851,337,80,257
S01006852,229,41,188
S01006853,355,51,304
S01006854,645,140,505
S01006855,294,56,238
S01006856,368,75,293
S01006857,421,81,340
S01006858,240,42,198
S01006859,541,89,452
S01006860,330,98,232
S01006861,315,47,268
S01006862,416,115,301
S01006863,490,80,410
S01006864,72,19,53
S01006865,424,93,331
S01006866,258,79,179
S01006867,473,125,348
S01006868,364,104,260
S01006869,226,40,186
S01006870,251,62,189
S01006871,355,80,275
S01006872,585,79,506
S01006873,518,188,330
S01006874,216,27,189
S01006875,431,129,302
S01006876,446,86,360
S01006877,429,65,364
S01006878,422,102,320
S01006879,486,134,352
S01006880,296,40,256
S01006881,227,36,191
S01006882,412,170,242
S01006883,302,77,225
S01006884,458,135,323
S01006885,310,82,228
S01006886,321,60,261
S01006887,341,55,286
S01006888,362,56,306
S01006889,263,42,221
S01006890,432,86,346
S01006891,271,45,226
S01006892,266,56,210
S01006893,395,76,319
S01006894,288,102,186
S01006895,237,43,194
S01006896,337,94,243
S01006897,417,80,337
S01006898,268,63,205
S01006899,192,20,172
S01006900,185,29,156
S01006901,358,84,274
S01006902,296,51,245
S01006903,398,83,315
S01006904,262,80,182
S01006905,449,152,297
S01006906,486,172,314
S01006907,371,89,282
S01006908,477,115,362
S01006909,176,29,147
S01006910,211,31,180
S01006911,653,31,622
S01006912,97,14,83
S01006913,683,25,658
S01006914,317,46,271
S01006915,314,32,282
S01006916,153,32,121
S01006917,476,18,458
S01006918,623,58,565
S01006919,289,49,240
S01006920,387,121,266
S01006921,366,28,338
S01006922,696,63,633
S01006923,540,113,427
S01006924,292,18,274
S01006925,215,47,168
S01006926,621,26,595
S01006927,154,13,141
S01006928,1057,99,958
S01006929,610,47,563
S01006930,293,63,230
S01006931,694,43,651
S01006932,281,21,260
S01006933,326,21,305
S01006934,596,56,540
S01006935,366,81,285
S01006936,298,70,228
S01006937,343,71,272
S01006938,358,87,271
S01006939,234,44,190
S01006940,405,64,341
S01006941,535,75,460
S01006942,752,74,678
S01006943,633,32,601
S01006944,41,7,34
S01006945,370,67,303
S01006946,513,43,470
S01006947,538,43,495
S01006948,556,70,486
S01006949,291,32,259
S01006950,267,11,256
S01006951,548,97,451
S01006952,619,90,529
S01006953,568,66,502
S01006954,665,83,582
S01006955,267,50,217
S01006956,546,33,513
S01006957,608,54,554
S01006958,486,166,320
S01006959,417,146,271
S01006960,747,33,714
S01006961,784,47,737
S01006962,409,132,277
S01006963,385,65,320
S01006964,389,47,342
S01006965,216,46,170
S01006966,300,66,234
S01006967,282,45,237
S01006968,498,153,345
S01006969,439,113,326
S01006970,243,59,184
S01006971,449,122,327
S01006972,192,22,170
S01006973,257,53,204
S01006974,541,74,467
S01006975,462,49,413
S01006976,854,42,812
S01006977,998,61,937
S01006978,371,74,297
S01006979,602,136,466
S01006980,266,35,231
S01006981,321,40,281
S01006982,476,67,409
S01006983,402,64,338
S01006984,389,46,343
S01006985,576,140,436
S01006986,297,43,254
S01006987,445,104,341
S01006988,287,31,256
S01006989,311,33,278
S01006990,355,34,321
S01006991,289,80,209
S01006992,342,39,303
S01006993,280,33,247
S01006994,252,32,220
S01006995,441,67,374
S01006996,368,70,298
S01006997,292,33,259
S01006998,506,92,414
S01006999,334,49,285
S01007000,628,167,461
S01007001,554,119,435
S01007002,279,40,239
S01007003,242,48,194
S01007004,447,75,372
S01007005,401,63,338
S01007006,441,102,339
S01007007,338,65,273
S01007008,401,124,277
S01007009,617,173,444
S01007010,435,168,267
S01007011,599,208,391
S01007012,429,106,323
S01007013,511,112,399
S01007014,525,78,447
S01007015,291,46,245
S01007016,213,19,194
S01007017,498,144,354
S01007018,520,146,374
S01007019,488,148,340
S01007020,666,210,456
S01007021,616,200,416
S01007022,346,78,268
S01007023,289,82,207
S01007024,472,105,367
S01007025,517,174,343
S01007026,464,159,305
S01007027,587,164,423
S01007028,589,134,455
S01007029,261,71,190
S01007030,414,115,299
S01007031,285,70,215
S01007032,588,173,415
S01007033,493,132,361
S01007034,483,109,374
S01007035,429,114,315
S01007036,471,132,339
S01007037,512,146,366
S01007038,373,72,301
S01007039,412,84,328
S01007040,538,137,401
S01007041,410,117,293
S01007042,416,105,311
S01007043,430,66,364
S01007044,441,121,320
S01007045,375,71,304
S01007046,259,53,206
S01007047,428,92,336
S01007048,528,108,420
S01007049,450,100,350
S01007050,444,109,335
S01007051,431,92,339
S01007052,233,46,187
S01007053,316,54,262
S01007054,501,144,357
S01007055,196,27,169
S01007056,328,55,273
S01007057,382,112,270
S01007058,370,151,219
S01007059,564,126,438
S01007060,231,43,188
S01007061,442,53,389
S01007062,303,44,259
S01007063,603,108,495
S01007064,300,37,263
S01007065,398,54,344
S01007066,252,31,221
S01007067,559,118,441
S01007068,312,79,233
S01007069,410,73,337
S01007070,347,79,268
S01007071,517,74,443
S01007072,519,70,449
S01007073,543,88,455
S01007074,462,83,379
S01007075,373,75,298
S01007076,402,47,355
S01007077,352,100,252
S01007078,454,121,333
S01007079,636,205,431
S01007080,386,123,263
S01007081,419,65,354
S01007082,300,52,248
S01007083,451,111,340
S01007084,413,128,285
S01007085,539,72,467
S01007086,678,77,601
S01007087,482,86,396
S01007088,285,34,251
S01007089,217,47,170
S01007090,243,36,207
S01007091,466,34,432
S01007092,307,104,203
S01007093,417,117,300
S01007094,813,119,694
S01007095,281,45,236
S01007096,447,76,371
S01007097,776,82,694
S01007098,568,50,518
S01007099,338,68,270
S01007100,357,66,291
S01007101,529,103,426
S01007102,319,56,263
S01007103,330,74,256
S01007104,197,40,157
S01007105,284,85,199
S01007106,393,96,297
S01007107,283,45,238
S01007108,434,63,371
S01007109,599,116,483
S01007110,438,96,342
S01007111,229,58,171
S01007112,375,99,276
S01007113,338,132,206
S01007114,378,107,271
S01007115,261,62,199
S01007116,432,59,373
S01007117,210,52,158
S01007118,356,52,304
S01007119,395,52,343
S01007120,510,80,430
S01007121,404,149,255
S01007122,287,71,216
S01007123,470,146,324
S01007124,452,100,352
S01007125,351,80,271
S01007126,465,63,402
S01007127,446,61,385
S01007128,464,135,329
S01007129,374,64,310
S01007130,307,101,206
S01007131,459,132,327
S01007132,297,78,219
S01007133,262,50,212
S01007134,372,75,297
S01007135,322,59,263
S01007136,244,36,208
S01007137,294,26,268
S01007138,365,58,307
S01007139,324,75,249
S01007140,405,86,319
S01007141,402,48,354
S01007142,75,4,71
S01007143,400,52,348
S01007144,856,163,693
S01007145,408,156,252
S01007146,391,122,269
S01007147,363,115,248
S01007148,204,33,171
S01007149,357,96,261
S01007150,350,170,180
S01007151,450,91,359
S01007152,338,108,230
S01007153,424,164,260
S01007154,528,207,321
S01007155,350,119,231
S01007156,470,83,387
S01007157,318,53,265
S01007158,437,65,372
S01007159,454,104,350
S01007160,431,99,332
S01007161,448,109,339
S01007162,311,90,221
S01007163,456,130,326
S01007164,346,100,246
S01007165,386,95,291
S01007166,498,162,336
S01007167,331,88,243
S01007168,415,118,297
S01007169,366,114,252
S01007170,312,55,257
S01007171,448,87,361
S01007172,492,92,400
S01007173,212,26,186
S01007174,337,55,282
S01007175,358,113,245
S01007176,482,157,325
S01007177,386,82,304
S01007178,498,91,407
S01007179,536,131,405
S01007180,449,175,274
S01007181,447,113,334
S01007182,640,187,453
S01007183,683,210,473
