dz_2011,total,student,nonstudent
S01006506,355,0,355
S01006507,422,0,422
S01006508,400,1,399
S01006509,327,0,327
S01006510,313,0,313
S01006511,366,0,366
S01006512,138,0,138
S01006513,372,0,372
S01006514,346,0,346
S01006515,401,0,401
S01006516,292,0,292
S01006517,397,0,397
S01006518,337,0,337
S01006519,269,0,269
S01006520,261,0,261
S01006521,173,0,173
S01006522,211,0,211
S01006523,549,0,549
S01006524,471,0,471
S01006525,475,0,475
S01006526,659,17,642
S01006527,566,5,561
S01006528,481,15,466
S01006529,586,9,577
S01006530,549,8,541
S01006531,589,9,580
S01006532,374,0,374
S01006533,339,0,339
S01006534,412,4,408
S01006535,595,7,588
S01006536,774,10,764
S01006537,373,0,373
S01006538,291,0,291
S01006539,432,1,431
S01006540,593,0,593
S01006541,482,0,482
S01006542,453,0,453
S01006543,446,0,446
S01006544,391,0,391
S01006545,605,1,604
S01006546,515,1,514
S01006547,696,3,693
S01006548,316,0,316
S01006549,360,0,360
S01006550,500,0,500
S01006551,486,0,486
S01006552,482,1,481
S01006553,488,0,488
S01006554,417,0,417
S01006555,404,2,402
S01006556,473,2,471
S01006557,387,0,387
S01006558,458,12,446
S01006559,280,3,277
S01006560,424,4,420
S01006561,355,1,354
S01006562,442,1,441
S01006563,469,6,463
S01006564,691,26,665
S01006565,722,54,668
S01006566,476,22,454
S01006567,692,31,661
S01006568,757,25,732
S01006569,430,18,412
S01006570,432,7,425
S01006571,565,19,546
S01006572,494,4,490
S01006573,278,2,276
S01006574,395,1,394
S01006575,488,4,484
S01006576,445,3,442
S01006577,473,7,466
S01006578,947,22,925
S01006579,847,29,818
S01006580,455,6,449
S01006581,536,2,534
S01006582,311,20,291
S01006583,602,39,563
S01006584,524,32,492
S01006585,504,14,490
S01006586,503,33,470
S01006587,287,24,263
S01006588,407,37,370
S01006589,597,39,558
S01006590,363,12,351
S01006591,299,15,284
S01006592,232,1,231
S01006593,302,5,297
S01006594,458,15,443
S01006595,443,4,439
S01006596,449,6,443
S01006597,561,17,544
S01006598,485,2,483
S01006599,600,5,595
S01006600,707,12,695
S01006601,554,12,542
S01006602,438,7,431
S01006603,617,2,615
S01006604,391,0,391
S01006605,421,0,421
S01006606,587,2,585
S01006607,551,2,549
S01006608,377,0,377
S01006609,596,0,596
S01006610,371,0,371
S01006611,523,0,523
S01006612,403,0,403
S01006613,172,1,171
S01006614,357,0,357
S01006615,154,0,154
S01006616,332,0,332
S01006617,409,0,409
S01006618,244,1,243
S01006619,403,0,403
S01006620,490,0,490
S01006621,353,0,353
S01006622,285,0,285
S01006623,654,2,652
S01006624,457,0,457
S01006625,374,0,374
S01006626,446,0,446
S01006627,441,2,439
S01006628,731,3,728
S01006629,406,0,406
S01006630,328,0,328
S01006631,595,2,593
S01006632,518,0,518
S01006633,387,0,387
S01006634,363,0,363
S01006635,484,0,484
S01006636,486,0,486
S01006637,298,9,289
S01006638,708,24,684
S01006639,614,25,589
S01006640,85,1,84
S01006641,586,27,559
S01006642,494,50,444
S01006643,612,61,551
S01006644,356,19,337
S01006645,648,52,596
S01006646,525,85,440
S01006647,353,19,334
S01006648,681,70,611
S01006649,441,21,420
S01006650,519,36,483
S01006651,439,42,397
S01006652,398,31,367
S01006653,383,20,363
S01006654,483,6,477
S01006655,181,1,180
S01006656,521,30,491
S01006657,322,23,299
S01006658,620,76,544
S01006659,438,70,368
S01006660,344,27,317
S01006661,355,42,313
S01006662,288,14,274
S01006663,465,81,384
S01006664,218,36,182
S01006665,405,36,369
S01006666,774,8,766
S01006667,651,9,642
S01006668,425,77,348
S01006669,522,32,490
S01006670,299,3,296
S01006671,314,8,306
S01006672,369,19,350
S01006673,324,31,293
S01006674,536,4,532
S01006675,270,3,267
S01006676,397,6,391
S01006677,400,8,392
S01006678,513,7,506
S01006679,458,8,450
S01006680,392,4,388
S01006681,580,4,576
S01006682,394,8,386
S01006683,570,22,548
S01006684,417,9,408
S01006685,475,6,469
S01006686,441,5,436
S01006687,482,7,475
S01006688,563,4,559
S01006689,126,6,120
S01006690,393,16,377
S01006691,438,22,416
S01006692,423,14,409
S01006693,591,13,578
S01006694,632,3,629
S01006695,345,2,343
S01006696,513,6,507
S01006697,537,7,530
S01006698,504,2,502
S01006699,348,2,346
S01006700,640,8,632
S01006701,480,0,480
S01006702,438,0,438
S01006703,351,1,350
S01006704,393,0,393
S01006705,461,0,461
S01006706,385,1,384
S01006707,338,0,338
S01006708,430,0,430
S01006709,492,1,491
S01006710,494,0,494
S01006711,548,0,548
S01006712,299,0,299
S01006713,430,0,430
S01006714,399,1,398
S01006715,368,0,368
S01006716,236,0,236
S01006717,428,0,428
S01006718,246,0,246
S01006719,389,0,389
S01006720,295,1,294
S01006721,407,1,406
S01006722,347,0,347
S01006723,419,1,418
S01006724,473,0,473
S01006725,387,0,387
S01006726,389,0,389
S01006727,470,0,470
S01006728,388,0,388
S01006729,379,3,376
S01006730,307,1,306
