dz_2011,total,white,pakistani,chinese,other
S01006506,872,844,0,1,27
S01006507,1042,989,16,8,29
S01006508,888,848,1,1,38
S01006509,693,662,11,1,19
S01006510,748,725,7,1,15
S01006511,1083,1041,0,6,36
S01006512,395,378,2,4,11
S01006513,1166,1110,4,8,44
S01006514,1240,1174,0,3,63
S01006515,1123,1041,4,3,75
S01006516,910,858,4,3,45
S01006517,1014,964,1,7,42
S01006518,957,897,0,4,56
S01006519,865,777,15,7,66
S01006520,883,774,6,21,82
S01006521,743,695,1,12,35
S01006522,574,545,0,1,28
S01006523,1501,1419,5,2,75
S01006524,1320,1239,0,4,77
S01006525,1289,1187,2,8,92
S01006526,1404,1278,7,16,103
S01006527,1328,1222,2,9,95
S01006528,1127,957,7,26,137
S01006529,1086,919,2,21,144
S01006530,1133,1025,3,12,93
S01006531,1311,1182,11,24,94
S01006532,1002,917,9,16,60
S01006533,837,800,1,1,35
S01006534,910,873,1,8,28
S01006535,1105,1011,1,5,88
S01006536,1347,1235,8,11,93
S01006537,847,816,0,2,29
S01006538,664,635,0,4,25
S01006539,1025,989,6,0,30
S01006540,1264,1161,13,13,77
S01006541,952,925,1,0,26
S01006542,1001,926,1,9,65
S01006543,1075,1017,4,13,41
S01006544,1430,1270,10,36,114
S01006545,1276,1159,8,14,95
S01006546,1128,1098,0,5,25
S01006547,1461,1368,1,11,81
S01006548,721,702,0,6,13
S01006549,927,885,4,2,36
S01006550,1181,1144,7,4,26
S01006551,1009,953,2,6,48
S01006552,1252,1129,1,7,115
S01006553,1027,945,0,0,82
S01006554,942,855,12,4,71
S01006555,1019,877,6,3,133
S01006556,976,909,0,10,57
S01006557,799,743,0,5,51
S01006558,843,804,6,6,27
S01006559,703,663,0,12,28
S01006560,1033,946,0,1,86
S01006561,852,781,4,3,64
S01006562,978,917,0,8,53
S01006563,1023,876,20,9,118
S01006564,1190,1025,20,32,113
S01006565,1206,1033,5,27,141
S01006566,832,749,8,10,65
S01006567,1211,1015,8,47,141
S01006568,1135,983,7,15,130
S01006569,748,660,8,6,74
S01006570,899,782,5,6,106
S01006571,1237,1129,3,12,93
S01006572,1371,1303,4,3,61
S01006573,724,690,4,3,27
S01006574,1001,943,0,4,54
S01006575,1180,1104,0,2,74
S01006576,902,840,2,2,58
S01006577,904,836,3,5,60
S01006578,1744,1534,6,31,173
S01006579,1367,1139,15,41,172
S01006580,855,780,6,7,62
S01006581,1344,1276,10,4,54
S01006582,695,539,2,9,145
S01006583,1091,909,11,19,152
S01006584,919,811,1,11,96
S01006585,872,769,7,18,78
S01006586,941,809,12,22,98
S01006587,658,542,1,13,102
S01006588,915,718,0,13,184
S01006589,1330,1144,10,28,148
S01006590,649,555,0,8,86
S01006591,880,746,6,7,121
S01006592,654,581,1,6,66
S01006593,923,789,6,5,123
S01006594,794,714,1,16,63
S01006595,1031,905,7,3,116
S01006596,924,850,5,2,67
S01006597,790,720,2,6,62
S01006598,1295,1143,3,8,141
S01006599,1157,1033,9,8,107
S01006600,1424,1313,1,9,101
S01006601,1002,915,0,11,76
S01006602,1044,953,1,9,81
S01006603,1337,1280,0,2,55
S01006604,920,880,10,8,22
S01006605,929,894,4,1,30
S01006606,1244,1179,6,6,53
S01006607,1260,1225,1,4,30
S01006608,1555,1444,6,18,87
S01006609,1352,1323,4,3,22
S01006610,701,672,0,0,29
S01006611,1111,1059,0,2,50
S01006612,997,958,0,0,39
S01006613,453,439,0,3,11
S01006614,908,849,0,16,43
S01006615,402,391,0,5,6
S01006616,755,722,3,0,30
S01006617,994,985,0,1,8
S01006618,514,495,0,0,19
S01006619,948,941,0,2,5
S01006620,1020,987,2,13,18
S01006621,748,708,0,8,32
S01006622,669,633,0,0,36
S01006623,1410,1358,10,5,37
S01006624,959,909,2,1,47
S01006625,844,812,1,0,31
S01006626,866,834,1,0,31
S01006627,859,795,3,2,59
S01006628,1410,1257,7,10,136
S01006629,959,921,4,2,32
S01006630,852,831,0,0,21
S01006631,1102,1062,2,1,37
S01006632,1045,1004,0,1,40
S01006633,950,916,3,2,29
S01006634,870,842,0,2,26
S01006635,1040,987,0,2,51
S01006636,1084,1038,4,1,41
S01006637,753,675,9,10,59
S01006638,1111,969,6,22,114
S01006639,1006,896,8,24,78
S01006640,817,670,7,37,103
S01006641,1351,1156,4,11,180
S01006642,1373,1136,10,59,168
S01006643,1248,1085,15,20,128
S01006644,1031,880,14,19,118
S01006645,1548,1319,4,27,198
S01006646,1369,1108,6,29,226
S01006647,961,823,2,30,106
S01006648,2018,1707,12,43,256
S01006649,1204,1009,16,26,153
S01006650,1422,1186,8,10,218
S01006651,776,643,9,7,117
S01006652,826,693,4,9,120
S01006653,818,700,9,24,85
S01006654,914,824,1,13,76
S01006655,724,644,5,8,67
S01006656,1095,916,12,19,148
S01006657,599,511,2,5,81
S01006658,1280,1041,46,25,168
S01006659,883,781,8,13,81
S01006660,833,673,28,13,119
S01006661,736,627,10,23,76
S01006662,942,754,14,37,137
S01006663,1309,1094,13,63,139
S01006664,511,442,12,19,38
S01006665,935,804,9,27,95
S01006666,1818,1611,16,27,164
S01006667,1260,1108,3,29,120
S01006668,908,767,8,42,91
S01006669,1334,1100,14,47,173
S01006670,929,820,6,12,91
S01006671,2611,2208,12,87,304
S01006672,810,724,5,17,64
S01006673,973,807,11,30,125
S01006674,1048,981,14,13,40
S01006675,774,702,7,2,63
S01006676,881,782,0,9,90
S01006677,723,650,1,7,65
S01006678,1273,1184,3,4,82
S01006679,945,877,0,2,66
S01006680,971,904,3,6,58
S01006681,1097,1042,1,1,53
S01006682,956,873,4,2,77
S01006683,1283,1144,3,22,114
S01006684,870,777,2,0,91
S01006685,910,846,3,13,48
S01006686,952,876,9,3,64
S01006687,1000,890,0,2,108
S01006688,1041,1005,2,7,27
S01006689,629,546,2,10,71
S01006690,795,710,4,11,70
S01006691,918,827,6,4,81
S01006692,862,795,7,10,50
S01006693,1274,1125,2,10,137
S01006694,1144,1079,1,0,64
S01006695,712,622,0,0,90
S01006696,1150,1017,1,1,131
S01006697,1163,1018,9,5,131
S01006698,936,832,7,5,92
S01006699,784,642,4,4,134
S01006700,1228,1119,5,11,93
S01006701,1040,973,4,6,57
S01006702,934,896,0,3,35
S01006703,773,684,5,0,84
S01006704,805,783,0,1,21
S01006705,944,915,2,5,22
S01006706,809,749,0,0,60
S01006707,685,629,4,6,46
S01006708,865,776,8,0,81
S01006709,1245,1172,10,1,62
S01006710,1064,1029,1,5,29
S01006711,1125,1102,0,2,21
S01006712,631,608,1,0,22
S01006713,939,918,0,1,20
S01006714,900,855,0,0,45
S01006715,1123,1070,2,0,51
S01006716,606,570,0,0,36
S01006717,1068,1009,0,0,59
S01006718,627,583,0,2,42
S01006719,1031,987,0,0,44
S01006720,745,705,0,0,40
S01006721,942,905,0,4,33
S01006722,856,798,1,0,57
S01006723,987,942,0,3,42
S01006724,1367,1315,2,0,50
S01006725,960,917,0,1,42
S01006726,1391,1329,1,4,57
S01006727,1370,1328,2,7,33
S01006728,887,818,0,3,66
S01006729,986,922,6,1,57
S01006730,778,706,0,1,71
S01006731,503,495,0,0,8
S01006732,1494,1423,14,7,50
S01006733,911,813,1,13,84
S01006734,1147,1014,8,22,103
S01006735,929,842,1,10,76
S01006736,1318,1188,14,6,110
S01006737,1059,966,12,7,74
S01006738,829,781,2,6,40
S01006739,607,573,0,4,30
S01006740,1039,1030,0,0,9
S01006741,754,740,1,0,13
S01006742,460,453,0,3,4
S01006743,1081,1051,1,4,25
S01006744,662,653,0,0,9
S01006745,1048,1032,0,3,13
S01006746,846,830,7,1,8
S01006747,1141,1124,0,3,14
S01006748,1163,1099,1,4,59
S01006749,1351,1291,0,1,59
S01006750,812,774,7,0,31
S01006751,509,492,1,0,16
S01006752,810,779,10,2,19
S01006753,913,893,0,0,20
S01006754,1132,1117,0,0,15
S01006755,1090,1053,2,0,35
S01006756,990,893,7,16,74
S01006757,1306,1272,2,11,21
S01006758,694,666,1,8,19
S01006759,1334,1237,12,21,64
S01006760,593,565,0,1,27
S01006761,927,914,0,3,10
S01006762,939,908,7,4,20
S01006763,1100,1010,20,11,59
S01006764,790,733,2,8,47
S01006765,725,707,0,3,15
S01006766,608,583,11,1,13
S01006767,869,840,0,19,10
S01006768,599,553,20,17,9
S01006769,1283,1200,28,18,37
S01006770,655,646,0,8,1
S01006771,563,500,16,19,28
S01006772,1218,1156,13,11,38
S01006773,734,676,15,21,22
S01006774,861,790,7,42,22
S01006775,758,741,1,9,7
S01006776,662,642,4,1,15
S01006777,918,903,0,0,15
S01006778,867,842,3,0,22
S01006779,1058,1008,0,9,41
S01006780,868,836,0,5,27
S01006781,972,914,0,28,30
S01006782,1016,897,2,20,97
S01006783,672,645,0,9,18
S01006784,706,681,4,3,18
S01006785,785,735,1,17,32
S01006786,1087,1014,8,24,41
S01006787,969,898,5,2,64
S01006788,646,571,10,6,59
S01006789,942,926,0,0,16
S01006790,980,973,0,0,7
S01006791,536,532,0,0,4
S01006792,696,687,0,1,8
S01006793,619,607,1,0,11
S01006794,775,773,0,0,2
S01006795,777,757,0,1,19
S01006796,795,792,0,0,3
S01006797,752,749,0,0,3
S01006798,738,731,0,0,7
S01006799,1053,1048,0,2,3
S01006800,960,940,7,1,12
S01006801,1414,1401,1,0,12
S01006802,675,671,0,0,4
S01006803,766,752,0,0,14
S01006804,1274,1259,0,0,15
S01006805,1346,1314,1,4,27
S01006806,1095,1085,1,2,7
S01006807,620,615,0,0,5
S01006808,973,961,0,2,10
S01006809,975,961,0,1,13
S01006810,1010,997,0,0,13
S01006811,1090,1075,0,0,15
S01006812,835,816,0,0,19
S01006813,996,991,0,0,5
S01006814,1109,1085,0,7,17
S01006815,753,748,0,0,5
S01006816,944,930,0,2,12
S01006817,865,846,0,8,11
S01006818,719,711,0,0,8
S01006819,1266,1242,7,0,17
S01006820,640,633,0,1,6
S01006821,1161,1135,0,1,25
S01006822,759,751,0,0,8
S01006823,885,871,0,0,14
S01006824,736,729,4,0,3
S01006825,1017,1005,4,0,8
S01006826,1310,1298,0,0,12
S01006827,1041,1018,1,1,21
S01006828,1011,990,0,1,20
S01006829,706,688,7,0,11
S01006830,634,633,0,0,1
S01006831,1231,1216,0,0,15
S01006832,1029,1015,0,0,14
S01006833,730,711,0,0,19
S01006834,336,325,4,0,7
S01006835,1291,1259,3,4,25
S01006836,514,503,0,0,11
S01006837,1004,982,0,0,22
S01006838,979,967,0,0,12
S01006839,933,922,1,0,10
S01006840,1211,1207,0,0,4
S01006841,1332,1295,6,3,28
S01006842,996,977,0,6,13
S01006843,965,949,1,0,15
S01006844,671,648,1,0,22
S01006845,1033,1018,0,1,14
S01006846,890,865,0,4,21
S01006847,807,798,0,2,7
S01006848,1396,1331,8,6,51
S01006849,1300,1243,8,0,49
S01006850,1119,1082,2,3,32
S01006851,805,778,0,3,24
S01006852,595,581,1,0,13
S01006853,948,916,0,2,30
S01006854,1601,1583,0,1,17
S01006855,790,782,2,1,5
S01006856,942,925,5,0,12
S01006857,1052,1033,5,0,14
S01006858,642,629,0,1,12
S01006859,1439,1416,0,6,17
S01006860,692,681,0,0,11
S01006861,861,845,4,0,12
S01006862,933,918,0,2,13
S01006863,1291,1255,5,0,31
S01006864,148,148,0,0,0
S01006865,938,919,0,2,17
S01006866,636,630,0,0,6
S01006867,1210,1185,0,3,22
S01006868,879,874,1,0,4
S01006869,581,565,6,0,10
S01006870,630,624,0,1,5
S01006871,1006,990,6,0,10
S01006872,1639,1609,0,7,23
S01006873,1250,1233,0,3,14
S01006874,584,582,0,1,1
S01006875,1009,1000,0,0,9
S01006876,1121,1115,0,2,4
S01006877,1101,1090,0,1,10
S01006878,958,954,0,0,4
S01006879,1135,1130,0,1,4
S01006880,787,779,0,0,8
S01006881,578,577,0,0,1
S01006882,841,840,0,0,1
S01006883,646,636,0,0,10
S01006884,1050,1038,0,0,12
S01006885,754,753,0,0,1
S01006886,733,726,0,0,7
S01006887,905,884,4,0,17
S01006888,939,932,0,0,7
S01006889,647,642,0,1,4
S01006890,1070,1058,0,3,9
S01006891,645,631,0,4,10
S01006892,584,575,0,0,9
S01006893,1004,993,0,5,6
S01006894,597,593,0,1,3
S01006895,474,460,0,2,12
S01006896,749,736,0,1,12
S01006897,1007,999,0,0,8
S01006898,548,544,0,0,4
S01006899,510,504,0,0,6
S01006900,455,452,0,1,2
S01006901,793,786,1,0,6
S01006902,693,681,2,0,10
S01006903,947,940,0,0,7
S01006904,569,565,1,0,3
S01006905,1010,997,0,2,11
S01006906,948,942,0,0,6
S01006907,716,694,0,2,20
S01006908,911,893,0,2,16
S01006909,428,421,1,0,6
S01006910,501,493,0,2,6
S01006911,1869,1808,0,5,56
S01006912,245,244,0,1,0
S01006913,2012,1944,0,7,61
S01006914,862,855,0,1,6
S01006915,848,828,0,0,20
S01006916,360,359,0,0,1
S01006917,1458,1440,0,1,17
S01006918,1807,1781,0,1,25
S01006919,687,673,0,2,12
S01006920,816,793,2,1,20
S01006921,1086,1046,0,4,36
S01006922,2000,1978,0,1,21
S01006923,1473,1435,0,1,37
S01006924,758,744,3,2,9
S01006925,499,492,0,1,6
S01006926,1739,1658,1,14,66
S01006927,374,371,0,0,3
S01006928,2797,2696,1,15,85
S01006929,1797,1721,0,15,61
S01006930,677,650,0,0,27
S01006931,1948,1833,14,24,77
S01006932,838,805,4,6,23
S01006933,801,760,2,11,28
S01006934,1749,1661,5,24,59
