"dz_2011","total","llti","no_llti"
"S01006506",765,111,654
"S01006507",898,130,768
"S01006508",663,70,593
"S01006509",584,112,472
"S01006510",626,144,482
"S01006511",735,156,579
"S01006512",512,61,451
"S01006513",391,41,350
"S01006514",918,153,765
"S01006515",805,56,749
"S01006516",704,110,594
"S01006517",1049,109,940
"S01006518",663,60,603
"S01006519",874,85,789
"S01006520",742,21,721
"S01006521",518,126,392
"S01006522",560,47,513
"S01006523",933,201,732
"S01006524",744,171,573
"S01006525",815,90,725
"S01006526",942,211,731
"S01006527",744,179,565
"S01006528",1009,189,820
"S01006529",837,195,642
"S01006530",714,120,594
"S01006531",1027,298,729
"S01006532",618,114,504
"S01006533",710,84,626
"S01006534",983,125,858
"S01006535",1063,94,969
"S01006536",855,85,770
"S01006537",668,92,576
"S01006538",581,84,497
"S01006539",764,141,623
"S01006540",925,106,819
"S01006541",877,187,690
"S01006542",963,142,821
"S01006543",788,153,635
"S01006544",820,110,710
"S01006545",897,140,757
"S01006546",619,88,531
"S01006547",1212,256,956
"S01006548",770,97,673
"S01006549",762,100,662
"S01006550",1003,157,846
"S01006551",396,137,259
"S01006552",885,86,799
"S01006553",820,221,599
"S01006554",704,158,546
"S01006555",876,327,549
"S01006556",873,228,645
"S01006557",764,162,602
"S01006558",754,89,665
"S01006559",450,45,405
"S01006560",1056,188,868
"S01006561",798,78,720
"S01006562",796,164,632
"S01006563",945,148,797
"S01006564",970,203,767
"S01006565",985,143,842
"S01006566",784,85,699
"S01006567",786,161,625
"S01006568",901,81,820
"S01006569",574,67,507
"S01006570",762,83,679
"S01006571",885,91,794
"S01006572",863,141,722
"S01006573",706,50,656
"S01006574",967,112,855
"S01006575",917,105,812
"S01006576",644,74,570
"S01006577",800,68,732
"S01006578",929,136,793
"S01006579",964,84,880
"S01006580",703,69,634
"S01006581",924,134,790
"S01006582",760,83,677
"S01006583",575,45,530
"S01006584",603,52,551
"S01006585",747,165,582
"S01006586",895,170,725
"S01006587",245,42,203
"S01006588",363,21,342
"S01006589",526,73,453
"S01006590",617,97,520
"S01006591",404,23,381
"S01006592",434,34,400
"S01006593",518,97,421
"S01006594",547,85,462
"S01006595",639,57,582
"S01006596",745,112,633
"S01006597",555,73,482
"S01006598",806,103,703
"S01006599",759,226,533
"S01006600",1014,219,795
"S01006601",953,120,833
"S01006602",862,145,717
"S01006603",930,228,702
"S01006604",684,128,556
"S01006605",796,215,581
"S01006606",838,188,650
"S01006607",970,210,760
"S01006608",469,67,402
"S01006609",1089,251,838
"S01006610",500,111,389
"S01006611",969,218,751
"S01006612",862,164,698
"S01006613",641,45,596
"S01006614",687,38,649
"S01006615",347,22,325
"S01006616",838,60,778
"S01006617",608,80,528
"S01006618",568,51,517
"S01006619",919,106,813
"S01006620",1039,147,892
"S01006621",577,76,501
"S01006622",655,41,614
"S01006623",800,200,600
"S01006624",800,154,646
"S01006625",648,135,513
"S01006626",684,174,510
"S01006627",750,140,610
"S01006628",741,125,616
"S01006629",754,178,576
"S01006630",677,173,504
"S01006631",954,260,694
"S01006632",740,185,555
"S01006633",700,155,545
"S01006634",577,114,463
"S01006635",646,120,526
"S01006636",763,168,595
"S01006637",606,150,456
"S01006638",771,167,604
"S01006639",867,243,624
"S01006640",94,10,84
"S01006641",557,97,460
"S01006642",822,127,695
"S01006643",547,50,497
"S01006644",529,90,439
"S01006645",721,207,514
"S01006646",673,38,635
"S01006647",577,143,434
"S01006648",1538,182,1356
"S01006649",609,122,487
"S01006650",621,94,527
"S01006651",631,114,517
"S01006652",380,60,320
"S01006653",587,50,537
