dz_2011,total,single,married
S01006506,749,399,350
S01006507,850,396,454
S01006508,754,433,321
S01006509,575,269,306
S01006510,637,328,309
S01006511,898,361,537
S01006512,272,85,187
S01006513,944,389,555
S01006514,967,337,630
S01006515,858,272,586
S01006516,739,336,403
S01006517,808,315,493
S01006518,762,290,472
S01006519,675,224,451
S01006520,619,182,437
S01006521,577,193,384
S01006522,438,113,325
S01006523,1227,531,696
S01006524,1112,593,519
S01006525,1049,408,641
S01006526,1208,738,470
S01006527,1114,701,413
S01006528,950,587,363
S01006529,961,667,294
S01006530,1001,676,325
S01006531,1107,708,399
S01006532,877,497,380
S01006533,707,316,391
S01006534,729,314,415
S01006535,974,636,338
S01006536,1236,916,320
S01006537,718,252,466
S01006538,568,215,353
S01006539,872,444,428
S01006540,1086,482,604
S01006541,822,365,457
S01006542,874,359,515
S01006543,909,304,605
S01006544,1251,595,656
S01006545,1127,613,514
S01006546,962,401,561
S01006547,1235,632,603
S01006548,618,195,423
S01006549,800,330,470
S01006550,1023,339,684
S01006551,843,477,366
S01006552,1090,569,521
S01006553,895,417,478
S01006554,808,439,369
S01006555,822,525,297
S01006556,830,444,386
S01006557,662,392,270
S01006558,740,463,277
S01006559,586,287,299
S01006560,847,412,435
S01006561,684,297,387
S01006562,814,364,450
S01006563,835,393,442
S01006564,1093,868,225
S01006565,1159,946,213
S01006566,756,544,212
S01006567,1087,849,238
S01006568,1078,848,230
S01006569,661,459,202
S01006570,758,423,335
S01006571,1062,607,455
S01006572,1087,398,689
S01006573,566,249,317
S01006574,809,362,447
S01006575,947,473,474
S01006576,756,438,318
S01006577,789,462,327
S01006578,1638,1292,346
S01006579,1292,1036,256
S01006580,763,542,221
S01006581,1120,530,590
S01006582,651,553,98
S01006583,1038,871,167
S01006584,845,662,183
S01006585,801,622,179
S01006586,913,763,150
S01006587,613,506,107
S01006588,874,751,123
S01006589,1238,1042,196
S01006590,608,496,112
S01006591,791,595,196
S01006592,590,432,158
S01006593,852,641,211
S01006594,729,525,204
S01006595,932,680,252
S01006596,810,498,312
S01006597,762,666,96
S01006598,1088,551,537
S01006599,1078,766,312
S01006600,1261,782,479
S01006601,899,592,307
S01006602,889,465,424
S01006603,1128,613,515
S01006604,792,417,375
S01006605,767,500,267
S01006606,1087,536,551
S01006607,1044,590,454
S01006608,1214,518,696
S01006609,1131,615,516
S01006610,600,376,224
S01006611,944,544,400
S01006612,852,409,443
S01006613,360,134,226
S01006614,669,267,402
S01006615,313,120,193
S01006616,649,338,311
S01006617,841,399,442
S01006618,469,202,267
S01006619,807,384,423
S01006620,887,434,453
S01006621,632,287,345
S01006622,549,265,284
S01006623,1172,735,437
S01006624,891,652,239
S01006625,728,404,324
S01006626,749,508,241
S01006627,773,577,196
