dz_2011,total,pensioner,student,other
S01006506,424,75,0,349
S01006507,447,97,0,350
S01006508,451,48,0,403
S01006509,325,77,0,248
S01006510,301,83,0,218
S01006511,409,123,0,286
S01006512,129,18,0,111
S01006513,425,112,0,313
S01006514,414,86,0,328
S01006515,414,86,1,327
S01006516,325,63,1,261
S01006517,403,92,0,311
S01006518,331,80,1,250
S01006519,281,44,0,237
S01006520,271,22,0,249
S01006521,273,34,0,239
S01006522,218,50,0,168
S01006523,622,174,0,448
S01006524,459,153,2,304
S01006525,463,132,2,329
S01006526,650,165,38,447
S01006527,547,121,17,409
S01006528,467,108,29,330
S01006529,592,122,34,436
S01006530,556,154,19,383
S01006531,579,129,30,420
S01006532,496,136,14,346
S01006533,378,72,7,299
S01006534,398,69,3,326
S01006535,605,62,10,533
S01006536,808,73,17,718
S01006537,385,133,0,252
S01006538,288,92,0,196
S01006539,463,156,4,303
S01006540,602,137,7,458
S01006541,467,209,0,258
S01006542,496,164,0,332
S01006543,482,177,0,305
S01006544,676,112,4,560
S01006545,714,257,5,452
S01006546,514,156,2,356
S01006547,726,257,0,469
S01006548,312,122,0,190
S01006549,409,125,0,284
S01006550,496,163,1,332
S01006551,513,160,0,353
S01006552,579,102,0,477
S01006553,494,228,0,266
S01006554,447,115,0,332
S01006555,471,58,3,410
S01006556,459,140,1,318
S01006557,385,84,0,301
S01006558,457,80,10,367
S01006559,313,55,12,246
S01006560,432,115,2,315
S01006561,365,77,5,283
S01006562,439,116,1,322
S01006563,453,102,4,347
S01006564,715,85,35,595
S01006565,698,64,34,600
S01006566,478,33,20,425
S01006567,726,76,46,604
S01006568,709,23,41,645
S01006569,423,53,12,358
S01006570,430,64,10,356
S01006571,615,72,24,519
S01006572,560,121,1,438
S01006573,290,44,4,242
S01006574,427,61,3,363
S01006575,488,70,8,410
S01006576,450,50,9,391
S01006577,481,55,9,417
S01006578,1068,68,35,965
S01006579,897,42,34,821
S01006580,504,56,9,439
S01006581,606,126,6,474
S01006582,356,25,26,305
S01006583,644,18,57,569
S01006584,523,30,47,446
S01006585,504,68,32,404
S01006586,594,60,51,483
S01006587,387,11,22,354
S01006588,523,0,72,451
S01006589,735,21,88,626
S01006590,349,12,16,321
S01006591,463,10,19,434
S01006592,362,20,11,331
S01006593,497,27,20,450
S01006594,487,98,13,376
S01006595,606,36,14,556
S01006596,443,40,10,393
S01006597,536,42,20,474
S01006598,611,66,11,534
S01006599,683,136,22,525
S01006600,754,177,19,558
S01006601,572,73,11,488
S01006602,508,134,7,367
S01006603,612,162,2,448
S01006604,409,89,1,319
S01006605,461,131,2,328
S01006606,569,173,1,395
S01006607,544,111,0,433
S01006608,602,90,2,510
S01006609,615,164,0,451
S01006610,351,112,0,239
S01006611,514,128,1,385
S01006612,428,92,1,335
S01006613,175,23,0,152
S01006614,355,11,0,344
S01006615,150,15,0,135
S01006616,337,21,1,315
S01006617,424,76,0,348
S01006618,246,49,0,197
S01006619,404,48,0,356
S01006620,483,78,0,405
S01006621,343,69,0,274
S01006622,292,18,0,274
S01006623,641,107,3,531
S01006624,481,53,5,423
S01006625,380,72,0,308
S01006626,447,98,0,349
S01006627,511,39,5,467
S01006628,811,36,13,762
S01006629,399,50,0,349
S01006630,326,45,0,281
S01006631,590,133,1,456
S01006632,529,83,3,443
S01006633,391,58,0,333
S01006634,392,39,0,353
S01006635,492,110,1,381
S01006636,504,69,0,435
S01006637,413,57,21,335
S01006638,712,114,44,554
S01006639,631,121,54,456
S01006640,419,6,49,364
S01006641,777,24,77,676
S01006642,492,26,82,384
S01006643,720,30,136,554
S01006644,595,29,105,461
S01006645,651,95,46,510
S01006646,535,46,61,428
S01006647,345,49,30,266
S01006648,770,20,52,698
S01006649,737,34,53,650
S01006650,798,48,80,670
