dz_2011,total,owned,social,rented,rentfree
S01006506,852,621,74,146,11
S01006507,1042,734,219,83,6
S01006508,888,753,32,93,10
S01006509,693,504,146,39,4
S01006510,681,490,143,42,6
S01006511,995,826,69,87,13
S01006512,372,302,9,50,11
S01006513,1086,964,19,87,16
S01006514,1137,949,22,152,14
S01006515,1123,944,28,137,14
S01006516,837,663,12,125,37
S01006517,1014,865,60,76,13
S01006518,884,733,3,119,29
S01006519,807,741,10,39,17
S01006520,883,658,6,213,6
S01006521,742,603,11,124,4
S01006522,574,518,7,45,4
S01006523,1441,1235,28,174,4
S01006524,1044,791,20,180,53
S01006525,1146,955,43,134,14
S01006526,1395,717,429,239,10
S01006527,1266,620,436,191,19
S01006528,1074,492,328,245,9
S01006529,1082,478,206,373,25
S01006530,1122,499,430,179,14
S01006531,1307,496,511,292,8
S01006532,961,694,62,192,13
S01006533,819,687,5,121,6
S01006534,910,781,12,103,14
S01006535,1105,741,24,333,7
S01006536,1344,773,51,504,16
S01006537,847,770,17,51,9
S01006538,664,626,11,23,4
S01006539,959,816,26,107,10
S01006540,1260,988,64,189,19
S01006541,952,793,87,68,4
S01006542,1000,828,12,148,12
S01006543,1075,988,12,67,8
S01006544,1379,1008,36,316,19
S01006545,1276,934,100,226,16
S01006546,1124,999,7,110,8
S01006547,1461,958,367,121,15
S01006548,721,679,3,33,6
S01006549,907,769,24,106,8
S01006550,1143,1041,4,77,21
S01006551,1009,598,303,94,14
S01006552,1201,940,90,156,15
S01006553,987,737,175,59,16
S01006554,922,630,219,63,10
S01006555,968,485,359,120,4
S01006556,976,528,368,75,5
S01006557,799,396,332,68,3
S01006558,843,609,12,207,15
S01006559,703,495,18,186,4
S01006560,985,780,50,146,9
S01006561,852,726,20,105,1
S01006562,963,740,136,83,4
S01006563,1021,761,48,196,16
S01006564,1187,425,388,362,12
S01006565,1068,420,215,427,6
S01006566,823,459,28,314,22
S01006567,1211,373,412,419,7
S01006568,1135,531,48,545,11
S01006569,748,419,58,264,7
S01006570,891,593,16,270,12
S01006571,1235,794,45,370,26
S01006572,1367,1150,17,188,12
S01006573,724,573,6,134,11
S01006574,977,742,19,183,33
S01006575,1138,891,11,218,18
S01006576,900,606,18,245,31
S01006577,904,575,17,284,28
S01006578,1680,803,73,769,35
S01006579,1367,574,30,740,23
S01006580,848,512,44,274,18
S01006581,1326,1080,13,214,19
S01006582,621,199,99,313,10
S01006583,1091,401,26,647,17
S01006584,919,418,27,458,16
S01006585,872,298,273,286,15
S01006586,939,275,224,427,13
S01006587,649,152,141,354,2
S01006588,914,199,75,631,9
S01006589,1330,308,311,695,16
S01006590,581,250,38,285,8
S01006591,850,466,47,328,9
S01006592,654,426,8,217,3
S01006593,893,464,50,369,10
S01006594,794,445,78,258,13
S01006595,1013,496,54,441,22
S01006596,851,546,32,268,5
S01006597,783,369,30,372,12
S01006598,1295,863,15,394,23
S01006599,1113,570,193,338,12
S01006600,1382,900,165,303,14
S01006601,1002,647,126,220,9
S01006602,1016,758,13,224,21
S01006603,1301,759,453,81,8
S01006604,917,647,215,44,11
S01006605,926,476,403,43,4
S01006606,1231,940,206,68,17
S01006607,1258,840,358,52,8
S01006608,1555,1334,95,115,11
S01006609,1352,870,416,43,23
S01006610,701,345,323,30,3
S01006611,1111,649,403,53,6
S01006612,997,808,147,38,4
S01006613,453,416,3,28,6
S01006614,908,839,11,56,2
S01006615,402,368,4,26,4
S01006616,755,674,20,56,5
S01006617,994,898,63,29,4
S01006618,514,485,3,20,6
S01006619,948,830,77,30,11
S01006620,1020,859,94,59,8
S01006621,746,660,57,24,5
S01006622,669,607,8,52,2
S01006623,1350,744,488,107,11
S01006624,806,355,174,269,8
S01006625,844,445,275,108,16
S01006626,866,353,402,99,12
S01006627,843,304,261,262,16
S01006628,1410,447,300,653,10
S01006629,880,289,541,40,10
S01006630,773,364,377,20,12
S01006631,1073,495,439,125,14
S01006632,1045,270,651,116,8
S01006633,950,357,539,53,1
S01006634,870,145,689,36,0
S01006635,1011,345,573,90,3
S01006636,1084,185,844,55,0
S01006637,706,264,193,236,13
S01006638,1111,393,295,404,19
S01006639,1006,271,317,395,23
S01006640,817,252,124,427,14
S01006641,1309,460,270,553,26
S01006642,830,294,125,379,32
S01006643,1248,460,87,670,31
S01006644,1028,303,223,464,38
S01006645,1093,231,566,284,12
S01006646,914,188,262,446,18
S01006647,671,186,304,174,7
S01006648,1292,302,349,615,26
S01006649,1204,343,329,514,18
S01006650,1414,466,292,642,14
S01006651,776,211,197,364,4
S01006652,826,275,131,399,21
S01006653,818,449,50,296,23
S01006654,904,333,398,152,21
S01006655,624,357,72,188,7
S01006656,1082,386,210,473,13
S01006657,599,237,148,209,5
S01006658,1264,277,422,541,24
S01006659,883,374,53,438,18
S01006660,833,148,379,300,6
S01006661,736,331,55,340,10
S01006662,707,145,389,169,4
S01006663,973,236,55,658,24
S01006664,503,178,42,273,10
S01006665,807,276,50,465,16
S01006666,1771,290,1195,263,23
S01006667,1251,242,808,184,17
S01006668,723,284,124,303,12
S01006669,841,210,337,279,15
S01006670,530,223,129,164,14
S01006671,655,204,248,181,22
S01006672,752,172,414,161,5
S01006673,830,230,402,168,30
S01006674,1048,139,851,49,9
S01006675,774,86,638,50,0
