dz_2001,la_name,year,total,white,pakistani,chinese,other
S01000001,Aberdeen City,2011,872,844,0,1,27
S01000002,Aberdeen City,2011,678,635,0,8,35
S01000003,Aberdeen City,2011,788,755,3,0,30
S01000004,Aberdeen City,2011,612,582,0,11,19
S01000005,Aberdeen City,2011,643,610,1,1,31
S01000006,Aberdeen City,2011,644,628,0,1,15
S01000007,Aberdeen City,2011,751,726,0,3,22
S01000008,Aberdeen City,2011,580,549,11,1,19
S01000009,Aberdeen City,2011,681,674,0,0,7
S01000010,Aberdeen City,2011,514,495,0,0,19
S01000011,Aberdeen City,2011,1043,979,0,3,61
S01000012,Aberdeen City,2011,1528,1418,6,18,86
S01000013,Aberdeen City,2011,836,807,16,5,8
S01000014,Aberdeen City,2011,881,874,0,2,5
S01000015,Aberdeen City,2011,669,633,0,0,36
S01000016,Aberdeen City,2011,540,502,4,3,31
S01000017,Aberdeen City,2011,848,825,2,5,16
S01000018,Aberdeen City,2011,520,488,0,8,24
S01000019,Aberdeen City,2011,648,609,0,6,33
S01000020,Aberdeen City,2011,914,857,0,3,54
S01000021,Aberdeen City,2011,861,827,0,0,34
S01000022,Aberdeen City,2011,627,611,0,0,16
S01000023,Aberdeen City,2011,762,714,4,2,42
S01000024,Aberdeen City,2011,519,481,2,7,29
S01000025,Aberdeen City,2011,865,777,15,7,66
S01000026,Aberdeen City,2011,849,820,0,0,29
S01000027,Aberdeen City,2011,798,721,2,8,67
S01000028,Aberdeen City,2011,919,872,0,2,45
S01000029,Aberdeen City,2011,729,622,6,21,80
S01000030,Aberdeen City,2011,449,433,0,0,16
S01000031,Aberdeen City,2011,941,886,4,2,49
S01000032,Aberdeen City,2011,1063,1040,4,3,16
S01000033,Aberdeen City,2011,802,772,0,1,29
S01000034,Aberdeen City,2011,1238,1162,1,13,62
S01000035,Aberdeen City,2011,1034,868,7,26,133
S01000036,Aberdeen City,2011,683,636,0,3,44
S01000037,Aberdeen City,2011,765,738,3,1,23
S01000038,Aberdeen City,2011,678,651,10,7,10
S01000039,Aberdeen City,2011,902,839,6,6,51
S01000040,Aberdeen City,2011,934,911,1,4,18
S01000041,Aberdeen City,2011,831,783,6,2,40
S01000042,Aberdeen City,2011,755,683,3,12,57
S01000043,Aberdeen City,2011,896,748,1,20,127
S01000044,Aberdeen City,2011,959,897,5,14,43
S01000045,Aberdeen City,2011,569,541,0,3,25
S01000046,Aberdeen City,2011,754,730,0,2,22
S01000047,Aberdeen City,2011,807,724,8,6,69
