"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00088956",230,8,12,210
"S00088957",66,3,7,56
"S00088958",90,1,2,87
"S00088959",83,3,7,73
"S00088960",68,2,1,65
"S00088961",217,40,45,132
"S00088962",86,5,2,79
"S00088963",89,7,3,79
"S00088964",88,2,8,78
"S00088965",144,12,11,121
"S00088966",120,6,11,103
"S00088967",52,3,2,47
"S00088968",56,1,7,48
"S00088969",154,3,10,141
"S00088970",105,4,3,98
"S00088971",78,3,2,73
"S00088972",129,0,3,126
"S00088973",144,5,24,115
"S00088974",120,14,6,100
"S00088975",77,2,4,71
"S00088976",69,2,2,65
"S00088977",60,0,0,60
"S00088978",60,1,3,56
"S00088979",85,1,2,82
"S00088980",66,5,2,59
"S00088981",57,6,9,42
"S00088982",66,4,1,61
"S00088983",65,10,12,43
"S00088984",55,15,8,32
"S00088985",80,1,6,73
"S00088986",131,4,5,122
"S00088987",63,2,3,58
"S00088988",67,11,12,44
"S00088989",95,2,3,90
"S00088990",107,5,7,95
"S00088991",127,2,7,118
"S00088992",541,36,45,460
"S00088993",123,4,1,118
"S00088994",57,2,3,52
"S00088995",62,0,2,60
"S00088996",102,5,13,84
"S00088997",152,2,9,141
"S00088998",126,0,3,123
"S00088999",123,2,5,116
"S00089000",120,2,5,113
"S00089001",115,7,13,95
"S00089002",135,7,8,120
"S00089003",118,20,14,84
"S00089004",97,1,7,89
"S00089005",133,7,14,112
"S00089006",104,1,6,97
"S00089007",122,0,5,117
"S00089008",73,0,0,73
"S00089009",106,1,1,104
"S00089010",129,3,8,118
"S00089011",155,6,9,140
"S00089012",117,3,6,108
"S00089013",69,2,1,66
"S00089014",117,3,7,107
"S00089015",93,0,1,92
"S00089016",90,3,7,80
"S00089017",83,0,0,83
"S00089018",148,2,9,137
"S00089019",134,5,9,120
"S00089020",79,2,2,75
"S00089021",83,5,7,71
"S00089022",96,5,16,75
"S00089023",99,5,6,88
"S00089024",65,1,2,62
"S00089025",63,2,2,59
"S00089026",67,0,2,65
"S00089027",107,2,6,99
"S00089028",78,2,1,75
"S00089029",82,3,7,72
"S00089030",66,0,1,65
"S00089031",143,2,4,137
"S00089032",84,3,7,74
"S00089033",95,7,6,82
"S00089034",58,1,7,50
"S00089035",106,2,11,93
"S00089036",67,3,1,63
"S00089037",87,2,3,82
"S00089038",58,0,3,55
"S00089039",80,2,12,66
"S00089040",91,5,5,81
"S00089041",225,91,9,125
"S00089042",68,9,7,52
"S00089043",148,13,7,128
"S00089044",71,6,7,58
"S00089045",73,10,9,54
"S00089046",248,27,28,193
"S00089047",110,8,8,94
"S00089048",91,10,11,70
"S00089049",130,7,16,107
"S00089050",108,9,11,88
"S00089051",146,8,16,122
"S00089052",148,11,15,122
"S00089053",114,5,11,98
"S00089054",76,2,2,72
"S00089055",86,7,8,71
"S00089056",71,0,1,70
"S00089057",85,10,12,63
"S00089058",96,7,11,78
"S00089059",55,2,7,46
"S00089060",61,3,3,55
"S00089061",75,1,3,71
"S00089062",53,4,4,45
"S00089063",83,3,2,78
"S00089064",84,4,10,70
"S00089065",95,6,8,81
"S00089066",64,8,6,50
"S00089067",108,5,7,96
"S00089068",73,4,1,68
"S00089069",60,1,4,55
"S00089070",127,8,6,113
"S00089071",88,16,9,63
"S00089072",113,4,6,103
"S00089073",94,7,12,75
"S00089074",145,4,8,133
"S00089075",87,3,1,83
"S00089076",113,9,15,89
"S00089077",90,6,9,75
"S00089078",52,8,8,36
"S00089079",61,7,8,46
"S00089080",100,5,9,86
"S00089081",74,8,13,53
"S00089082",82,18,10,54
"S00089083",120,15,9,96
"S00089084",100,8,12,80
"S00089085",121,7,14,100
"S00089086",100,12,11,77
"S00089087",141,11,15,115
"S00089088",93,15,7,71
"S00089089",110,6,15,89
"S00089090",126,6,14,106
"S00089091",150,10,9,131
"S00089092",171,6,16,149
"S00089093",166,12,19,135
"S00089094",90,12,8,70
"S00089095",119,8,10,101
"S00089096",97,6,2,89
"S00089097",83,9,5,69
"S00089098",82,2,7,73
"S00089099",120,4,9,107
"S00089100",101,9,17,75
"S00089101",75,4,6,65
"S00089102",86,3,7,76
"S00089103",89,4,5,80
"S00089104",67,2,12,53
"S00089105",96,4,11,81
"S00089106",89,5,10,74
"S00089107",82,5,6,71
"S00089108",92,0,14,78
"S00089109",60,3,4,53
"S00089110",109,8,17,84
"S00089111",147,7,10,130
"S00089112",151,18,18,115
"S00089113",64,26,20,18
"S00089114",117,11,16,90
"S00089115",154,15,14,125
"S00089116",206,8,9,189
"S00089117",125,14,13,98
"S00089118",145,7,17,121
"S00089119",87,3,10,74
"S00089120",77,7,7,63
"S00089121",173,59,24,90
"S00089122",65,9,10,46
"S00089123",151,18,22,111
"S00089124",105,17,11,77
"S00089125",164,21,9,134
"S00089126",116,11,12,93
"S00089127",93,14,12,67
"S00089128",97,11,8,78
"S00089129",197,3,5,189
"S00089130",93,8,13,72
"S00089131",102,12,11,79
"S00089132",87,3,5,79
"S00089133",87,12,10,65
"S00089134",129,19,22,88
"S00089135",144,6,12,126
"S00089136",112,6,18,88
"S00089137",109,10,18,81
"S00089138",55,34,9,12
"S00089139",86,11,10,65
"S00089140",100,6,10,84
"S00089141",120,7,11,102
"S00089142",137,14,10,113
"S00089143",105,15,12,78
"S00089144",91,15,12,64
"S00089145",127,14,12,101
"S00089146",117,9,8,100
"S00089147",96,9,11,76
"S00089148",123,7,10,106
"S00089149",124,5,9,110
"S00089150",151,16,24,111
"S00089151",61,9,8,44
"S00089152",54,11,13,30
"S00089153",63,13,9,41
"S00089154",72,11,9,52
"S00089155",84,12,12,60
"S00089156",129,31,14,84
"S00089157",105,13,13,79
"S00089158",136,7,18,111
"S00089159",90,14,7,69
"S00089160",112,7,18,87
"S00089161",95,12,14,69
"S00089162",77,6,8,63
"S00089163",115,14,12,89
"S00089164",78,14,18,46
"S00089165",105,9,9,87
"S00089166",150,11,20,119
