"output_area","ALL PEOPLE AGED 16 - 74","Number of people aged 16 - 74: Large employers and higher managers","Number of people aged 16 - 74: Higher professional occupations","Number of people aged 16 - 74: Lower managerial and professional occupations","Number of people aged 16 - 74: Intermediate occupations","Number of people aged 16 - 74: Small employers and own account workers","Number of people aged 16 - 74: Lower supervisory and technical occupations","Number of people aged 16 - 74: Semi-routine occupations","Number of people aged 16 - 74: Routine occupations","Number of people aged 16 - 74: Never worked","Number of people aged 16 - 74: Long-term unemployed","Number of people aged 16 - 74: Full-time students","Number of people aged 16 - 74: Not classifiable for other reasons"
"60QA000001",47,2.13,8.51,21.28,14.89,12.77,6.38,0,6.38,0,2.13,4.26,21.28
"60QA000002",128,7.03,12.5,18.75,10.94,13.28,3.13,7.81,4.69,3.13,1.56,5.47,11.72
"60QA000003",56,7.14,10.71,21.43,7.14,14.29,7.14,5.36,7.14,3.57,1.79,5.36,8.93
"60QA000004",51,13.73,3.92,25.49,1.96,3.92,1.96,5.88,3.92,5.88,1.96,13.73,17.65
"60QA000005",54,18.52,5.56,25.93,5.56,9.26,3.7,0,0,3.7,0,9.26,18.52
"60QA000006",162,6.79,3.7,7.41,3.09,30.86,5.56,4.94,7.41,19.75,0,4.94,5.56
"60QA000007",53,7.55,7.55,22.64,7.55,13.21,3.77,1.89,0,0,0,13.21,22.64
"60QA000008",76,3.95,14.47,17.11,9.21,13.16,6.58,3.95,6.58,0,0,9.21,15.79
"60QA000009",122,5.74,6.56,14.75,8.2,20.49,5.74,13.93,4.92,0.82,0,4.92,13.93
"60QA000010",54,0,16.67,24.07,12.96,9.26,9.26,5.56,7.41,1.85,0,9.26,3.7
"60QA000011",46,6.52,0,26.09,13.04,15.22,8.7,10.87,8.7,2.17,0,2.17,6.52
"60QA000012",65,3.08,13.85,29.23,12.31,13.85,4.62,4.62,3.08,0,0,4.62,10.77
"60QA000013",165,4.85,8.48,19.39,7.88,10.91,10.3,11.52,9.7,1.82,0,5.45,9.7
"60QA000014",82,8.54,15.85,29.27,3.66,10.98,3.66,9.76,0,1.22,0,8.54,8.54
"60QA000015",57,3.51,24.56,15.79,15.79,7.02,10.53,5.26,1.75,0,0,10.53,5.26
"60QA000016",114,7.02,14.04,28.95,8.77,1.75,6.14,8.77,5.26,1.75,0.88,12.28,4.39
"60QA000017",109,1.83,0.92,8.26,8.26,1.83,6.42,13.76,20.18,5.5,2.75,1.83,28.44
"60QA000018",96,1.04,3.13,15.63,11.46,3.13,7.29,21.88,19.79,2.08,0,3.13,11.46
