output_area,total,scotland,ruk,elsewhere
60QA000001,58,47,8,3
60QA000002,174,129,26,19
60QA000003,76,62,6,8
60QA000004,66,35,17,14
60QA000005,82,29,11,42
60QA000006,198,68,81,49
60QA000007,73,42,16,15
60QA000008,108,76,23,9
60QA000009,153,117,29,7
60QA000010,65,40,16,9
60QA000011,71,67,3,1
60QA000012,84,71,9,4
60QA000013,212,198,8,6
60QA000014,99,62,24,13
60QA000015,77,49,18,10
60QA000016,130,99,23,8
60QA000017,144,128,4,12
60QA000018,123,104,13,6
60QA000019,62,50,10,2
60QA000020,65,50,6,9
60QA000021,55,33,9,13
60QA000022,54,30,18,6
60QA000023,85,59,16,10
60QA000024,90,74,9,7
60QA000025,72,64,5,3
60QA000026,59,51,4,4
60QA000027,73,60,9,4
60QA000028,119,78,25,16
60QA000029,56,36,14,6
60QA000030,63,56,5,2
60QA000031,71,51,11,9
60QA000032,92,76,14,2
60QA000033,115,95,12,8
60QA000034,170,89,44,37
60QA000035,164,97,29,38
60QA000036,124,97,14,13
60QA000037,62,45,5,12
60QA000038,100,94,1,5
60QA000039,178,129,23,26
60QA000040,129,109,15,5
60QA000041,71,49,16,6
60QA000042,57,53,3,1
60QA000043,121,101,13,7
60QA000044,143,88,32,23
60QA000045,117,85,19,13
60QA000046,101,64,20,17
60QA000047,137,104,24,9
60QA000048,112,90,18,4
60QA000049,114,83,22,9
60QA000050,131,103,18,10
60QA000051,71,55,10,6
60QA000052,98,61,18,19
60QA000053,85,59,11,15
60QA000054,116,87,20,9
60QA000055,164,117,19,28
60QA000056,128,93,23,12
60QA000057,69,50,11,8
60QA000058,95,72,12,11
60QA000059,81,67,8,6
60QA000060,97,79,12,6
60QA000061,82,62,10,10
60QA000062,68,57,10,1
60QA000063,67,58,3,6
60QA000064,99,83,11,5
60QA000065,96,67,25,4
60QA000066,81,63,14,4
60QA000067,71,51,13,7
60QA000068,68,54,8,6
60QA000069,120,95,11,14
60QA000070,60,50,7,3
60QA000071,69,44,17,8
60QA000072,61,40,12,9
60QA000073,87,64,13,10
60QA000074,97,74,16,7
60QA000075,59,41,13,5
60QA000076,160,99,23,38
60QA000077,82,78,4,0
60QA000078,190,166,13,11
60QA000079,66,58,7,1
60QA000080,123,102,16,5
60QA000081,78,69,8,1
60QA000082,211,195,15,1
60QA000083,94,84,6,4
60QA000084,102,95,6,1
60QA000085,131,126,3,2
60QA000086,119,111,5,3
60QA000087,141,124,13,4
60QA000088,155,138,9,8
60QA000089,90,77,12,1
60QA000090,80,68,7,5
60QA000091,88,75,11,2
60QA000092,62,45,11,6
60QA000093,104,93,8,3
60QA000094,71,62,5,4
60QA000095,64,56,5,3
60QA000096,104,88,13,3
60QA000097,90,78,5,7
60QA000098,84,71,7,6
60QA000099,93,74,17,2
60QA000100,63,56,5,2
60QA000101,62,54,6,2
60QA000102,75,67,5,3
60QA000103,76,64,7,5
60QA000104,74,60,12,2
60QA000105,76,72,4,0
60QA000106,70,57,9,4
60QA000107,77,66,5,6
60QA000108,119,101,15,3
60QA000109,62,51,7,4
60QA000110,123,111,6,6
60QA000111,71,62,8,1
60QA000112,54,54,0,0
60QA000113,56,54,2,0
60QA000114,92,84,6,2
60QA000115,73,70,2,1
60QA000116,79,73,4,2
60QA000117,133,122,7,4
60QA000118,108,107,1,0
60QA000119,103,95,5,3
60QA000120,107,104,2,1
60QA000121,129,114,7,8
60QA000122,101,96,1,4
60QA000123,106,100,4,2
60QA000124,128,123,4,1
60QA000125,160,148,10,2
60QA000126,156,139,12,5
60QA000127,133,123,7,3
60QA000128,100,95,3,2
60QA000129,108,97,6,5
60QA000130,89,83,6,0
60QA000131,147,138,7,2
60QA000132,110,103,5,2
60QA000133,101,93,6,2
60QA000134,74,65,4,5
60QA000135,68,66,1,1
60QA000136,78,62,10,6
60QA000137,79,69,3,7
60QA000138,110,95,9,6
60QA000139,106,94,9,3
60QA000140,81,72,8,1
60QA000141,88,75,8,5
60QA000142,54,47,4,3
60QA000143,95,88,7,0
60QA000144,153,136,12,5
60QA000145,121,109,7,5
60QA000146,59,57,2,0
60QA000147,119,113,6,0
60QA000148,145,131,11,3
60QA000149,103,95,7,1
60QA000150,111,103,3,5
60QA000151,168,157,8,3
60QA000152,64,57,6,1
60QA000153,93,80,7,6
60QA000154,149,142,4,3
60QA000155,69,63,3,3
60QA000156,159,151,7,1
60QA000157,107,104,2,1
60QA000158,178,162,7,9
60QA000159,133,131,1,1
60QA000160,96,88,6,2
60QA000161,113,109,4,0
60QA000162,134,78,11,45
60QA000163,101,99,2,0
60QA000164,111,99,12,0
60QA000165,99,86,6,7
60QA000166,143,133,8,2
60QA000167,143,139,4,0
60QA000168,121,103,13,5
60QA000169,112,97,10,5
60QA000170,116,95,15,6
60QA000171,57,53,3,1
60QA000172,96,89,7,0
60QA000173,110,105,2,3
60QA000174,117,112,2,3
60QA000175,163,151,5,7
60QA000176,109,100,3,6
60QA000177,119,116,2,1
60QA000178,69,65,3,1
60QA000179,72,72,0,0
60QA000180,108,103,2,3
60QA000181,108,100,4,4
60QA000182,110,99,10,1
60QA000183,145,133,7,5
60QA000184,122,111,8,3
60QA000185,120,114,5,1
60QA000186,75,73,0,2
60QA000187,123,116,5,2
60QA000188,76,72,3,1
60QA000189,90,88,1,1
60QA000190,113,108,4,1
60QA000191,131,125,5,1
60QA000192,133,129,2,2
60QA000193,89,84,4,1
60QA000194,116,115,0,1
60QA000195,100,95,5,0
60QA000196,107,103,4,0
60QA000197,123,121,2,0
60QA000198,92,79,6,7
60QA000199,112,109,3,0
60QA000200,160,155,3,2
60QA000201,126,120,4,2
60QA000202,76,70,5,1
60QA000203,131,120,7,4
60QA000204,81,76,3,2
60QA000205,90,80,8,2
60QA000206,68,67,0,1
60QA000207,62,56,2,4
60QA000208,179,163,14,2
60QA000209,146,135,7,4
60QA000210,103,92,6,5
60QA000211,139,129,6,4
60QA000212,150,143,6,1
60QA000213,177,170,5,2
60QA000214,151,144,6,1
60QA000215,101,91,10,0
60QA000216,126,121,4,1
60QA000217,117,102,7,8
60QA000218,123,96,19,8
60QA000219,136,115,15,6
60QA000220,94,72,11,11
60QA000221,138,115,10,13
60QA000222,180,151,19,10
60QA000223,315,207,56,52
60QA000224,147,117,18,12
60QA000225,125,94,20,11
60QA000226,135,109,11,15
60QA000227,129,100,24,5
60QA000228,83,67,7,9
60QA000229,91,75,6,10
60QA000230,73,63,5,5
60QA000231,106,93,9,4
60QA000232,165,137,19,9
60QA000233,190,154,25,11
60QA000234,140,95,32,13
60QA000235,104,77,18,9
60QA000236,127,96,11,20
60QA000237,106,77,22,7
60QA000238,78,60,7,11
60QA000239,61,46,12,3
60QA000240,67,52,12,3
60QA000241,56,45,5,6
60QA000242,117,78,19,20
60QA000243,65,50,9,6
60QA000244,75,59,11,5
60QA000245,67,49,7,11
60QA000246,103,78,16,9
60QA000247,68,50,12,6
60QA000248,105,80,17,8
60QA000249,63,46,11,6
60QA000250,71,52,9,10
60QA000251,65,48,6,11
60QA000252,84,71,10,3
60QA000253,92,74,15,3
60QA000254,199,147,17,35
60QA000255,113,95,13,5
60QA000256,114,83,14,17
60QA000257,89,63,17,9
60QA000258,91,78,7,6
60QA000259,96,68,16,12
60QA000260,69,62,4,3
60QA000261,210,134,49,27
60QA000262,98,69,15,14
60QA000263,87,57,15,15
60QA000264,86,60,18,8
60QA000265,145,109,21,15
60QA000266,131,100,17,14
60QA000267,115,96,13,6
60QA000268,178,142,22,14
60QA000269,179,143,18,18
60QA000270,144,123,10,11
60QA000271,121,97,14,10
60QA000272,82,70,4,8
60QA000273,81,70,10,1
60QA000274,149,133,8,8
60QA000275,144,132,9,3
60QA000276,147,108,26,13
60QA000277,127,97,10,20
60QA000278,126,83,16,27
60QA000279,124,106,14,4
60QA000280,133,113,16,4
60QA000281,101,86,12,3
60QA000282,97,77,12,8
60QA000283,126,105,13,8
60QA000284,91,69,20,2
60QA000285,100,92,6,2
60QA000286,145,126,15,4
60QA000287,152,129,8,15
60QA000288,86,69,13,4
60QA000289,56,47,7,2
60QA000290,119,86,19,14
60QA000291,85,64,14,7
60QA000292,109,83,17,9
60QA000293,65,58,4,3
60QA000294,111,86,15,10
60QA000295,82,64,16,2
60QA000296,119,99,13,7
60QA000297,93,75,10,8
60QA000298,65,57,4,4
60QA000299,75,61,11,3
60QA000300,140,104,25,11
60QA000301,55,48,6,1
60QA000302,51,43,4,4
60QA000303,183,164,13,6
60QA000304,65,64,1,0
60QA000305,70,49,8,13
60QA000306,70,53,10,7
60QA000307,84,76,4,4
60QA000308,51,45,5,1
60QA000309,161,145,11,5
60QA000310,128,100,22,6
60QA000311,95,81,13,1
60QA000312,88,81,4,3
60QA000313,113,105,2,6
60QA000314,128,125,1,2
60QA000315,115,94,9,12
60QA000316,117,111,2,4
60QA000317,94,83,8,3
60QA000318,143,128,8,7
60QA000319,156,137,14,5
60QA000320,182,170,8,4
60QA000321,163,152,9,2
60QA000322,102,95,5,2
60QA000323,114,104,6,4
60QA000324,69,67,2,0
60QA000325,109,105,0,4
60QA000326,112,103,3,6
60QA000327,123,119,2,2
60QA000328,186,160,10,16
60QA000329,173,158,5,10
60QA000330,76,74,0,2
60QA000331,129,114,12,3
60QA000332,75,69,3,3
60QA000333,63,57,3,3
60QA000334,146,141,4,1
60QA000335,163,148,7,8
60QA000336,107,98,7,2
60QA000337,126,109,17,0
60QA000338,138,127,8,3
60QA000339,120,80,15,25
60QA000340,116,99,10,7
60QA000341,107,96,6,5
60QA000342,99,90,5,4
60QA000343,106,89,8,9
60QA000344,151,136,5,10
