"output_area","total","good","not_good"
"S00088956",230,226,4
"S00088957",66,64,2
"S00088958",90,90,0
"S00088959",83,82,1
"S00088960",68,68,0
"S00088961",217,212,5
"S00088962",86,84,2
"S00088963",89,87,2
"S00088964",88,88,0
"S00088965",144,140,4
"S00088966",120,118,2
"S00088967",52,50,2
"S00088968",56,54,2
"S00088969",154,153,1
"S00088970",105,104,1
"S00088971",78,78,0
"S00088972",129,129,0
"S00088973",144,140,4
"S00088974",120,109,11
"S00088975",77,76,1
"S00088976",69,68,1
"S00088977",60,59,1
"S00088978",60,60,0
"S00088979",85,84,1
"S00088980",66,61,5
"S00088981",57,51,6
"S00088982",66,65,1
"S00088983",65,58,7
"S00088984",55,44,11
"S00088985",80,79,1
"S00088986",131,128,3
"S00088987",63,60,3
"S00088988",67,60,7
"S00088989",95,95,0
"S00088990",107,103,4
"S00088991",127,125,2
"S00088992",541,517,24
"S00088993",123,121,2
"S00088994",57,56,1
"S00088995",62,62,0
"S00088996",102,97,5
"S00088997",152,151,1
"S00088998",126,126,0
"S00088999",123,122,1
"S00089000",120,118,2
"S00089001",115,111,4
"S00089002",135,129,6
"S00089003",118,111,7
"S00089004",97,96,1
"S00089005",133,128,5
"S00089006",104,102,2
"S00089007",122,122,0
"S00089008",73,73,0
"S00089009",106,105,1
"S00089010",129,126,3
"S00089011",155,152,3
"S00089012",117,115,2
"S00089013",69,69,0
"S00089014",117,115,2
"S00089015",93,93,0
"S00089016",90,86,4
"S00089017",83,83,0
"S00089018",148,148,0
"S00089019",134,130,4
"S00089020",79,78,1
"S00089021",83,83,0
"S00089022",96,92,4
"S00089023",99,97,2
"S00089024",65,64,1
"S00089025",63,60,3
"S00089026",67,67,0
"S00089027",107,104,3
"S00089028",78,78,0
"S00089029",82,79,3
"S00089030",66,65,1
"S00089031",143,143,0
"S00089032",84,82,2
"S00089033",95,88,7
"S00089034",58,56,2
"S00089035",106,102,4
"S00089036",67,65,2
"S00089037",87,87,0
"S00089038",58,57,1
"S00089039",80,80,0
"S00089040",91,87,4
"S00089041",225,212,13
"S00089042",68,63,5
"S00089043",148,137,11
"S00089044",71,67,4
"S00089045",73,71,2
"S00089046",248,236,12
"S00089047",110,106,4
"S00089048",91,88,3
"S00089049",130,120,10
"S00089050",108,103,5
"S00089051",146,137,9
"S00089052",148,142,6
"S00089053",114,107,7
"S00089054",76,74,2
"S00089055",86,80,6
"S00089056",71,71,0
"S00089057",85,78,7
"S00089058",96,90,6
"S00089059",55,53,2
"S00089060",61,60,1
"S00089061",75,74,1
"S00089062",53,49,4
"S00089063",83,82,1
"S00089064",84,81,3
"S00089065",95,88,7
"S00089066",64,60,4
"S00089067",108,103,5
"S00089068",73,71,2
"S00089069",60,58,2
"S00089070",127,122,5
"S00089071",88,80,8
"S00089072",113,108,5
"S00089073",94,90,4
"S00089074",145,142,3
"S00089075",87,85,2
"S00089076",113,105,8
"S00089077",90,85,5
"S00089078",52,45,7
"S00089079",61,55,6
"S00089080",100,93,7
"S00089081",74,67,7
"S00089082",82,72,10
"S00089083",120,109,11
"S00089084",100,94,6
"S00089085",121,117,4
"S00089086",100,94,6
"S00089087",141,132,9
"S00089088",93,89,4
"S00089089",110,104,6
"S00089090",126,123,3
"S00089091",150,144,6
"S00089092",171,165,6
"S00089093",166,152,14
"S00089094",90,80,10
"S00089095",119,113,6
"S00089096",97,90,7
"S00089097",83,77,6
"S00089098",82,79,3
"S00089099",120,118,2
"S00089100",101,97,4
"S00089101",75,71,4
"S00089102",86,81,5
"S00089103",89,87,2
"S00089104",67,66,1
"S00089105",96,95,1
"S00089106",89,81,8
"S00089107",82,82,0
"S00089108",92,89,3
"S00089109",60,58,2
"S00089110",109,104,5
"S00089111",147,142,5
"S00089112",151,142,9
"S00089113",64,42,22
"S00089114",117,109,8
"S00089115",154,144,10
"S00089116",206,200,6
"S00089117",125,115,10
"S00089118",145,142,3
"S00089119",87,85,2
"S00089120",77,77,0
"S00089121",173,163,10
"S00089122",65,56,9
"S00089123",151,143,8
"S00089124",105,98,7
"S00089125",164,156,8
"S00089126",116,108,8
"S00089127",93,83,10
"S00089128",97,92,5
"S00089129",197,193,4
"S00089130",93,90,3
"S00089131",102,97,5
"S00089132",87,85,2
