output_area,total,llti,no_llti
S00088956,230,20,210
S00088957,66,10,56
S00088958,90,3,87
S00088959,83,10,73
S00088960,68,3,65
S00088961,217,85,132
S00088962,86,7,79
S00088963,89,10,79
S00088964,88,10,78
S00088965,144,23,121
S00088966,120,17,103
S00088967,52,5,47
S00088968,56,8,48
S00088969,154,13,141
S00088970,105,7,98
S00088971,78,5,73
S00088972,129,3,126
S00088973,144,29,115
S00088974,120,20,100
S00088975,77,6,71
S00088976,69,4,65
S00088977,60,0,60
S00088978,60,4,56
S00088979,85,3,82
S00088980,66,7,59
S00088981,57,15,42
S00088982,66,5,61
S00088983,65,22,43
S00088984,55,23,32
S00088985,80,7,73
S00088986,131,9,122
S00088987,63,5,58
S00088988,67,23,44
S00088989,95,5,90
S00088990,107,12,95
S00088991,127,9,118
S00088992,541,81,460
S00088993,123,5,118
S00088994,57,5,52
S00088995,62,2,60
S00088996,102,18,84
S00088997,152,11,141
S00088998,126,3,123
S00088999,123,7,116
S00089000,120,7,113
S00089001,115,20,95
S00089002,135,15,120
S00089003,118,34,84
S00089004,97,8,89
S00089005,133,21,112
S00089006,104,7,97
S00089007,122,5,117
S00089008,73,0,73
S00089009,106,2,104
S00089010,129,11,118
S00089011,155,15,140
S00089012,117,9,108
S00089013,69,3,66
S00089014,117,10,107
S00089015,93,1,92
S00089016,90,10,80
S00089017,83,0,83
S00089018,148,11,137
S00089019,134,14,120
S00089020,79,4,75
S00089021,83,12,71
S00089022,96,21,75
S00089023,99,11,88
S00089024,65,3,62
S00089025,63,4,59
S00089026,67,2,65
S00089027,107,8,99
S00089028,78,3,75
S00089029,82,10,72
S00089030,66,1,65
S00089031,143,6,137
S00089032,84,10,74
S00089033,95,13,82
S00089034,58,8,50
S00089035,106,13,93
S00089036,67,4,63
S00089037,87,5,82
S00089038,58,3,55
S00089039,80,14,66
S00089040,91,10,81
S00089041,225,100,125
S00089042,68,16,52
S00089043,148,20,128
S00089044,71,13,58
S00089045,73,19,54
S00089046,248,55,193
S00089047,110,16,94
S00089048,91,21,70
S00089049,130,23,107
S00089050,108,20,88
S00089051,146,24,122
S00089052,148,26,122
S00089053,114,16,98
S00089054,76,4,72
S00089055,86,15,71
S00089056,71,1,70
S00089057,85,22,63
S00089058,96,18,78
S00089059,55,9,46
S00089060,61,6,55
S00089061,75,4,71
S00089062,53,8,45
S00089063,83,5,78
S00089064,84,14,70
S00089065,95,14,81
S00089066,64,14,50
S00089067,108,12,96
S00089068,73,5,68
S00089069,60,5,55
S00089070,127,14,113
S00089071,88,25,63
S00089072,113,10,103
S00089073,94,19,75
S00089074,145,12,133
S00089075,87,4,83
S00089076,113,24,89
S00089077,90,15,75
S00089078,52,16,36
S00089079,61,15,46
S00089080,100,14,86
S00089081,74,21,53
S00089082,82,28,54
S00089083,120,24,96
S00089084,100,20,80
S00089085,121,21,100
S00089086,100,23,77
S00089087,141,26,115
S00089088,93,22,71
S00089089,110,21,89
S00089090,126,20,106
S00089091,150,19,131
S00089092,171,22,149
S00089093,166,31,135
S00089094,90,20,70
S00089095,119,18,101
S00089096,97,8,89
S00089097,83,14,69
S00089098,82,9,73
S00089099,120,13,107
S00089100,101,26,75
S00089101,75,10,65
S00089102,86,10,76
S00089103,89,9,80
S00089104,67,14,53
S00089105,96,15,81
S00089106,89,15,74
S00089107,82,11,71
S00089108,92,14,78
S00089109,60,7,53
S00089110,109,25,84
S00089111,147,17,130
S00089112,151,36,115
S00089113,64,46,18
S00089114,117,27,90
S00089115,154,29,125
S00089116,206,17,189
S00089117,125,27,98
S00089118,145,24,121
S00089119,87,13,74
S00089120,77,14,63
S00089121,173,83,90
S00089122,65,19,46
S00089123,151,40,111
S00089124,105,28,77
S00089125,164,30,134
S00089126,116,23,93
S00089127,93,26,67
S00089128,97,19,78
S00089129,197,8,189
S00089130,93,21,72
S00089131,102,23,79
S00089132,87,8,79
