"output_area","total","single","married","remarried","separated","divorced","widowed"
"60QA000001",49,7,30,2,4,1,5
"60QA000002",136,28,77,11,6,5,9
"60QA000003",59,17,34,2,1,3,2
"60QA000004",54,12,34,2,2,1,3
"60QA000005",55,8,43,3,1,0,0
"60QA000006",166,100,50,6,4,4,2
"60QA000007",56,12,30,8,0,3,3
"60QA000008",78,23,48,4,0,3,0
"60QA000009",126,35,73,11,0,1,6
"60QA000010",59,22,24,4,2,0,7
"60QA000011",47,10,26,3,2,4,2
"60QA000012",66,15,45,3,0,2,1
"60QA000013",173,58,78,13,2,15,7
"60QA000014",88,25,43,2,4,7,7
"60QA000015",68,25,23,6,3,7,4
"60QA000016",119,77,23,6,3,9,1
"60QA000017",124,31,56,6,1,14,16
"60QA000018",99,44,18,7,5,22,3
"60QA000019",58,38,9,1,6,2,2
"60QA000020",65,52,7,0,2,4,0
"60QA000021",55,45,4,1,0,4,1
"60QA000022",54,43,0,1,1,5,4
"60QA000023",84,50,19,3,3,6,3
"60QA000024",87,56,6,3,2,14,6
"60QA000025",63,16,17,8,6,7,9
"60QA000026",56,23,8,1,2,12,10
"60QA000027",71,53,3,0,5,7,3
"60QA000028",119,100,7,0,5,6,1
"60QA000029",56,50,2,0,1,2,1
"60QA000030",62,47,0,0,4,11,0
"60QA000031",68,51,8,0,2,3,4
"60QA000032",88,65,9,2,0,11,1
"60QA000033",111,89,9,0,4,7,2
"60QA000034",170,167,1,0,1,1,0
"60QA000035",163,143,11,0,2,7,0
"60QA000036",107,64,19,3,2,17,2
"60QA000037",60,50,5,0,2,3,0
"60QA000038",83,27,27,6,4,7,12
"60QA000039",140,46,67,7,4,6,10
"60QA000040",105,42,37,8,5,9,4
"60QA000041",67,43,11,2,2,7,2
"60QA000042",54,42,5,1,1,2,3
"60QA000043",109,30,48,4,5,3,19
"60QA000044",110,53,43,1,3,6,4
"60QA000045",109,33,29,4,5,7,31
"60QA000046",89,46,28,4,3,4,4
"60QA000047",109,29,61,7,2,9,1
"60QA000048",96,46,37,6,2,1,4
"60QA000049",101,51,25,6,1,11,7
"60QA000050",112,54,41,3,3,7,4
"60QA000051",61,32,8,1,6,14,0
"60QA000052",95,75,9,0,2,5,4
"60QA000053",72,46,14,2,1,6,3
"60QA000054",105,55,29,4,3,8,6
"60QA000055",133,40,61,8,5,10,9
"60QA000056",104,57,22,2,4,16,3
"60QA000057",68,45,12,1,4,4,2
"60QA000058",82,43,27,3,2,6,1
