output_area,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S00088956,230,99,33,0,0,87,11
S00088957,66,37,3,0,3,21,2
S00088958,90,40,1,0,11,33,5
S00088959,83,20,7,0,0,46,10
S00088960,68,27,3,0,0,32,6
S00088961,217,92,14,0,1,60,50
S00088962,86,53,17,0,0,10,6
S00088963,89,34,4,0,0,42,9
S00088964,88,41,5,0,0,35,7
S00088965,144,62,1,0,0,65,16
S00088966,120,45,7,0,7,50,11
S00088967,52,36,1,0,0,14,1
S00088968,56,16,9,0,0,28,3
S00088969,154,60,5,0,8,56,25
S00088970,105,32,7,0,5,52,9
S00088971,78,19,8,0,0,43,8
S00088972,129,37,23,0,0,46,23
S00088973,144,40,14,0,8,61,21
S00088974,120,31,10,0,5,54,20
S00088975,77,16,10,0,1,47,3
S00088976,69,15,12,0,1,38,3
S00088977,60,6,0,0,4,43,7
S00088978,60,6,4,0,2,37,11
S00088979,85,16,13,0,1,43,12
S00088980,66,15,7,0,3,34,7
S00088981,57,6,9,0,1,34,7
S00088982,66,10,17,0,1,37,1
S00088983,65,27,5,0,0,26,7
S00088984,55,23,5,0,1,21,5
S00088985,80,16,13,0,6,37,8
S00088986,131,28,13,1,2,73,14
S00088987,63,10,7,0,0,38,8
S00088988,67,17,2,0,1,44,3
S00088989,95,12,20,0,0,48,15
S00088990,107,19,12,0,5,56,15
S00088991,127,17,15,0,10,56,29
S00088992,541,162,75,0,12,236,56
S00088993,123,25,15,0,16,60,7
S00088994,57,9,7,0,0,33,8
S00088995,62,6,7,0,4,36,9
S00088996,102,30,8,0,6,54,4
S00088997,152,45,13,1,0,71,22
S00088998,126,28,31,0,6,53,8
S00088999,123,48,13,0,3,39,20
S00089000,120,29,11,0,0,71,9
S00089001,115,44,13,2,0,51,5
S00089002,135,40,21,1,4,57,12
S00089003,118,23,6,0,5,58,26
S00089004,97,34,19,0,0,40,4
S00089005,133,36,9,0,0,80,8
S00089006,104,30,8,0,5,51,10
S00089007,122,37,15,0,1,64,5
S00089008,73,16,3,0,0,48,6
S00089009,106,30,8,0,0,62,6
S00089010,129,21,18,0,0,76,14
S00089011,155,33,27,0,7,68,20
S00089012,117,27,15,0,12,60,3
S00089013,69,17,7,0,1,40,4
S00089014,117,18,15,0,3,69,12
S00089015,93,18,13,0,3,46,13
S00089016,90,19,12,0,0,48,11
S00089017,83,18,7,0,6,45,7
S00089018,148,41,18,0,2,73,14
S00089019,134,31,20,1,0,78,4
S00089020,79,17,19,0,1,34,8
S00089021,83,27,5,0,0,46,5
S00089022,96,26,12,0,1,50,7
S00089023,99,35,8,0,6,44,6
S00089024,65,19,7,0,1,31,7
S00089025,63,11,5,0,0,41,6
S00089026,67,16,7,0,0,39,5
S00089027,107,21,12,0,0,63,11
S00089028,78,17,7,1,3,44,6
S00089029,82,14,6,0,0,60,2
S00089030,66,8,4,0,1,49,4
S00089031,143,36,23,1,2,70,11
S00089032,84,25,8,0,10,37,4
S00089033,95,21,18,0,0,45,11
S00089034,58,14,4,0,3,30,7
S00089035,106,40,13,0,1,46,6
S00089036,67,12,16,0,2,30,7
S00089037,87,27,9,0,0,43,8
S00089038,58,8,15,0,1,26,8
S00089039,80,13,13,0,2,51,1
S00089040,91,11,23,0,5,51,1
S00089041,225,97,4,0,8,93,23
S00089042,68,13,17,0,3,33,2
S00089043,148,28,23,0,3,86,8
S00089044,71,27,4,0,0,34,6
S00089045,73,20,5,0,0,43,5
S00089046,248,80,18,1,4,126,19
S00089047,110,23,19,0,4,47,17
S00089048,91,32,19,0,0,36,4
S00089049,130,30,5,0,0,87,8
S00089050,108,27,9,0,0,61,11
S00089051,146,33,29,0,2,73,9
S00089052,148,45,7,0,0,87,9
S00089053,114,20,13,0,0,68,13
S00089054,76,15,23,0,3,32,3
S00089055,86,25,10,0,0,34,17
S00089056,71,13,18,0,0,35,5
S00089057,85,11,9,0,3,57,5
S00089058,96,18,25,0,1,42,10
S00089059,55,14,8,0,0,30,3
S00089060,61,10,20,1,0,24,6
S00089061,75,18,26,0,0,21,10
S00089062,53,12,5,0,1,30,5
S00089063,83,21,25,0,1,28,8
S00089064,84,27,11,0,1,39,6
S00089065,95,22,21,0,2,44,6
S00089066,64,11,11,0,0,41,1
S00089067,108,13,39,0,0,41,15
S00089068,73,28,11,0,0,28,6
S00089069,60,4,16,0,2,31,7
S00089070,127,18,28,0,2,63,16
