"output_area","total","pensioner","student","other"
"60QA000001",24,6,0,18
"60QA000002",64,10,0,54
"60QA000003",30,4,0,26
"60QA000004",22,2,0,20
"60QA000005",25,2,0,23
"60QA000006",41,5,0,36
"60QA000007",25,6,0,19
"60QA000008",36,4,0,32
"60QA000009",57,8,0,49
"60QA000010",28,5,0,23
"60QA000011",24,3,0,21
"60QA000012",31,3,0,28
"60QA000013",73,8,0,65
"60QA000014",45,8,0,37
"60QA000015",43,9,1,33
"60QA000016",79,4,2,73
"60QA000017",73,34,0,39
"60QA000018",59,6,0,53
"60QA000019",39,3,1,35
"60QA000020",44,2,4,38
"60QA000021",37,1,5,31
"60QA000022",39,3,3,33
"60QA000023",65,7,0,58
"60QA000024",65,13,1,51
"60QA000025",43,23,0,20
"60QA000026",44,20,1,23
"60QA000027",55,7,3,45
"60QA000028",65,1,12,52
"60QA000029",33,0,3,30
"60QA000030",59,4,0,55
"60QA000031",46,4,10,32
"60QA000032",59,3,6,50
"60QA000033",78,1,8,69
"60QA000034",42,0,29,13
"60QA000035",60,1,12,47
"60QA000036",68,2,9,57
"60QA000037",34,1,6,27
"60QA000038",39,10,1,28
"60QA000039",71,15,0,56
"60QA000040",58,5,0,53
"60QA000041",53,5,0,48
"60QA000042",37,6,0,31
"60QA000043",57,26,0,31
"60QA000044",53,6,6,41
"60QA000045",40,2,0,38
"60QA000046",52,3,2,47
"60QA000047",54,6,0,48
"60QA000048",37,6,0,31
"60QA000049",66,7,1,58
"60QA000050",67,6,0,61
"60QA000051",40,7,1,32
"60QA000052",62,9,4,49
"60QA000053",48,3,0,45
"60QA000054",70,6,0,64
"60QA000055",63,12,2,49
"60QA000056",70,9,0,61
"60QA000057",45,3,2,40
"60QA000058",46,6,0,40
"60QA000059",49,7,0,42
"60QA000060",44,5,1,38
"60QA000061",54,7,5,42
"60QA000062",43,3,0,40
"60QA000063",45,2,5,38
"60QA000064",75,6,2,67
"60QA000065",69,2,0,67
"60QA000066",59,4,0,55
"60QA000067",51,4,0,47
"60QA000068",43,3,4,36
"60QA000069",54,3,1,50
"60QA000070",31,6,0,25
"60QA000071",41,4,2,35
"60QA000072",47,2,1,44
"60QA000073",52,7,1,44
"60QA000074",65,8,3,54
"60QA000075",43,2,3,38
"60QA000076",80,1,13,66
"60QA000077",34,5,0,29
"60QA000078",68,8,0,60
"60QA000079",35,0,0,35
