"output_area","All people aged 16 to 74","Economically active","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"S00088956",152,118,28,71,1,5,1,7,1,4,34,15,10,7,1,1
"S00088957",53,42,7,23,0,3,0,5,2,2,11,4,1,4,2,0
"S00088958",59,42,10,22,0,5,0,4,0,1,17,6,6,5,0,0
"S00088959",62,46,5,28,1,0,4,5,3,0,16,4,3,7,1,1
"S00088960",54,40,7,23,1,3,0,3,2,1,14,6,2,4,0,2
"S00088961",175,85,6,34,0,6,2,26,5,6,90,15,9,5,43,18
"S00088962",54,43,5,22,1,5,3,3,2,2,11,5,1,4,1,0
"S00088963",60,47,5,29,1,1,5,4,1,1,13,5,3,3,2,0
"S00088964",72,60,13,26,1,4,3,6,0,7,12,9,2,1,0,0
"S00088965",110,78,10,43,0,1,4,12,2,6,32,15,9,4,3,1
"S00088966",92,58,9,34,0,3,2,6,1,3,34,11,4,5,9,5
"S00088967",45,39,8,19,0,3,0,6,0,3,6,2,3,0,1,0
"S00088968",46,31,3,21,0,1,2,3,1,0,15,10,3,1,0,1
"S00088969",120,97,18,55,0,7,3,6,0,8,23,10,7,5,1,0
"S00088970",91,68,11,38,0,2,3,3,3,8,23,13,7,3,0,0
"S00088971",62,50,5,30,0,1,2,4,3,5,12,6,5,0,0,1
"S00088972",119,100,6,66,0,0,0,5,5,18,19,2,13,4,0,0
"S00088973",108,75,20,38,0,0,2,3,6,6,33,21,6,5,1,0
"S00088974",100,68,11,33,0,2,0,3,10,9,32,8,7,4,11,2
"S00088975",67,54,5,38,0,1,0,0,1,9,13,2,8,2,1,0
"S00088976",66,56,3,35,0,1,1,2,0,14,10,3,4,1,1,1
"S00088977",58,40,3,21,0,0,0,6,2,8,18,0,16,0,0,2
"S00088978",54,39,3,23,0,0,0,3,2,8,15,3,11,1,0,0
"S00088979",81,69,3,50,0,1,0,4,1,10,12,0,9,0,1,2
"S00088980",63,52,5,33,0,1,1,2,0,10,11,2,3,0,6,0
"S00088981",55,42,6,27,0,0,0,3,0,6,13,3,5,0,5,0
"S00088982",61,48,5,34,0,0,0,4,0,5,13,2,7,0,1,3
"S00088983",47,29,5,19,0,0,0,0,3,2,18,7,1,1,6,3
"S00088984",48,28,6,16,0,0,0,2,3,1,20,14,2,0,4,0
"S00088985",75,65,9,43,0,2,1,2,3,5,10,1,6,1,0,2
"S00088986",130,100,8,59,0,1,0,4,3,25,30,1,27,0,2,0
"S00088987",63,51,3,28,0,0,0,6,5,9,12,0,8,1,3,0
"S00088988",63,47,7,29,0,0,0,2,6,3,16,6,1,0,9,0
"S00088989",87,64,11,38,0,0,0,2,1,12,23,0,20,0,1,2
"S00088990",103,83,9,48,0,0,5,7,4,10,20,1,12,1,4,2
"S00088991",118,93,8,56,0,0,1,2,1,25,25,4,18,0,2,1
"S00088992",504,218,3,18,0,0,0,0,4,193,286,17,264,0,4,1
"S00088993",101,80,7,40,0,1,4,1,7,20,21,0,17,1,1,2
"S00088994",52,37,0,25,0,0,1,3,0,8,15,2,10,1,1,1
"S00088995",60,46,4,29,0,1,0,1,1,10,14,0,14,0,0,0
"S00088996",83,44,7,14,0,0,0,0,4,19,39,13,12,3,8,3
"S00088997",123,97,18,53,0,4,5,8,0,9,26,15,5,4,2,0
"S00088998",98,81,6,61,0,8,1,3,1,1,17,0,5,10,0,2
"S00088999",99,79,10,48,1,2,5,3,4,6,20,14,2,3,0,1
"S00089000",117,105,9,80,0,1,0,3,4,8,12,5,3,1,1,2
"S00089001",91,61,12,40,0,2,3,0,1,3,30,16,5,5,2,2
"S00089002",97,74,14,41,0,2,1,9,0,7,23,9,9,3,1,1
"S00089003",74,68,10,49,0,0,0,1,0,8,6,2,2,1,0,1
"S00089004",77,66,8,45,0,4,1,2,0,6,11,4,2,3,0,2
"S00089005",103,67,19,36,0,2,2,5,2,1,36,21,4,6,1,4
"S00089006",79,60,8,46,1,4,0,1,0,0,19,6,4,7,1,1
