"output_area","All households","Number of households comprising: One person Pensioner","Number of households comprising: One person Other","Number of households comprising: One family and no others All pensioners","Number of households comprising: One family and no others Married couple households No children","Number of households comprising: One family and no others Married couple households With dependent children","Number of households comprising: One family and no others Married couple households All children non-dependent ","Number of households comprising: One family and no others Cohabiting couple households No children","Number of households comprising: One family and no others Cohabiting couple households With dependent children","Number of households comprising: One family and no others Cohabiting couple households All children non-dependent","Number of households comprising: One family and no others Lone parent housheolds With dependent children","Number of households comprising: One family and no others Lone parent households All children non-dependent","Number of households comprising: Other households With dependent children","Number of households comprising: Other households All student","Number of households comprising: Other households All pensioner","Number of households comprising: Other households Other"
"60QA000001",24,5,2,0,6,3,3,0,1,0,0,0,0,0,1,3
"60QA000002",64,5,4,4,9,22,8,3,0,1,3,1,1,0,1,2
"60QA000003",30,2,5,2,4,8,3,2,1,0,1,1,0,0,0,1
"60QA000004",22,0,1,2,5,4,3,1,1,0,1,1,3,0,0,0
"60QA000005",25,0,0,2,4,14,3,0,0,0,2,0,0,0,0,0
"60QA000006",41,2,2,3,6,11,1,1,0,0,0,0,8,0,0,7
"60QA000007",25,4,1,2,4,11,2,0,1,0,0,0,0,0,0,0
"60QA000008",36,1,6,3,3,15,5,1,0,0,1,1,0,0,0,0
"60QA000009",57,4,7,4,10,15,11,1,0,0,0,2,0,0,0,3
"60QA000010",28,5,4,0,5,3,4,2,2,0,0,1,0,0,0,2
"60QA000011",24,1,3,2,5,6,0,2,1,0,2,1,1,0,0,0
"60QA000012",31,1,2,2,10,10,2,4,0,0,0,0,0,0,0,0
"60QA000013",73,4,6,4,10,15,9,7,3,1,0,3,5,0,0,6
"60QA000014",45,5,6,3,10,5,3,5,1,0,3,1,1,0,0,2
"60QA000015",43,6,14,3,3,7,1,4,0,0,1,2,0,1,0,1
"60QA000016",79,0,43,2,4,7,2,8,0,0,0,2,0,2,2,7
"60QA000017",73,22,7,12,7,7,5,4,2,0,3,1,0,0,0,3
"60QA000018",59,5,21,1,5,2,3,2,2,0,9,4,1,0,0,4
"60QA000019",39,2,20,0,4,0,1,4,0,0,3,0,0,1,1,3
"60QA000020",44,2,27,0,2,0,1,3,0,0,0,1,0,4,0,4
"60QA000021",37,1,21,0,1,0,0,4,0,0,0,0,0,5,0,5
"60QA000022",39,3,23,0,0,0,0,4,0,1,0,0,0,3,0,5
"60QA000023",65,6,40,1,8,0,0,3,0,0,1,0,0,0,0,6
"60QA000024",65,11,34,2,3,0,0,5,0,0,3,1,0,1,0,5
"60QA000025",43,14,8,9,2,1,0,1,1,1,6,0,0,0,0,0
"60QA000026",44,19,12,1,2,0,1,6,0,0,2,0,0,1,0,0
